Desc	Family ID	Acromyrmex_echinatior	Acyrthosiphon_pisum	Aedes_aegypti	Aedes_albopictus	Aethina_tumida	Agrilus_planipennis	Amyelois_transitella	Anopheles_albimanus	Anopheles_atroparvus	Anopheles_christyi	Anopheles_culicifacies	Anopheles_darlingi	Anopheles_dirus	Anopheles_epiroticus	Anopheles_farauti	Anopheles_funestus	Anopheles_gambiae	Anopheles_maculatus	Anopheles_minimus	Anopheles_sinensis	Anopheles_stephensi	Anoplophora_glabripennis	Aphis_glycines	Apis_mellifera	Athalia_rosae	Atta_colombica	Bactrocera_latifrons	Bactrocera_oleae	Belgica_antarctica	Bemisia_tabaci	Blattella_germanica	Bombus_impatiens	Bombyx_mori	Calopteryx_splendens	Campodea_augens	Camponotus_floridanus	Cardiocondyla_obscurior	Catajapyx_aquilonaris	Centruroides_sculpturatus	Cephus_cinctus	Ceratina_calcarata	Ceratitis_capitata	Ceratosolen_solmsi_marchali	Chilo_suppressalis	Cimex_lectularius	Clunio_marinus	Copidosoma_floridanum	Culex_quinquefasciatus	Cyphomyrmex_costatus	Danaus_plexippus	Daphnia_magna	Daphnia_pulex	Dendroctonus_ponderosae	Diachasma_alloeum	Diaphorina_citri	Dinoponera_quadriceps	Diuraphis_noxia	Drosophila_ananassae	Drosophila_biarmipes	Drosophila_bipectinata	Drosophila_busckii	Drosophila_elegans	Drosophila_erecta	Drosophila_eugracilis	Drosophila_ficusphila	Drosophila_grimshawi	Drosophila_hydei	Drosophila_melanogaster	Drosophila_mojavensis	Drosophila_obscura	Drosophila_pseudoobscura	Drosophila_rhopaloa	Drosophila_serrata	Drosophila_takahashii	Drosophila_virilis	Drosophila_willistoni	Drosophila_yakuba	Dufourea_novaeangliae	Ephemera_danica	Eufriesea_mexicana	Euglossa_dilemma	Euroglyphus_maynei	Eurytemora_affinis	Folsomia_candida	Fopius_arisanus	Frankliniella_occidentalis	Galendromus_occidentalis	Galloisiana_yuasai	Gerris_buenoi	Glossina_austeni	Glossina_brevipalpis	Glossina_morsitans	Glossina_palpalis	Habropoda_laboriosa	Halyomorpha_halys	Harpegnathos_saltator	Heliconius_erato_lativitta	Heliconius_melpomene	Helicoverpa_armigera	Homalodisca_vitripennis	Hyalella_azteca	Ixodes_scapularis	Ladona_fulva	Lasioglossum_albipes	Lasius_niger	Lepeophtheirus_salmonis	Leptinotarsa_decemlineata	Limnephilus_lunatus	Limulus_polyphemus	Linepithema_humile	Locusta_migratoria	Lucilia_cuprina	Lutzomyia_longipalpis	Macrocentrus_cingulum	Manduca_sexta	Mayetiola_destructor	Megachile_rotundata	Melipona_quadrifasciata	Melitaea_cinxia	Mengenilla_moldrzyki	Microplitis_demolitor	Monomorium_pharaonis	Musca_domestica	Myzus_cerasi	Myzus_persicae	Nasonia_vitripennis	Neodiprion_lecontei	Nicrophorus_vespilloides	Nilaparvata_lugens	Oncopeltus_fasciatus	Onthophagus_taurus	Ooceraea_biroi	Operophtera_brumata	Orchesella_cincta	Orussus_abietinus	Oryctes_borbonicus	Pachypsylla_venusta	Papilio_glaucus	Papilio_polytes	Papilio_xuthus	Parasteatoda_tepidariorum	Pediculus_humanus	Phlebotomus_papatasi	Pieris_rapae	Plutella_xylostella	Pogonomyrmex_barbatus	Polistes_canadensis	Polypedilum_nubifer	Polypedilum_vanderplanki	Pseudomyrmex_gracilis	Rhagoletis_zephyria	Rhodnius_prolixus	Rhopalosiphum_padi	Sarcoptes_scabiei	Solenopsis_invicta	Spodoptera_litura	Stegodyphus_mimosarum	Stomoxys_calcitrans	Strigamia_maritima	Tetranychus_urticae	Tigriopus_californicus	Trachymyrmex_septentrionalis	Tribolium_castaneum	Trichogramma_pretiosum	Tropilaelaps_mercedesae	Varroa_jacobsoni	Vollenhovia_emeryi	Wasmannia_auropunctata	Zeugodacus_cucurbitae	Zootermopsis_nevadensis
148	101263at6656	3	0	24	27	13	28	24	5	27	12	28	19	15	26	23	25	34	19	17	15	27	33	0	1	4	3	12	14	18	0	3	1	24	4	15	0	3	1	0	2	1	14	13	9	3	19	7	37	2	11	31	25	15	3	0	1	0	39	35	40	17	27	29	38	39	29	22	31	24	31	30	38	32	43	25	43	35	1	23	1	1	2	6	12	1	11	1	11	14	3	3	2	3	1	1	2	8	26	41	0	8	1	8	1	1	19	4	13	0	1	4	55	11	0	37	2	1	1	17	0	1	2	21	0	0	7	3	6	1	1	22	2	18	10	0	2	0	21	29	24	0	1	4	23	19	2	0	36	29	1	15	1	0	0	2	36	0	23	2	1	11	1	40	20	0	0	8	6	25	3
95	101807at6656	25	10	0	0	21	2	2	0	0	0	0	0	1	0	0	7	0	0	2	0	0	5	5	0	0	10	1	0	0	1	20	4	0	22	4	4	0	0	32	3	0	0	0	0	0	0	0	0	10	2	0	0	1	0	0	29	2	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	1	5	0	0	1	0	0	0	2	13	3	0	1	3	4	17	13	1	7	0	19	2	1	51	29	15	0	2	17	2	4	11	0	2	0	3	0	4	10	2	10	0	0	1	9	3	0	0	5	10	2	0	4	0	3	0	4	1	0	1	1	29	4	1	4	0	6	0	0	2	9	13	79	9	0	5	1	58	1	0	4	1	27	2	0	0	0	5	5	0	3
121	102167at6656	3	72	12	0	1	1	13	1	1	2	1	1	7	5	0	5	1	2	5	1	1	14	11	0	3	1	7	1	0	1	4	1	4	29	3	13	8	2	22	1	0	0	0	2	1	0	7	0	33	3	8	1	1	0	1	0	15	1	1	1	0	0	0	0	0	0	1	0	0	4	1	4	1	4	0	0	0	0	1	0	1	0	0	13	0	19	2	18	23	2	0	0	1	1	4	11	0	0	2	41	2	2	28	4	43	0	11	5	0	13	5	4	1	5	1	8	0	0	2	2	2	17	8	45	42	11	1	0	8	1	28	13	10	6	1	0	1	2	1	1	8	0	0	4	2	3	0	0	0	9	34	1	11	0	29	3	7	2	1	0	0	2	0	0	0	0	34	14	6	2
82	103767at6656	0	41	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	1	0	0	0	0	0	30	0	1	8	7	0	0	2	2	0	0	0	0	2	0	0	0	1	4	5	0	53	2	3	2	2	19	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	3	3	0	3	0	76	13	1	0	1	7	2	0	2	4	26	0	72	2	3	10	0	0	7	11	8	0	2	3	2	0	0	3	1	1	0	2	4	1	1	0	31	31	1	1	1	8	0	4	0	4	0	0	0	3	1	1	2	2	0	1	3	0	0	1	0	0	1	7	2	39	0	1	7	9	0	0	0	0	0	1	1	0	0	0	0	1	1
158	103973at6656	2	92	10	2	2	9	4	2	0	2	2	2	2	1	1	1	1	3	2	0	3	14	19	1	2	2	26	5	5	3	140	18	4	54	15	4	0	4	71	5	5	7	1	2	3	4	4	1	3	5	5	12	0	14	1	3	24	2	1	2	1	0	1	2	2	0	0	1	2	1	1	1	1	1	1	0	1	20	2	9	4	0	0	1	4	12	42	43	25	18	11	1	11	15	9	2	2	3	4	73	5	14	66	2	10	5	2	11	10	1	19	3	3	3	4	23	37	1	2	7	22	2	4	25	31	1	7	12	6	17	42	1	6	3	1	3	4	2	2	11	56	2	5	4	1	0	1	1	4	12	21	13	52	0	11	5	63	5	3	15	4	3	5	21	4	3	10	2	17	13
59	104494at6656	0	78	1	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	4	13	10	0	0	5	16	0	1	1	0	1	0	0	0	0	0	0	0	4	0	1	1	33	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	5	1	3	10	66	58	5	0	0	0	0	0	0	0	2	2	1	3	1	7	11	0	0	7	0	2	0	0	0	0	0	1	0	4	0	0	0	0	2	0	0	101	19	0	0	1	4	0	0	0	4	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	2	0	32	0	1	3	1	0	9	3	2	0	0	0	0	0	1	0	0	0
86	106734at6656	6	0	1	6	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	8	22	0	1	105	88	4	2	0	282	0	0	0	0	0	0	14	6	0	13	0	3	0	9	32	8	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	8	31	2	0	0	102	27	0	0	0	0	1	1	1	1	2	1	1	1	0	69	6	27	1	21	4	7	1	52	0	10	1	2	22	4	0	1	0	2	4	0	0	0	0	11	0	4	4	31	32	3	0	1	1	7	0	7	1	3	3	6	1	0	2	5	0	0	19	58	0	0	0	30	5	7	2	2	0	0	32	1	12	0	0	91	4	0	9
124	107419at6656	6	212	2	24	1	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	1	7	44	0	0	1	5	2	2	3	33	74	4	60	15	1	19	0	71	1	9	3	0	5	12	0	4	3	20	3	40	55	1	12	22	1	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	13	0	2	1	4	2	2	4	2	29	52	0	2	1	1	1	16	2	0	21	1	127	13	15	10	28	39	0	7	13	1	5	33	3	4	26	9	3	15	2	6	8	9	5	2	192	11	9	5	7	8	61	6	6	16	3	1	0	26	1	1	2	87	0	3	1	6	3	0	0	7	12	31	41	67	0	10	2	29	5	6	3	1	2	5	2	0	0	7	9	1	0
121	110033at6656	1	92	2	1	2	2	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	28	22	0	6	1	1	0	0	1	40	0	13	32	6	7	12	12	11	16	2	0	0	2	9	0	2	0	19	0	18	5	6	2	9	0	25	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	3	1	1	1	0	2	0	0	0	3	11	1	4	0	251	2	1	1	1	1	0	1	4	4	4	11	22	2	6	15	1	15	0	11	11	1	8	1	3	0	3	5	10	0	0	10	11	2	7	4	37	34	1	3	2	5	0	27	6	34	0	1	0	6	2	4	1	4	0	1	6	15	0	0	0	0	10	26	0	21	0	10	7	2	4	0	1	3	1	4	0	0	0	13	2	0	0
65	110994at6656	0	60	12	3	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	50	0	2	0	0	0	0	7	0	0	0	3	1	0	31	2	0	0	0	0	0	0	0	0	2	4	1	0	31	10	0	2	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	1	2	0	95	0	4	13	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0	6	0	2	1	0	5	0	2	2	71	0	10	0	0	0	24	8	1	0	58	22	8	2	0	0	0	2	3	0	3	0	0	2	0	0	0	1	0	2	0	0	1	0	1	11	1	2	0	31	0	4	1	0	0	1	0	0	0	0	5	0	0	17	4	0	0
