gene	ACN
GB44089	1.0731707320000001
GB40008	1.0731707320000001
GB55781	1.12195122
GB47976	1.195121951
GB47946	1.341463415
GB46705	1.0243902440000001
GB51956	1.048780488
GB47470	1.0
GB55650	1.1
GB52098	1.102564103
GB52252	1.0243902440000001
GB47452	1.0243902440000001
GB44587	1.0
GB54468,GB49507	1.87804878
GB41196	1.219512195
GB40498	1.0
GB50114	1.048780488
GB43870	1.153846154
GB49951	1.048780488
GB54130	1.0243902440000001
GB47938	1.0
GB50548	1.0
GB49929	1.0
GB52848	1.025
GB51673	1.083333333
GB44262	1.0
GB46325	1.048780488
GB51545	1.05
GB51405	1.0243902440000001
GB53320	1.075
GB43214	1.0
GB46253,GB46253	1.083333333
GB51191	1.048780488
GB54884	1.025641026
GB42359	1.033333333
GB55490	1.0243902440000001
GB41989	1.3170731709999999
GB41850	1.075
GB42374	1.0
GB49432	1.0
GB51773,GB46836	1.048780488
GB45073	1.027777778
GB51344	1.0
GB53315	1.05
GB49187	1.0
GB53554,GB53558,GB53558	1.256410256
GB47009	1.0243902440000001
GB41468	1.097560976
GB42489	1.12195122
GB48853	1.0
GB43459	1.027777778
GB51104	1.048780488
GB47628	1.0243902440000001
GB41847	1.0243902440000001
GB55143,GB41007	1.05
GB41119	1.0731707320000001
GB52997	1.0243902440000001
GB44685	1.0
GB53104	1.0243902440000001
GB53929	1.032258065
GB42976,GB42975,GB42976	1.0731707320000001
GB45260	1.027777778
GB40993	1.0
GB49601	1.0
GB40010	1.0
GB42022	1.0
GB55375	1.027027027
GB51276	1.0
GB44485	1.097560976
GB49872	1.0243902440000001
GB41852	1.0731707320000001
GB47688	1.0
GB46321	1.0
GB46736	1.0
GB44218	1.076923077
GB48972	1.0
GB46795	1.0
GB43611	1.048780488
GB41634	1.0243902440000001
GB44213,GB52278	1.048780488
GB52613	1.0731707320000001
GB48355	1.05
GB55591	1.048780488
GB49149	1.048780488
GB45823	1.0243902440000001
GB44905	1.0
GB48693	1.0
GB52985	1.0
GB45281	1.0
GB51998	1.0
GB42495	1.0243902440000001
GB40993,GB53008	1.025
GB49106	1.0
GB41745	1.0243902440000001
GB51619,GB51619	1.243902439
GB44183	1.025
GB46140	1.0
GB54507	1.0243902440000001
GB48515	1.121212121
GB49336	1.048780488
GB40140	1.0243902440000001
GB52306	1.0243902440000001
GB55538	1.0
GB45717	1.0
GB54912	1.0731707320000001
GB53340	1.0731707320000001
GB47581	1.243902439
GB49767	1.025
GB43771	1.0731707320000001
GB52213,GB52213	1.057142857
GB42035	1.0
GB52621	1.0
GB53959	1.025
GB54235	1.054054054
GB42508	1.048780488
GB50923	1.048780488
GB55808	1.0
GB54777	1.097560976
GB41645	1.048780488
GB50498	1.0
GB47190	1.0731707320000001
GB47879,GB47879	1.0243902440000001
GB53909	1.0
GB50853	1.0
GB44673	1.0
GB40808	1.0243902440000001
GB46270	1.0
GB46614	1.146341463
GB48825	1.048780488
GB54320	1.054054054
GB52574	1.0243902440000001
GB49346	1.048780488
GB55020	1.0
GB48577	1.027777778
GB51360	1.0
GB47099	1.0
GB53517	1.0
GB52555,GB52555	1.0243902440000001
GB51962	1.048780488
GB52590	1.4333333330000002
GB45821	1.048780488
GB49491	1.025
GB54568	1.0
GB53412	1.365853659
GB50827	1.179487179
GB41884	1.0
GB53701	1.0
GB49172	1.0243902440000001
GB50535	1.0
GB50852	1.0243902440000001
GB42427	1.285714286
GB52238	1.097560976
GB43860	1.0
GB40251,GB40251	1.0731707320000001
GB50378,GB50388	1.487179487
GB41287	1.0243902440000001
GB51337	1.0243902440000001
GB44959	1.0
GB40346	1.0731707320000001
GB54530	1.0243902440000001
GB53305	1.0
GB52001	1.097560976
GB53778	1.0243902440000001
GB43173	1.0243902440000001
GB54538	1.0731707320000001
GB41332	1.0
GB55583,GB51769	1.146341463
GB45774	1.0243902440000001
GB55888	1.0
GB43304	1.048780488
GB49171	1.0
GB55237,GB55237	1.048780488
GB45972	1.0
GB48795	1.0
GB53341	1.025
GB46564	1.097560976
GB41215	1.0
GB50690	1.048780488
GB51589	1.0
GB49767,GB55648,GB54069	1.87804878
GB41639	1.0
GB52168	1.027777778
GB48234	1.5384615380000002
GB53269	1.0
GB48192	1.081081081
GB50969	1.0
GB44595	1.0
GB47098	1.097560976
GB51653	1.097560976
GB42014	1.0
GB42031	1.0
GB45101	1.0
GB42728	1.048780488
GB43462	1.048780488
GB48789	1.0
GB54177	1.051282051
GB55480,GB51897	2.195121951
GB50357	1.0243902440000001
GB44341	1.0731707320000001
GB47308	1.0
GB47829	1.0
GB46332	1.048780488
GB52472	1.048780488
GB49428	1.0243902440000001
GB44092,GB47528	1.097560976
GB51255	1.43902439
GB48203	1.0731707320000001
GB51036	1.0243902440000001
GB43631	1.0243902440000001
GB48994	1.0
GB51207	1.0
GB40689	1.083333333
GB52537	1.0
GB47680	1.0
GB40703	1.048780488
GB47118	1.0
GB53149	1.05
GB51596	1.0
GB44899	1.0
GB51660	1.025
GB43796	1.05
GB48204,GB48204	1.0731707320000001
GB42984	1.0243902440000001
GB46126	1.121212121
GB52536	1.0243902440000001
GB52759	1.0
GB40452	1.0
GB48305	1.097560976
GB54288	1.0
GB40440	1.0243902440000001
GB44210	1.0
GB44196	1.078947368
GB51019	1.0243902440000001
GB50482	1.0
GB42246	1.0
GB51481	1.0243902440000001
GB52650	1.0
GB51734	1.0243902440000001
GB51542,GB51542	1.0243902440000001
GB53064	1.0731707320000001
GB54031	1.0243902440000001
GB47459	1.0243902440000001
GB40678	1.0
GB53787	1.0
GB50807	1.078947368
GB43718	1.0
GB46618	1.0
GB47808	1.0243902440000001
GB42921	1.0
GB54939	1.0243902440000001
GB49511	1.0243902440000001
GB54998	1.048780488
GB51512	1.0
GB41803	1.0
GB45348	1.12195122
GB54477	1.097560976
GB44193	1.027027027
GB55911	1.0
GB54230	1.0
GB45612	1.0243902440000001
GB51113,GB51113	1.0731707320000001
GB45982	1.0243902440000001
GB45114	1.0
GB42016	1.170731707
GB45373	1.0
GB46526,GB42007	1.057142857
GB55059	1.0243902440000001
GB51692	1.0
GB52975	1.0
GB48556	1.0
GB40567	1.219512195
GB49517	1.0731707320000001
GB55917	1.027777778
GB53133	1.0731707320000001
GB44703	1.25
GB46925	1.0243902440000001
GB42866	1.0243902440000001
GB50406	1.075
GB44862,GB44862,GB44862	1.153846154
GB45530	1.0243902440000001
GB48137	1.0243902440000001
GB41888	1.025
GB50508,GB48687,GB50508	1.342857143
GB41052	1.071428571
GB41454	1.0243902440000001
GB44305	1.0
GB49977	1.146341463
GB43158	1.048780488
GB47113	1.0
GB52280	1.12195122
GB42740	1.0
GB43077	1.0
GB52321	1.05
GB42496	1.0
GB50749	1.05
GB42804	1.0243902440000001
GB40206	1.0
GB51041	1.048780488
GB42244	1.170731707
GB43978	1.0243902440000001
GB41149,GB41149	1.054054054
GB53611	1.048780488
GB47568,GB42394	1.051282051
GB55457	1.027777778
GB49541	1.025
GB52192	1.0
GB52993	1.048780488
GB50593,GB50593,GB50593	1.0731707320000001
GB45135,GB45135	1.4878048780000002
GB43080	1.048780488
GB55764	1.0
GB48403,GB47348	1.351351351
GB53205	1.0
GB45259	1.027027027
GB47476	1.0243902440000001
GB40134,GB40132,GB40132	1.45
GB41983	1.081081081
GB46045	1.175
GB55425	1.048780488
GB44523	1.027777778
GB54852	2.219512195
GB50286	1.0
GB43446	1.0
GB45472	1.0243902440000001
GB52426	1.0243902440000001
GB55495	1.0
GB41746	1.0243902440000001
GB53145,GB53145	1.097560976
GB47422	1.0731707320000001
GB44252	1.0
GB43743	1.0243902440000001
GB48932	1.0243902440000001
GB49730	1.0
GB43140	1.0
GB40350	1.0
GB49373	1.048780488
GB53821	1.048780488
GB52346	1.0
GB52417	1.048780488
GB51246	1.097560976
GB42762	1.205128205
GB43369	1.0243902440000001
GB41681	1.0243902440000001
GB45512	1.0
GB46478	1.0
GB52779	1.12195122
GB52708	1.0243902440000001
GB43497	1.0731707320000001
GB50219	1.097560976
GB42875	1.56097561
GB46689	1.0243902440000001
GB55022	1.048780488
GB55574	1.048780488
GB41449	1.0
GB52907	1.0
GB42062	1.0243902440000001
GB49045	1.2
GB50974	1.12195122
GB41893	1.1578947370000001
GB51381	1.138888889
GB44759	1.025
GB53140,GB53140	1.048780488
GB45064	1.026315789
GB50295	1.0
GB46613	1.0
GB40880	1.048780488
GB47351	1.146341463
GB55822	1.048780488
GB43137	1.0243902440000001
GB49933	1.0
GB44021	1.0
GB50113	1.0
GB55142	1.0
GB42455,GB42455	1.048780488
GB52189	1.0243902440000001
GB55995	1.0
GB51985	1.025
GB47271	1.0731707320000001
GB52661	1.025
GB51515	1.0243902440000001
GB41177	1.0243902440000001
GB52436	1.0
GB49644	1.0
GB44198	1.026315789
GB55904	1.0
GB50700	1.05
GB52435	1.0
GB51502,GB43039	1.0731707320000001
GB55540	1.0
GB54805	1.0
GB44359	1.0243902440000001
GB43203	1.0
GB43480	1.0
GB53388	1.12195122
GB50400	1.175
GB53670	1.0243902440000001
GB42979,GB42979	1.05
GB43238	1.0243902440000001
GB51792	1.048780488
GB53725	1.097560976
GB44532	1.097560976
GB47368	1.0
GB54534	1.075
GB43662	1.322580645
GB51399	1.097560976
GB42423	1.0
GB43935	1.025
GB41909	1.0
GB41596	1.170731707
GB47449	1.0
GB46490	1.15
GB53852	1.0
GB51895	1.0
GB55461	1.0
GB44416	1.048780488
GB47572	1.048780488
GB53970	1.0
GB47812	1.0
GB41714	1.0
GB54798	1.048780488
GB41747	1.0555555559999998
GB47036,GB47036	1.2682926829999999
GB52079	1.0
GB47807	1.1
GB50184	1.0731707320000001
GB45724	1.0
GB41366	1.0
GB52563	1.414634146
GB44884	1.0243902440000001
GB55787	1.0243902440000001
GB54287	1.025
GB47179	1.146341463
GB53012	1.048780488
GB45937	1.146341463
GB53979	1.195121951
GB42616	1.047619048
GB40361	1.0243902440000001
GB54910	1.0
GB51965	1.0
GB43839,GB43839	1.219512195
GB42646	1.025
GB54668,GB54668	1.0243902440000001
GB45417	1.0243902440000001
GB49111	1.0243902440000001
GB43404,GB50225	1.780487805
GB41839	1.0
GB46242	1.0
GB49544	1.7741935480000002
GB48113,GB48114	1.075
GB43456	1.0
GB52266	1.0243902440000001
GB42751	1.097560976
GB53937	1.0731707320000001
GB43216	1.0
GB42739	1.3
GB48775	1.0
GB54158	1.048780488
GB49859	1.0
GB55426	1.0
GB52947	1.0
