gene	CAF
GB44089	0.9209999999999999
GB40008	0.9159999999999999
GB55781	0.782
GB47976	0.985
GB47946	0.858
GB46705	0.9420000000000001
GB51956	0.915
GB47470	0.7020000000000001
GB55650	0.86
GB52098	0.84
GB52252	0.929
GB47452	0.955
GB44587	0.7020000000000001
GB54468,GB49507	0.6679999999999999
GB41196	0.6679999999999999
GB40498	0.7020000000000001
GB50114	0.9209999999999999
GB43870	0.991
GB49951	0.927
GB54130	0.9440000000000001
GB47938	0.7020000000000001
GB50548	0.621
GB49929	0.7020000000000001
GB52848	0.938
GB51673	0.758
GB44262	0.7020000000000001
GB46325	0.912
GB51545	0.9279999999999999
GB51405	0.9420000000000001
GB53320	0.992
GB43214	0.708
GB46253,GB46253	0.89
GB51191	0.915
GB54884	0.938
GB42359	0.703
GB55490	0.9490000000000001
GB41989	0.848
GB41850	0.888
GB42374	0.66
GB49432	0.7020000000000001
GB51773,GB46836	0.9279999999999999
GB45073	0.94
GB51344	0.7
GB53315	0.862
GB49187	0.66
GB53554,GB53558,GB53558	0.922
GB47009	0.9540000000000001
GB41468	0.99
GB42489	0.985
GB48853	0.743
GB43459	0.945
GB51104	0.934
GB47628	0.948
GB41847	0.9420000000000001
GB55143,GB41007	0.9520000000000001
GB41119	0.868
GB52997	0.9420000000000001
GB44685	0.743
GB53104	0.9520000000000001
GB53929	0.81
GB42976,GB42975,GB42976	0.993
GB45260	0.951
GB40993	0.45399999999999996
GB49601	0.6829999999999999
GB40010	0.664
GB42022	0.647
GB55375	0.9590000000000001
GB51276	0.7020000000000001
GB44485	0.893
GB49872	0.956
GB41852	0.995
GB47688	0.7020000000000001
GB46321	0.7020000000000001
GB46736	0.7020000000000001
GB44218	0.8740000000000001
GB48972	0.7020000000000001
GB46795	0.7020000000000001
GB43611	0.993
GB41634	0.9420000000000001
GB44213,GB52278	0.91
GB52613	0.934
GB48355	0.929
GB55591	0.903
GB49149	0.929
GB45823	0.956
GB44905	0.7020000000000001
GB48693	0.7020000000000001
GB52985	0.7
GB45281	0.7020000000000001
GB51998	0.7020000000000001
GB42495	0.9420000000000001
GB40993,GB53008	0.9420000000000001
GB49106	0.7020000000000001
GB41745	0.9540000000000001
GB51619,GB51619	0.993
GB44183	0.9490000000000001
GB46140	0.7020000000000001
GB54507	0.9440000000000001
GB48515	0.9279999999999999
GB49336	0.93
GB40140	0.9540000000000001
GB52306	0.94
GB55538	0.7020000000000001
GB45717	0.7020000000000001
GB54912	0.894
GB53340	0.86
GB47581	0.7559999999999999
GB49767	0.9490000000000001
GB43771	0.992
GB52213,GB52213	0.915
GB42035	0.7020000000000001
GB52621	0.7020000000000001
GB53959	0.953
GB54235	0.9159999999999999
GB42508	0.904
GB50923	0.945
GB55808	0.7020000000000001
GB54777	0.993
GB41645	0.938
GB50498	0.7020000000000001
GB47190	0.894
GB47879,GB47879	0.943
GB53909	0.7020000000000001
GB50853	0.7020000000000001
GB44673	0.7020000000000001
GB40808	0.9420000000000001
GB46270	0.7020000000000001
GB46614	0.7979999999999999
GB48825	0.995
GB54320	0.929
GB52574	0.935
GB49346	0.934
GB55020	0.7020000000000001
GB48577	0.904
GB51360	0.7020000000000001
GB47099	0.7020000000000001
GB53517	0.773
GB52555,GB52555	0.943
GB51962	0.915
GB52590	0.9790000000000001
GB45821	0.914
GB49491	0.9420000000000001
GB54568	0.7020000000000001
GB53412	0.9259999999999999
GB50827	0.6809999999999999
GB41884	0.7020000000000001
GB53701	0.665
GB49172	0.935
GB50535	0.7020000000000001
GB50852	0.9420000000000001
GB42427	0.932
GB52238	0.825
GB43860	0.743
GB40251,GB40251	0.998
GB50378,GB50388	1.0
GB41287	0.9540000000000001
GB51337	0.948
GB44959	0.6940000000000001
GB40346	0.91
GB54530	0.948
GB53305	0.7020000000000001
GB52001	0.9990000000000001
GB53778	0.9420000000000001
GB43173	0.9420000000000001
GB54538	0.862
GB41332	0.7290000000000001
GB55583,GB51769	0.9890000000000001
GB45774	0.9440000000000001
GB55888	0.706
GB43304	0.9359999999999999
GB49171	0.7020000000000001
GB55237,GB55237	0.934
GB45972	0.292
GB48795	0.7020000000000001
GB53341	0.934
GB46564	0.866
GB41215	0.7020000000000001
GB50690	0.9209999999999999
GB51589	0.7020000000000001
GB49767,GB55648,GB54069	0.96
GB41639	0.7020000000000001
GB52168	0.94
GB48234	0.8270000000000001
GB53269	0.7020000000000001
GB48192	0.898
GB50969	0.7020000000000001
GB44595	0.66
GB47098	0.81
GB51653	0.816
GB42014	0.7020000000000001
GB42031	0.7020000000000001
GB45101	0.7020000000000001
GB42728	0.934
GB43462	0.9279999999999999
GB48789	0.7020000000000001
GB54177	0.888
GB55480,GB51897	0.976
GB50357	0.935
GB44341	0.915
GB47308	0.7020000000000001
GB47829	0.7020000000000001
GB46332	0.915
GB52472	0.934
GB49428	0.9420000000000001
GB44092,GB47528	0.997
GB51255	0.9690000000000001
GB48203	0.932
GB51036	0.94
GB43631	0.94
GB48994	0.7020000000000001
GB51207	0.66
GB40689	0.888
GB52537	0.7020000000000001
GB47680	0.7020000000000001
GB40703	0.929
GB47118	0.696
GB53149	0.998
GB51596	0.7020000000000001
GB44899	0.7020000000000001
GB51660	0.9209999999999999
GB43796	0.9159999999999999
GB48204,GB48204	0.904
GB42984	0.9440000000000001
GB46126	0.8170000000000001
GB52536	0.935
GB52759	0.7020000000000001
GB40452	0.7020000000000001
GB48305	0.9940000000000001
GB54288	0.7020000000000001
GB40440	0.9420000000000001
GB44210	0.479
GB44196	0.8590000000000001
GB51019	0.955
GB50482	0.7020000000000001
GB42246	0.7020000000000001
GB51481	0.9440000000000001
GB52650	0.696
GB51734	0.9520000000000001
GB51542,GB51542	0.943
GB53064	0.887
GB54031	0.9420000000000001
GB47459	0.9420000000000001
GB40678	0.743
GB53787	0.7020000000000001
GB50807	0.867
GB43718	0.696
GB46618	0.7020000000000001
GB47808	0.929
GB42921	0.7020000000000001
GB54939	0.943
GB49511	0.935
GB54998	0.9420000000000001
GB51512	0.7809999999999999
GB41803	0.7020000000000001
GB45348	0.867
GB54477	0.904
GB44193	0.951
GB55911	0.647
GB54230	0.7020000000000001
GB45612	0.9490000000000001
GB51113,GB51113	0.992
GB45982	0.94
GB45114	0.7020000000000001
GB42016	0.8170000000000001
GB45373	0.7020000000000001
GB46526,GB42007	0.701
GB55059	0.955
GB51692	0.7020000000000001
GB52975	0.743
GB48556	0.7020000000000001
GB40567	0.718
GB49517	0.9990000000000001
GB55917	0.934
GB53133	0.9109999999999999
GB44703	1.0
GB46925	0.9420000000000001
GB42866	0.9440000000000001
GB50406	0.987
GB44862,GB44862,GB44862	0.976
GB45530	0.955
GB48137	0.9420000000000001
GB41888	0.9279999999999999
GB50508,GB48687,GB50508	0.889
GB41052	0.8340000000000001
GB41454	0.935
GB44305	0.6829999999999999
GB49977	0.787
GB43158	0.998
GB47113	0.7020000000000001
GB52280	0.841
GB42740	0.7020000000000001
GB43077	0.6940000000000001
GB52321	0.9420000000000001
GB42496	0.7020000000000001
GB50749	0.904
GB42804	0.94
GB40206	0.7020000000000001
GB51041	0.94
GB42244	0.993
GB43978	0.9490000000000001
GB41149,GB41149	0.8809999999999999
GB53611	0.9159999999999999
GB47568,GB42394	0.887
GB55457	0.934
GB49541	0.934
GB52192	0.35
GB52993	0.9420000000000001
GB50593,GB50593,GB50593	0.993
GB45135,GB45135	0.985
GB43080	0.9
GB55764	0.753
GB48403,GB47348	0.797
GB53205	0.7020000000000001
GB45259	0.951
GB47476	0.9420000000000001
GB40134,GB40132,GB40132	0.8909999999999999
GB41983	0.91
GB46045	0.9690000000000001
GB55425	0.915
GB44523	0.929
GB54852	0.062
GB50286	0.66
GB43446	0.7020000000000001
GB45472	0.9420000000000001
GB52426	0.948
GB55495	0.7020000000000001
GB41746	0.9420000000000001
GB53145,GB53145	0.929
GB47422	0.9440000000000001
GB44252	0.7020000000000001
GB43743	0.9420000000000001
GB48932	0.935
GB49730	0.7020000000000001
GB43140	0.7020000000000001
GB40350	0.7020000000000001
GB49373	0.9490000000000001
GB53821	0.934
GB52346	0.7020000000000001
GB52417	0.995
GB51246	0.9490000000000001
GB42762	0.615
GB43369	0.9420000000000001
GB41681	0.943
GB45512	0.6940000000000001
GB46478	0.7020000000000001
GB52779	0.877
GB52708	0.955
GB43497	0.904
GB50219	0.934
GB42875	0.986
GB46689	0.94
GB55022	0.995
GB55574	0.934
GB41449	0.6829999999999999
GB52907	0.6940000000000001
GB42062	0.948
GB49045	0.65
GB50974	0.976
GB41893	0.92
GB51381	0.737
GB44759	0.94
GB53140,GB53140	0.91
GB45064	0.89
GB50295	0.441
GB46613	0.7020000000000001
GB40880	0.934
GB47351	0.993
GB55822	0.934
GB43137	0.956
GB49933	0.7020000000000001
GB44021	0.7020000000000001
GB50113	0.7020000000000001
GB55142	0.7020000000000001
GB42455,GB42455	0.929
GB52189	0.9520000000000001
GB55995	0.7020000000000001
GB51985	0.9329999999999999
GB47271	0.998
GB52661	0.951
GB51515	0.956
GB41177	0.9420000000000001
GB52436	0.66
GB49644	0.7020000000000001
GB44198	0.935
GB55904	0.66
GB50700	0.867
GB52435	0.66
GB51502,GB43039	0.904
GB55540	0.7020000000000001
GB54805	0.7020000000000001
GB44359	0.9420000000000001
GB43203	0.7020000000000001
GB43480	0.7020000000000001
GB53388	0.99
GB50400	0.7240000000000001
GB53670	0.9420000000000001
GB42979,GB42979	0.9279999999999999
GB43238	0.955
GB51792	0.9420000000000001
GB53725	0.9159999999999999
GB44532	0.8759999999999999
GB47368	0.7020000000000001
GB54534	0.833
GB43662	0.797
GB51399	0.904
GB42423	0.431
GB43935	0.9329999999999999
GB41909	0.7020000000000001
GB41596	0.816
GB47449	0.6940000000000001
GB46490	0.993
GB53852	0.7020000000000001
GB51895	0.7020000000000001
GB55461	0.7020000000000001
GB44416	0.995
GB47572	0.9209999999999999
GB53970	0.494
GB47812	0.7020000000000001
GB41714	0.7
GB54798	0.883
GB41747	0.9159999999999999
GB47036,GB47036	0.982
GB52079	0.7020000000000001
GB47807	0.887
GB50184	0.9259999999999999
GB45724	0.7020000000000001
GB41366	0.737
GB52563	0.998
GB44884	0.9440000000000001
GB55787	0.9420000000000001
GB54287	0.9490000000000001
GB47179	0.987
GB53012	0.934
GB45937	0.8909999999999999
GB53979	0.977
GB42616	0.867
GB40361	0.935
GB54910	0.7020000000000001
GB51965	0.7020000000000001
GB43839,GB43839	0.9690000000000001
GB42646	0.953
GB54668,GB54668	0.943
GB45417	0.9540000000000001
GB49111	0.955
GB43404,GB50225	0.934
GB41839	0.7020000000000001
GB46242	0.7020000000000001
GB49544	0.425
GB48113,GB48114	0.862
GB43456	0.621
GB52266	0.9540000000000001
GB42751	0.857
GB53937	0.9490000000000001
GB43216	0.773
GB42739	0.9990000000000001
GB48775	0.7020000000000001
GB54158	0.9209999999999999
GB49859	0.665
GB55426	0.6940000000000001
GB52947	0.7020000000000001
GB45755	0.938
GB42735	0.934
GB47242	0.9540000000000001
GB46599	0.7020000000000001
GB50195	0.998
GB48625	0.693
GB52109	0.9420000000000001
GB50635	0.8690000000000001
GB49931	0.998
GB50660	0.7020000000000001
GB48483	0.992
GB55378	0.743
GB49995	0.904
GB48523	0.955
GB42670	0.9420000000000001
GB48639	0.6829999999999999
GB40204	0.966
GB44808	0.934
GB54551,GB54502	0.725
GB42058	0.7020000000000001
GB45905	0.929
GB44117	0.934
GB45881	0.7020000000000001
GB45690	0.9420000000000001
GB52457	0.9890000000000001
GB48530	0.9540000000000001
GB48399,GB42391	0.943
GB49197,GB49197	0.872
GB50345	0.934
GB43730	0.929
GB44650	0.9490000000000001
GB47231	0.687
GB52589	0.37200000000000005
GB44754	0.935
GB53284	0.706
GB53353	0.946
GB49388	0.7020000000000001
GB49096	0.6940000000000001
GB55658	0.998
GB40859	0.7020000000000001
GB52541	0.6940000000000001
GB55641,GB45533	0.9309999999999999
GB40033	0.7020000000000001
GB50395	0.7020000000000001
GB42066	0.7020000000000001
GB49844	0.955
GB41174	0.998
GB55751	0.7020000000000001
GB47683	0.9520000000000001
GB40280	0.997
GB40878	0.904
GB55002	0.53
GB51706	0.9440000000000001
GB49921	0.7020000000000001
GB44594	0.935
GB50204	0.7020000000000001
GB54425	0.7020000000000001
GB44933	0.6940000000000001
GB54593	0.9420000000000001
GB41507	0.929
GB51273	0.9420000000000001
GB51852	0.6829999999999999
GB43909	0.932
GB45970	0.69
GB42683,GB52566	0.893
GB51775	0.915
GB44330	0.7390000000000001
GB45277	0.821
GB47414	0.7020000000000001
GB48117	0.953
GB55225	0.8290000000000001
GB54995	0.9490000000000001
GB54893	0.7020000000000001
GB41919,GB41921	0.85
GB40581,GB40581	0.915
GB51219	0.904
GB45442	0.701
GB44429	0.7020000000000001
GB47138	0.915
GB51133	0.956
GB42967	0.938
GB50959	0.9420000000000001
GB51544	0.7020000000000001
GB40603	0.899
GB51511,GB51511	0.915
GB48426	0.7020000000000001
GB48396	0.9490000000000001
GB46691	0.7020000000000001
GB42220	0.91
GB54700	0.935
GB53083	0.7020000000000001
GB51953	0.866
GB49406	0.7020000000000001
GB53690	0.7020000000000001
GB44912	0.7020000000000001
GB51612	0.7020000000000001
GB50141	0.7020000000000001
GB53073	0.664
GB41723	0.5579999999999999
GB52328	0.935
GB55820	0.9440000000000001
GB46016	0.934
GB43407	0.647
GB43945	0.904
GB52916	0.7020000000000001
GB45968	0.943
GB48247	0.7020000000000001
GB41900	0.7020000000000001
GB43074	0.7020000000000001
GB45623	0.7020000000000001
GB54273	0.904
GB47961,GB41597	0.94
GB47437	0.992
GB51134	0.9840000000000001
GB49642	0.951
GB42756	0.9940000000000001
GB53963,GB50291	0.943
GB44414	0.9540000000000001
GB53825	0.7020000000000001
GB55715	0.7020000000000001
GB54378	0.915
GB43239	0.91
GB55775	0.6940000000000001
GB45212	0.7020000000000001
GB54348	0.7020000000000001
GB53306	0.569
GB55146	0.992
GB49438,GB49438	0.943
GB55826	0.9840000000000001
GB44890	0.7020000000000001
GB45762	0.7020000000000001
GB54649	0.7020000000000001
GB51748	0.9420000000000001
GB53231	0.9440000000000001
GB54780	0.938
GB54127	0.955
GB54921,GB54921	0.91
GB43465,GB41957	0.9520000000000001
GB55770	0.94
GB48158	0.7020000000000001
GB48463	0.8029999999999999
GB51696	0.977
GB46731	0.7020000000000001
GB45370	0.85
GB52304	0.7020000000000001
GB46018	0.956
GB54119	0.7020000000000001
GB43470	0.995
GB53865,GB53865,GB53865	0.995
GB53651	0.7020000000000001
GB50246	0.9540000000000001
GB45564	0.863
GB40657	0.7020000000000001
GB47280	0.929
GB54269	0.7020000000000001
GB48229	0.988
GB55578	0.647
GB44174	0.7020000000000001
GB54885	0.9420000000000001
GB42076	0.743
GB49290	0.821
GB40316	0.9209999999999999
GB42925	0.934
GB45967	0.723
GB51702	0.7020000000000001
GB43817	0.9
GB50133	0.9540000000000001
GB52224	0.32799999999999996
GB48347	0.9440000000000001
GB55567	0.7020000000000001
GB55579	0.9520000000000001
GB55239	0.6940000000000001
GB40803	0.935
GB45646	0.743
GB40893	0.948
GB53657	0.995
GB48923	0.9540000000000001
GB42731	0.757
GB44648,GB44647	0.9540000000000001
GB51120	0.7020000000000001
GB45214	0.8370000000000001
GB44881	0.7020000000000001
GB45084	0.9229999999999999
GB55244	0.7020000000000001
GB54035	0.934
GB54213	0.9109999999999999
GB50359	0.887
GB53606	0.7020000000000001
GB50369	0.9440000000000001
GB54664	0.912
GB44000	0.986
GB42977	0.934
GB41345	0.7020000000000001
GB49680	0.703
GB51693	0.7020000000000001
GB49480,GB49480	0.935
GB46693	0.7020000000000001
GB50538	0.424
GB53122,GB53118,GB49568	0.977
GB43908	0.013999999999999999
GB52086	0.298
GB54143,GB54143	0.992
GB41883	0.7020000000000001
GB40420	0.9279999999999999
GB51500	0.997
GB42401	0.995
GB54313	0.7020000000000001
GB50605,GB50606	0.215
GB46982	0.888
GB52165	0.7020000000000001
GB45001	0.7020000000000001
GB49755	0.7020000000000001
GB55272	0.929
GB49184	0.706
GB42138	0.996
GB40823	0.922
GB51130	0.647
GB40014	0.9540000000000001
GB55164	0.905
GB53384	0.9390000000000001
GB50997	0.7020000000000001
GB44247	0.7020000000000001
GB42619	0.37
GB48949	0.7020000000000001
GB52249	0.7020000000000001
GB42505	0.904
