orthogroup	AAL
MZ22500000	6557.35
MZ22500003	10499.5
MZ22500004	3779.7
MZ22500007	5474.75
MZ22500009	3769.7391299999995
MZ22500010	3922.333333
MZ22500012	4166.565217
MZ22500013	2409.857143
MZ22500017	4033.0952380000003
MZ22500019	6743.55
MZ22500020	4577.0
MZ22500022	5840.684211
MZ22500024	4028.5
MZ22500025	4889.263158
MZ22500026	3748.4736840000005
MZ22500028	3343.409091
MZ22500029	4032.36
MZ22500030	4547.0
MZ22500032	4611.0
MZ22500033	3308.647059
MZ22500036	5042.705882
MZ22500038	4747.947368
MZ22500040	3902.5
MZ22500041	4133.578947
MZ22500043	3206.12
MZ22500045	4508.0
MZ22500047	3927.277778
MZ22500048	1582.878788
MZ22500049	4367.5263159999995
MZ22500052	4013.4736840000005
MZ22500053	4605.05
MZ22500054	2192.333333
MZ22500057	3653.0454549999995
MZ22500058	2297.7666670000003
MZ22500060	3058.0
MZ22500062	3488.4736840000005
MZ22500063	1563.911111
MZ22500064	3407.95
MZ22500066	2436.6206899999997
MZ22500067	3261.541667
MZ22500068	2456.214286
MZ22500070	4096.444444
MZ22500071	3025.5217390000003
MZ22500073	3188.904762
MZ22500075	2636.869565
MZ22500078	3170.7
MZ22500079	3984.6
MZ22500080	3151.4782609999997
MZ22500081	3287.52381
MZ22500084	3377.3
MZ22500086	1578.871795
MZ22500088	5291.85
MZ22500089	3528.052632
MZ22500093	1817.677419
MZ22500094	5399.4545450000005
MZ22500095	4465.458333
MZ22500096	2550.571429
MZ22500097	3431.2631579999997
MZ22500098	3396.28
MZ22500100	2227.0
MZ22500101	1927.25
MZ22500102	2408.4782609999997
MZ22500105	2463.25
MZ22500106	2897.461538
MZ22500107	2861.809524
MZ22500111	1532.12
MZ22500114	2628.222222
MZ22500115	2629.347826
MZ22500117	2227.695652
MZ22500118	2999.052632
MZ22500120	2675.2631579999997
MZ22500123	3222.85
MZ22500124	2944.35
MZ22500126	2032.296296
MZ22500128	1859.892857
MZ22500132	2580.894737
MZ22500133	2878.0
MZ22500134	2430.2
MZ22500135	2393.75
MZ22500137	1252.862069
MZ22500138	1902.6333329999998
MZ22500139	2740.590909
MZ22500141	2308.2380949999997
MZ22500142	3127.142857
MZ22500144	1646.615385
MZ22500147	2890.105263
MZ22500149	2799.8
MZ22500152	2686.8
MZ22500154	1711.45
MZ22500155	2110.357143
MZ22500156	2785.368421
MZ22500158	2450.75
MZ22500160	2708.75
MZ22500162	2107.454545
MZ22500163	1627.2608699999998
MZ22500164	2811.368421
MZ22500166	2440.666667
MZ22500169	2321.333333
MZ22500170	2476.333333
MZ22500171	1572.918919
MZ22500172	2286.666667
MZ22500173	1451.6315789999999
MZ22500174	2212.15
MZ22500176	2441.65
MZ22500177	2707.2631579999997
MZ22500179	2812.7368420000003
MZ22500180	3041.884615
MZ22500181	2598.421053
MZ22500182	2311.818182
MZ22500183	2185.5
MZ22500187	1689.0
MZ22500188	1487.25
MZ22500190	2946.315789
MZ22500194	2997.2
MZ22500196	1753.6956519999999
MZ22500197	2488.2631579999997
MZ22500202	2201.684211
MZ22500204	2366.7619050000003
MZ22500205	2317.157895
MZ22500208	2805.368421
MZ22500211	2326.05
MZ22500214	1585.857143
MZ22500215	2582.071429
MZ22500216	2288.7
MZ22500219	2562.619048
MZ22500225	1931.3684210000001
MZ22500230	2263.142857
MZ22500233	2177.85
MZ22500234	2341.05
MZ22500235	2380.684211
MZ22500238	1140.6216220000001
MZ22500239	3115.7619050000003
MZ22500240	1503.16129
MZ22500243	2605.157895
MZ22500244	1718.7368420000003
MZ22500246	1132.888889
MZ22500247	1474.181818
MZ22500251	2188.315789
MZ22500252	2323.8
MZ22500257	2388.7894739999997
MZ22500259	2270.55
MZ22500265	2283.578947
MZ22500266	1283.782609
MZ22500267	2515.1
MZ22500268	1988.8421050000002
MZ22500275	2347.2631579999997
MZ22500276	3082.6
MZ22500277	2234.7368420000003
MZ22500278	2217.631579
MZ22500280	3339.3
MZ22500281	2942.55
MZ22500285	2802.1
MZ22500286	2095.5217390000003
MZ22500287	2854.684211
MZ22500289	1835.0952379999999
MZ22500292	2290.631579
MZ22500294	2111.947368
MZ22500298	2128.9375
MZ22500300	2263.7368420000003
MZ22500301	2239.4375
MZ22500302	2063.352941
MZ22500303	2328.1
MZ22500306	1206.818182
MZ22500307	1223.888889
MZ22500308	1992.9523809999998
MZ22500310	1330.083333
MZ22500311	2020.421053
MZ22500312	1996.619048
MZ22500314	1436.7391300000002
MZ22500316	2043.315789
MZ22500317	1931.85
MZ22500318	2716.6
MZ22500321	2922.714286
MZ22500323	2000.4761899999999
MZ22500324	1452.95
MZ22500325	1943.7
MZ22500326	2782.166667
MZ22500327	1483.789474
MZ22500328	1738.8695649999997
MZ22500332	2340.947368
MZ22500333	1772.894737
MZ22500334	2384.421053
MZ22500338	2154.1
