orthogroup	AEN
MZ22500000	13.7
MZ22500003	17.27777778
MZ22500004	19.0
MZ22500007	6.6
MZ22500009	11.17391304
MZ22500010	7.952380952
MZ22500012	15.2173913
MZ22500013	13.65714286
MZ22500017	12.23809524
MZ22500019	19.75
MZ22500020	25.45
MZ22500022	13.36842105
MZ22500024	6.541666667
MZ22500025	12.21052632
MZ22500026	7.263157895
MZ22500028	40.81818182
MZ22500029	15.0
MZ22500030	6.947368421
MZ22500032	15.0
MZ22500033	13.94117647
MZ22500036	10.29411765
MZ22500038	10.47368421
MZ22500040	21.3
MZ22500041	13.21052632
MZ22500043	15.16
MZ22500045	12.13043478
MZ22500047	16.55555556
MZ22500048	13.06060606
MZ22500049	11.42105263
MZ22500052	16.57894737
MZ22500053	24.3
MZ22500054	9.633333333
MZ22500057	14.54545455
MZ22500058	12.33333333
MZ22500060	32.47368421
MZ22500062	6.894736842
MZ22500063	13.97777778
MZ22500064	2.7
MZ22500066	9.482758621
MZ22500067	9.666666667000001
MZ22500068	10.64285714
MZ22500070	14.77777778
MZ22500071	10.60869565
MZ22500073	9.666666667000001
MZ22500075	29.65217391
MZ22500078	18.25
MZ22500079	10.75
MZ22500080	14.30434783
MZ22500081	5.619047619
MZ22500084	6.65
MZ22500086	7.076923077000001
MZ22500088	17.2
MZ22500089	8.631578947000001
MZ22500093	5.516129032
MZ22500094	11.18181818
MZ22500095	9.833333332999999
MZ22500096	10.19047619
MZ22500097	15.57894737
MZ22500098	5.48
MZ22500100	12.34615385
MZ22500101	18.1
MZ22500102	10.7826087
MZ22500105	12.8
MZ22500106	12.15384615
MZ22500107	17.33333333
MZ22500111	12.04
MZ22500114	8.833333332999999
MZ22500115	16.2173913
MZ22500117	12.7826087
MZ22500118	9.263157895
MZ22500120	12.10526316
MZ22500123	6.8
MZ22500124	26.9
MZ22500126	16.92592593
MZ22500128	3.285714286
MZ22500132	4.210526316
MZ22500133	17.57142857
MZ22500134	8.92
MZ22500135	8.55
MZ22500137	5.896551724
MZ22500138	8.866666667
MZ22500139	5.318181818
MZ22500141	13.0
MZ22500142	14.66666667
MZ22500144	8.730769231
MZ22500147	8.736842105
MZ22500149	8.85
MZ22500152	10.5
MZ22500154	4.65
MZ22500155	9.928571429
MZ22500156	10.05263158
MZ22500158	8.2
MZ22500160	3.833333333
MZ22500162	2.727272727
MZ22500163	13.95652174
MZ22500164	16.10526316
MZ22500166	8.857142857000001
MZ22500169	6.380952381
MZ22500170	4.619047619
MZ22500171	10.62162162
MZ22500172	8.761904762
MZ22500173	7.894736842
MZ22500174	8.2
MZ22500176	4.4
MZ22500177	5.3684210530000005
MZ22500179	6.157894737
MZ22500180	9.115384615
MZ22500181	4.8421052630000005
MZ22500182	5.772727272999999
MZ22500183	20.625
MZ22500187	15.73684211
MZ22500188	10.92857143
MZ22500190	8.526315789
MZ22500194	9.75
MZ22500196	16.82608696
MZ22500197	3.526315789
MZ22500202	4.473684211
MZ22500204	22.95238095
MZ22500205	6.315789474
MZ22500208	4.8947368419999995
MZ22500211	18.5
MZ22500214	11.57142857
MZ22500215	3.785714286
MZ22500216	4.85
MZ22500219	6.857142857
MZ22500225	11.26315789
MZ22500230	11.0
MZ22500233	6.35
MZ22500234	9.9
MZ22500235	12.68421053
MZ22500238	6.513513514
MZ22500239	5.095238095
MZ22500240	13.25806452
MZ22500243	7.684210526
MZ22500244	6.368421053
MZ22500246	6.962962963
MZ22500247	13.68181818
MZ22500251	7.0
MZ22500252	4.9
MZ22500257	6.210526316
MZ22500259	9.3
MZ22500265	8.842105262999999
MZ22500266	2.304347826
MZ22500267	16.35
MZ22500268	9.368421052999999
MZ22500275	8.947368421
MZ22500276	13.9
MZ22500277	6.052631579
MZ22500278	13.73684211
MZ22500280	6.65
MZ22500281	21.85
MZ22500285	6.95
MZ22500286	10.47826087
MZ22500287	7.0
MZ22500289	2.714285714
MZ22500292	8.578947368
MZ22500294	10.84210526
MZ22500298	10.1875
MZ22500300	8.631578947000001
MZ22500301	3.25
MZ22500302	4.470588235
MZ22500303	5.6
MZ22500306	13.15151515
MZ22500307	5.777777778
MZ22500308	6.428571429
MZ22500310	4.333333333
MZ22500311	12.73684211
MZ22500312	11.61904762
MZ22500314	7.043478261000001
MZ22500316	10.47368421
MZ22500317	5.3
MZ22500318	6.6
MZ22500321	12.0952381
MZ22500323	11.0
MZ22500324	4.3
MZ22500325	5.45
MZ22500326	4.722222222
MZ22500327	6.947368421
MZ22500328	11.17391304
MZ22500332	4.210526316
MZ22500333	8.368421052999999
MZ22500334	13.68421053
MZ22500338	5.1
MZ22500339	6.052631579
MZ22500342	4.055555556
MZ22500344	9.263157895
MZ22500345	5.454545455
MZ22500346	11.05263158
MZ22500347	10.85
MZ22500348	11.61904762
MZ22500350	11.79310345
MZ22500352	5.05
MZ22500357	8.157894737000001
MZ22500359	12.57894737
MZ22500360	10.75
MZ22500361	8.947368421
MZ22500362	7.157894737
MZ22500363	1.947368421
MZ22500364	10.52631579
MZ22500365	7.157894737
MZ22500366	4.6
MZ22500367	16.89473684
MZ22500369	8.590909091
MZ22500373	1.05
MZ22500374	5.25
MZ22500377	7.157894737
MZ22500381	7.1363636360000005
MZ22500385	5.1578947369999995
MZ22500387	6.631578947
MZ22500388	13.76923077
MZ22500389	22.57894737
MZ22500390	6.9
MZ22500391	7.368421053
MZ22500395	3.476190476
MZ22500396	22.15789474
MZ22500398	8.684210526000001
MZ22500400	4.052631579
MZ22500402	9.789473683999999
MZ22500403	10.75862069
MZ22500404	9.277777777999999
MZ22500405	9.263157895
MZ22500407	10.66666667
MZ22500408	7.842105263
