orthogroup	AGE
MZ22500000	43.0
MZ22500003	43.0
MZ22500004	43.0
MZ22500007	43.0
MZ22500009	43.0
MZ22500010	43.0
MZ22500012	43.0
MZ22500013	43.0
MZ22500017	43.0
MZ22500019	43.0
MZ22500020	43.0
MZ22500022	43.0
MZ22500024	43.0
MZ22500025	43.0
MZ22500026	43.0
MZ22500028	43.0
MZ22500029	43.0
MZ22500030	43.0
MZ22500032	43.0
MZ22500033	43.0
MZ22500036	43.0
MZ22500038	43.0
MZ22500040	43.0
MZ22500041	43.0
MZ22500043	43.0
MZ22500045	43.0
MZ22500047	43.0
MZ22500048	43.0
MZ22500049	43.0
MZ22500052	43.0
MZ22500053	43.0
MZ22500054	43.0
MZ22500057	43.0
MZ22500058	43.0
MZ22500060	43.0
MZ22500062	43.0
MZ22500063	43.0
MZ22500064	43.0
MZ22500066	43.0
MZ22500067	43.0
MZ22500068	43.0
MZ22500070	43.0
MZ22500071	43.0
MZ22500073	43.0
MZ22500075	43.0
MZ22500078	43.0
MZ22500079	43.0
MZ22500080	43.0
MZ22500081	43.0
MZ22500084	43.0
MZ22500086	43.0
MZ22500088	43.0
MZ22500089	43.0
MZ22500093	43.0
MZ22500094	43.0
MZ22500095	43.0
MZ22500096	43.0
MZ22500097	43.0
MZ22500098	43.0
MZ22500100	43.0
MZ22500101	43.0
MZ22500102	43.0
MZ22500105	43.0
MZ22500106	43.0
MZ22500107	43.0
MZ22500111	43.0
MZ22500114	43.0
MZ22500115	43.0
MZ22500117	43.0
MZ22500118	43.0
MZ22500120	43.0
MZ22500123	43.0
MZ22500124	43.0
MZ22500126	43.0
MZ22500128	43.0
MZ22500132	43.0
MZ22500133	43.0
MZ22500134	43.0
MZ22500135	43.0
MZ22500137	43.0
MZ22500138	43.0
MZ22500139	43.0
MZ22500141	43.0
MZ22500142	43.0
MZ22500144	43.0
MZ22500147	43.0
MZ22500149	43.0
MZ22500152	43.0
MZ22500154	43.0
MZ22500155	43.0
MZ22500156	43.0
MZ22500158	43.0
MZ22500160	27.90365678
MZ22500162	43.0
MZ22500163	43.0
MZ22500164	43.0
MZ22500166	43.0
MZ22500169	43.0
MZ22500170	43.0
MZ22500171	43.0
MZ22500172	43.0
MZ22500173	43.0
MZ22500174	43.0
MZ22500176	43.0
MZ22500177	43.0
MZ22500179	43.0
MZ22500180	43.0
MZ22500181	43.0
MZ22500182	43.0
MZ22500183	43.0
MZ22500187	43.0
MZ22500188	43.0
MZ22500190	43.0
MZ22500194	43.0
MZ22500196	43.0
MZ22500197	43.0
MZ22500202	43.0
MZ22500204	43.0
MZ22500205	43.0
MZ22500208	43.0
MZ22500211	43.0
MZ22500214	43.0
MZ22500215	43.0
MZ22500216	43.0
MZ22500219	43.0
MZ22500225	43.0
MZ22500230	43.0
MZ22500233	43.0
MZ22500234	43.0
MZ22500235	43.0
MZ22500238	43.0
MZ22500239	43.0
MZ22500240	43.0
MZ22500243	43.0
MZ22500244	43.0
MZ22500246	43.0
MZ22500247	43.0
MZ22500251	43.0
MZ22500252	43.0
MZ22500257	43.0
MZ22500259	43.0
MZ22500265	43.0
MZ22500266	43.0
MZ22500267	43.0
MZ22500268	43.0
MZ22500275	43.0
MZ22500276	43.0
MZ22500277	43.0
MZ22500278	43.0
MZ22500280	43.0
MZ22500281	43.0
MZ22500285	43.0
MZ22500286	43.0
MZ22500287	43.0
MZ22500289	43.0
MZ22500292	43.0
MZ22500294	43.0
MZ22500298	27.90365678
MZ22500300	43.0
MZ22500301	27.90365678
MZ22500302	43.0
MZ22500303	43.0
MZ22500306	43.0
MZ22500307	43.0
MZ22500308	43.0
MZ22500310	43.0
MZ22500311	43.0
MZ22500312	43.0
MZ22500314	43.0
MZ22500316	43.0
MZ22500317	43.0
MZ22500318	43.0
MZ22500321	43.0
MZ22500323	43.0
MZ22500324	43.0
MZ22500325	43.0
MZ22500326	43.0
MZ22500327	43.0
MZ22500328	43.0
MZ22500332	43.0
MZ22500333	43.0
MZ22500334	43.0
MZ22500338	43.0
MZ22500339	43.0
MZ22500342	43.0
MZ22500344	43.0
MZ22500345	43.0
MZ22500346	43.0
MZ22500347	43.0
MZ22500348	27.90365678
MZ22500350	43.0
MZ22500352	43.0
MZ22500357	43.0
MZ22500359	43.0
MZ22500360	43.0
MZ22500361	43.0
MZ22500362	43.0
MZ22500363	43.0
MZ22500364	43.0
MZ22500365	43.0
MZ22500366	43.0
MZ22500367	43.0
MZ22500369	43.0
MZ22500373	43.0
MZ22500374	43.0
MZ22500377	43.0
MZ22500381	43.0
MZ22500385	43.0
MZ22500387	43.0
MZ22500388	43.0
MZ22500389	43.0
MZ22500390	43.0
MZ22500391	43.0
MZ22500395	43.0
MZ22500396	43.0
