orthogroup	DUP
0at7399	0.0
1at7399	0.073170732
2at7399	0.073170732
5at7399	0.12195122
7at7399	0.146341463
13at7399	0.219512195
14at7399	0.024390244
15at7399	0.048780488
17at7399	0.0
18at7399	0.1
28at7399	0.102564103
31at7399	0.024390244
32at7399	0.024390244
35at7399	0.0
49at7399	0.0
54at7399	0.87804878
57at7399	0.219512195
60at7399	0.0
61at7399	0.048780488
67at7399	0.102564103
78at7399	0.048780488
82at7399	0.024390244
84at7399	0.0
85at7399	0.0
86at7399	0.0
88at7399	0.025
90at7399	0.083333333
92at7399	0.0
102at7399	0.048780488
103at7399	0.05
104at7399	0.024390244
105at7399	0.05
108at7399	0.0
110at7399	0.083333333
112at7399	0.048780488
116at7399	0.025641026
117at7399	0.033333333
118at7399	0.024390244
120at7399	0.26829268300000003
123at7399	0.075
128at7399	0.871794872
131at7399	0.0
133at7399	0.0
138at7399	0.048780488
143at7399	0.027777778
148at7399	0.0
150at7399	0.05
152at7399	0.0
156at7399	0.205128205
159at7399	0.024390244
160at7399	0.073170732
166at7399	0.097560976
167at7399	0.0
170at7399	0.027777778
171at7399	0.048780488
175at7399	0.024390244
178at7399	0.024390244
188at7399	0.05
190at7399	0.073170732
191at7399	0.024390244
193at7399	0.0
198at7399	0.024390244
200at7399	0.032258065
205at7399	0.048780488
216at7399	0.027777778
218at7399	0.0
219at7399	0.0
221at7399	0.0
222at7399	0.0
223at7399	0.027027027000000002
226at7399	0.0
227at7399	0.097560976
232at7399	0.024390244
233at7399	0.048780488
239at7399	0.0
241at7399	0.0
244at7399	0.0
246at7399	0.076923077
249at7399	0.0
251at7399	0.0
259at7399	0.024390244
260at7399	0.024390244
261at7399	0.024390244
264at7399	0.048780488
265at7399	0.073170732
266at7399	0.05
267at7399	0.048780488
268at7399	0.048780488
274at7399	0.024390244
279at7399	0.0
281at7399	0.0
282at7399	0.0
285at7399	0.048780488
290at7399	0.0
292at7399	0.0
297at7399	0.024390244
301at7399	0.025
302at7399	0.0
306at7399	0.024390244
308at7399	0.12195122
310at7399	0.025
311at7399	0.0
317at7399	0.024390244
319at7399	0.090909091
321at7399	0.048780488
324at7399	0.024390244
335at7399	0.024390244
341at7399	0.0
342at7399	0.0
343at7399	0.073170732
346at7399	0.073170732
349at7399	0.243902439
352at7399	0.025
359at7399	0.048780488
371at7399	0.057142857000000005
376at7399	0.0
378at7399	0.0
381at7399	0.025
382at7399	0.054054054000000004
386at7399	0.048780488
388at7399	0.0
392at7399	0.048780488
393at7399	0.0
394at7399	0.073170732
395at7399	0.048780488
400at7399	0.0
401at7399	0.073170732
402at7399	0.024390244
404at7399	0.0
412at7399	0.0
413at7399	0.0
415at7399	0.024390244
416at7399	0.0
417at7399	0.0
418at7399	0.146341463
420at7399	0.024390244
422at7399	0.054054054000000004
425at7399	0.024390244
426at7399	0.048780488
430at7399	0.0
434at7399	0.027777778
435at7399	0.0
436at7399	0.0
437at7399	0.0
438at7399	0.024390244
439at7399	0.048780488
440at7399	0.26666666699999997
446at7399	0.048780488
453at7399	0.025
455at7399	0.0
457at7399	0.146341463
459at7399	0.179487179
461at7399	0.03030303
462at7399	0.0
466at7399	0.0
468at7399	0.024390244
470at7399	0.0
476at7399	0.024390244
477at7399	0.14285714300000002
480at7399	0.097560976
482at7399	0.0
486at7399	0.048780488
493at7399	0.23076923100000002
497at7399	0.024390244
501at7399	0.024390244
502at7399	0.0
504at7399	0.073170732
511at7399	0.024390244
523at7399	0.0
527at7399	0.048780488
531at7399	0.024390244
534at7399	0.024390244
539at7399	0.073170732
541at7399	0.0
550at7399	0.12195122
551at7399	0.024390244
552at7399	0.0
556at7399	0.048780488
558at7399	0.0
560at7399	0.048780488
567at7399	0.0
569at7399	0.0
572at7399	0.025
577at7399	0.097560976
582at7399	0.125
589at7399	0.028571429
590at7399	0.0
598at7399	0.048780488
601at7399	0.0
603at7399	0.804878049
605at7399	0.0
607at7399	0.027777778
608at7399	0.256410256
617at7399	0.0
625at7399	0.081081081
635at7399	0.0
651at7399	0.0
659at7399	0.097560976
660at7399	0.097560976
665at7399	0.0
670at7399	0.0
674at7399	0.0
675at7399	0.048780488
683at7399	0.048780488
684at7399	0.0
685at7399	0.051282050999999995
690at7399	1.0
691at7399	0.024390244
699at7399	0.073170732
700at7399	0.0
702at7399	0.0
705at7399	0.048780488
708at7399	0.048780488
711at7399	0.024390244
720at7399	0.048780488
724at7399	0.365853659
725at7399	0.073170732
728at7399	0.024390244
734at7399	0.024390244
739at7399	0.0
740at7399	0.0
748at7399	0.060606060999999996
749at7399	0.083333333
750at7399	0.0
751at7399	0.0
759at7399	0.048780488
760at7399	0.0
764at7399	0.025
765at7399	0.0
767at7399	0.0
773at7399	0.025
775at7399	0.05
778at7399	0.073170732
780at7399	0.024390244
782at7399	0.12121212099999999
786at7399	0.024390244
787at7399	0.0
788at7399	0.0
793at7399	0.073170732
796at7399	0.0
804at7399	0.024390244
805at7399	0.0
816at7399	0.078947368
826at7399	0.024390244
828at7399	0.097560976
830at7399	0.0
832at7399	0.0
833at7399	0.024390244
840at7399	0.0
848at7399	0.024390244
850at7399	0.024390244
854at7399	0.073170732
855at7399	0.024390244
863at7399	0.024390244
864at7399	0.0
867at7399	0.0
870at7399	0.078947368
872at7399	0.0
874at7399	0.0
877at7399	0.024390244
882at7399	0.0
883at7399	0.024390244
892at7399	0.024390244
893at7399	0.048780488
896at7399	0.035714286
905at7399	0.0
908at7399	0.0
909at7399	0.12195122
914at7399	0.097560976
916at7399	0.027027027000000002
921at7399	0.0
922at7399	0.0
923at7399	0.024390244
926at7399	0.048780488
929at7399	0.024390244
934at7399	0.0
935at7399	0.17073170699999998
937at7399	0.0
941at7399	0.057142857000000005
944at7399	0.024390244
945at7399	0.0
946at7399	0.0
948at7399	0.0
952at7399	0.219512195
958at7399	0.024390244
961at7399	0.027777778
964at7399	0.073170732
967at7399	0.125
968at7399	0.024390244
971at7399	0.024390244
974at7399	0.05
981at7399	0.128205128
987at7399	0.024390244
988at7399	0.024390244
989at7399	0.025
992at7399	0.28571428600000004
1002at7399	0.071428571
1004at7399	0.024390244
1007at7399	0.0
1008at7399	0.146341463
1010at7399	0.024390244
1012at7399	0.0
1014at7399	0.12195122
1016at7399	0.0
1018at7399	0.0
1022at7399	0.0
1030at7399	0.05
1035at7399	0.0
1042at7399	0.05
1044at7399	0.024390244
1045at7399	0.0
1048at7399	0.048780488
1052at7399	0.073170732
1057at7399	0.024390244
1058at7399	0.054054054000000004
1060at7399	0.048780488
1064at7399	0.051282050999999995
1066at7399	0.027777778
1072at7399	0.025
1075at7399	0.0
1078at7399	0.048780488
1081at7399	0.048780488
1082at7399	0.39024390200000003
1085at7399	0.048780488
1087at7399	0.0
1088at7399	0.35135135100000003
1089at7399	0.0
1095at7399	0.027027027000000002
1096at7399	0.024390244
1097at7399	0.4
1098at7399	0.081081081
1105at7399	0.15
1106at7399	0.048780488
1107at7399	0.027777778
1110at7399	0.19512195100000002
1115at7399	0.0
1116at7399	0.0
1117at7399	0.024390244
1119at7399	0.024390244
1121at7399	0.0
1124at7399	0.024390244
1130at7399	0.097560976
1144at7399	0.073170732
1147at7399	0.0
1148at7399	0.024390244
1154at7399	0.024390244
1158at7399	0.0
1159at7399	0.0
1163at7399	0.0
1164at7399	0.048780488
1165at7399	0.048780488
1167at7399	0.0
1172at7399	0.024390244
1177at7399	0.097560976
1184at7399	0.205128205
1188at7399	0.024390244
1190at7399	0.024390244
1192at7399	0.0
1193at7399	0.0
1194at7399	0.12195122
1195at7399	0.024390244
1196at7399	0.073170732
1208at7399	0.097560976
1220at7399	0.31707317100000004
1221at7399	0.024390244
1227at7399	0.024390244
1230at7399	0.048780488
1232at7399	0.0
1235at7399	0.0
1242at7399	0.024390244
1245at7399	0.2
1246at7399	0.097560976
1247at7399	0.131578947
1252at7399	0.13888888900000002
1259at7399	0.025
1261at7399	0.048780488
1262at7399	0.026315789
1268at7399	0.0
1274at7399	0.0
1275at7399	0.048780488
1278at7399	0.12195122
1279at7399	0.048780488
1282at7399	0.024390244
1283at7399	0.0
1286at7399	0.0
1287at7399	0.0
1288at7399	0.0
1289at7399	0.048780488
1290at7399	0.024390244
1293at7399	0.0
1294at7399	0.025
1296at7399	0.048780488
1297at7399	0.025
1298at7399	0.024390244
1299at7399	0.024390244
1303at7399	0.0
1307at7399	0.0
1313at7399	0.026315789
1314at7399	0.0
1318at7399	0.05
1322at7399	0.0
1325at7399	0.073170732
1329at7399	0.0
1330at7399	0.0
1331at7399	0.024390244
1334at7399	0.0
1335at7399	0.0
1336at7399	0.097560976
1339at7399	0.175
1342at7399	0.024390244
1343at7399	0.05
1348at7399	0.024390244
1355at7399	0.048780488
1356at7399	0.097560976
1360at7399	0.097560976
1362at7399	0.0
1363at7399	0.075
1366at7399	0.129032258
1369at7399	0.097560976
1371at7399	0.0
1372at7399	0.025
1373at7399	0.0
1374at7399	0.17073170699999998
1376at7399	0.0
1378at7399	0.0
1381at7399	0.125
1382at7399	0.0
1392at7399	0.0
1393at7399	0.0
1395at7399	0.024390244
1397at7399	0.048780488
1399at7399	0.0
1403at7399	0.0
1404at7399	0.0
1408at7399	0.048780488
1410at7399	0.055555556
1415at7399	0.17073170699999998
1419at7399	0.0
1421at7399	0.024390244
1425at7399	0.1
1426at7399	0.073170732
1427at7399	0.0
1428at7399	0.0
1429at7399	0.26829268300000003
1434at7399	0.024390244
1438at7399	0.024390244
1440at7399	0.024390244
1444at7399	0.025
1446at7399	0.097560976
1448at7399	0.048780488
1450at7399	0.146341463
1454at7399	0.17073170699999998
1455at7399	0.047619048
1456at7399	0.0
1457at7399	0.024390244
1459at7399	0.0
1460at7399	0.0
1462at7399	0.0
1465at7399	0.19512195100000002
1467at7399	0.025
1469at7399	0.024390244
1475at7399	0.024390244
1478at7399	0.024390244
1480at7399	0.7560975609999999
1482at7399	0.0
1483at7399	0.0
1493at7399	0.48387096799999996
1494at7399	0.075
1502at7399	0.0
1503at7399	0.024390244
1507at7399	0.097560976
1508at7399	0.073170732
1512at7399	0.0
1513at7399	0.175
1515at7399	0.0
1521at7399	0.048780488
1525at7399	0.0
1527at7399	0.0
1529at7399	0.0
1530at7399	0.025
1531at7399	0.048780488
1532at7399	0.024390244
1534at7399	0.0
1538at7399	0.175
1541at7399	0.0
1542at7399	0.024390244
1544at7399	0.073170732
1545at7399	0.048780488
1550at7399	0.0
1565at7399	0.048780488
1567at7399	0.0
1572at7399	0.048780488
1574at7399	0.024390244
1575at7399	0.024390244
1576at7399	0.0
1584at7399	0.19512195100000002
1588at7399	0.048780488
1589at7399	0.951219512
1590at7399	0.0
1597at7399	0.024390244
1602at7399	0.048780488
1607at7399	0.0
1608at7399	0.025
1614at7399	0.125
1616at7399	0.024390244
1620at7399	0.024390244
1627at7399	0.073170732
1630at7399	0.048780488
1638at7399	0.073170732
1640at7399	0.05
1641at7399	0.0
1645at7399	0.0
1646at7399	0.024390244
