orthogroup	EXP
0at7399	0
1at7399	3
2at7399	3
5at7399	5
7at7399	6
13at7399	6
14at7399	1
15at7399	2
17at7399	0
18at7399	4
28at7399	4
31at7399	1
32at7399	1
35at7399	0
49at7399	0
54at7399	0
57at7399	8
60at7399	0
61at7399	2
67at7399	4
78at7399	2
82at7399	1
84at7399	0
85at7399	0
86at7399	0
88at7399	1
90at7399	3
92at7399	0
102at7399	2
103at7399	2
104at7399	1
105at7399	2
108at7399	0
110at7399	3
112at7399	2
116at7399	1
117at7399	1
118at7399	1
120at7399	5
123at7399	3
128at7399	1
131at7399	0
133at7399	0
138at7399	2
143at7399	1
148at7399	0
150at7399	2
152at7399	0
156at7399	8
159at7399	1
160at7399	3
166at7399	4
167at7399	0
170at7399	1
171at7399	2
175at7399	1
178at7399	1
188at7399	1
190at7399	3
191at7399	1
193at7399	0
198at7399	1
200at7399	1
205at7399	2
216at7399	1
218at7399	0
219at7399	0
221at7399	0
222at7399	0
223at7399	1
226at7399	0
227at7399	4
232at7399	1
233at7399	2
239at7399	0
241at7399	0
244at7399	0
246at7399	3
249at7399	0
251at7399	0
259at7399	1
260at7399	1
261at7399	1
264at7399	2
265at7399	3
266at7399	2
267at7399	2
268at7399	2
274at7399	1
279at7399	0
281at7399	0
282at7399	0
285at7399	2
290at7399	0
292at7399	0
297at7399	1
301at7399	1
302at7399	0
306at7399	1
308at7399	6
310at7399	1
311at7399	0
317at7399	1
319at7399	3
321at7399	2
324at7399	1
335at7399	1
341at7399	0
342at7399	0
343at7399	3
346at7399	3
349at7399	1
352at7399	1
359at7399	2
371at7399	2
376at7399	0
378at7399	0
381at7399	1
382at7399	2
386at7399	2
388at7399	0
392at7399	2
393at7399	0
394at7399	3
395at7399	2
400at7399	0
401at7399	3
402at7399	1
404at7399	0
412at7399	0
413at7399	0
415at7399	1
416at7399	0
417at7399	0
418at7399	5
420at7399	1
422at7399	2
425at7399	1
426at7399	2
430at7399	0
434at7399	1
435at7399	0
436at7399	0
437at7399	0
438at7399	1
439at7399	2
440at7399	4
446at7399	2
453at7399	1
455at7399	0
457at7399	5
459at7399	7
