orthogroup	LCA
MZ22500000	7
MZ22500003	7
MZ22500004	7
MZ22500007	7
MZ22500009	7
MZ22500010	7
MZ22500012	7
MZ22500013	7
MZ22500017	7
MZ22500019	7
MZ22500020	7
MZ22500022	7
MZ22500024	7
MZ22500025	7
MZ22500026	7
MZ22500028	7
MZ22500029	7
MZ22500030	7
MZ22500032	7
MZ22500033	7
MZ22500036	7
MZ22500038	7
MZ22500040	7
MZ22500041	7
MZ22500043	7
MZ22500045	7
MZ22500047	7
MZ22500048	7
MZ22500049	7
MZ22500052	7
MZ22500053	7
MZ22500054	7
MZ22500057	7
MZ22500058	7
MZ22500060	7
MZ22500062	7
MZ22500063	7
MZ22500064	7
MZ22500066	7
MZ22500067	7
MZ22500068	7
MZ22500070	7
MZ22500071	7
MZ22500073	7
MZ22500075	7
MZ22500078	7
MZ22500079	7
MZ22500080	7
MZ22500081	7
MZ22500084	7
MZ22500086	7
MZ22500088	7
MZ22500089	7
MZ22500093	7
MZ22500094	7
MZ22500095	7
MZ22500096	7
MZ22500097	7
MZ22500098	7
MZ22500100	7
MZ22500101	7
MZ22500102	7
MZ22500105	7
MZ22500106	7
MZ22500107	7
MZ22500111	7
MZ22500114	7
MZ22500115	7
MZ22500117	7
MZ22500118	7
MZ22500120	7
MZ22500123	7
MZ22500124	7
MZ22500126	7
MZ22500128	7
MZ22500132	7
MZ22500133	7
MZ22500134	7
MZ22500135	7
MZ22500137	7
MZ22500138	7
MZ22500139	7
MZ22500141	7
MZ22500142	7
MZ22500144	7
MZ22500147	7
MZ22500149	7
MZ22500152	7
MZ22500154	7
MZ22500155	7
MZ22500156	7
MZ22500158	7
MZ22500160	7
MZ22500162	7
MZ22500163	7
MZ22500164	7
MZ22500166	7
MZ22500169	7
MZ22500170	7
MZ22500171	7
MZ22500172	7
MZ22500173	7
MZ22500174	7
MZ22500176	7
MZ22500177	7
MZ22500179	7
MZ22500180	7
MZ22500181	7
MZ22500182	7
MZ22500183	7
MZ22500187	7
MZ22500188	7
MZ22500190	7
MZ22500194	7
MZ22500196	7
MZ22500197	7
MZ22500202	7
MZ22500204	7
MZ22500205	7
MZ22500208	7
MZ22500211	7
MZ22500214	7
MZ22500215	7
MZ22500216	7
MZ22500219	7
MZ22500225	7
MZ22500230	7
MZ22500233	7
MZ22500234	7
MZ22500235	7
MZ22500238	7
MZ22500239	7
MZ22500240	7
MZ22500243	7
MZ22500244	7
MZ22500246	7
MZ22500247	7
MZ22500251	7
MZ22500252	7
MZ22500257	7
MZ22500259	7
MZ22500265	7
MZ22500266	7
MZ22500267	7
MZ22500268	7
MZ22500275	7
MZ22500276	7
MZ22500277	7
MZ22500278	7
MZ22500280	7
MZ22500281	7
MZ22500285	7
MZ22500286	7
MZ22500287	7
MZ22500289	7
MZ22500292	7
MZ22500294	7
MZ22500298	7
MZ22500300	7
MZ22500301	7
MZ22500302	7
MZ22500303	7
MZ22500306	7
MZ22500307	7
MZ22500308	7
MZ22500310	7
MZ22500311	7
MZ22500312	7
MZ22500314	7
MZ22500316	7
MZ22500317	7
MZ22500318	7
MZ22500321	7
MZ22500323	7
MZ22500324	7
MZ22500325	7
MZ22500326	7
MZ22500327	7
MZ22500328	7
MZ22500332	7
MZ22500333	7
MZ22500334	7
MZ22500338	7
MZ22500339	7
MZ22500342	7
MZ22500344	7
MZ22500345	7
MZ22500346	7
MZ22500347	7
MZ22500348	7
MZ22500350	7
MZ22500352	7
MZ22500357	7
MZ22500359	7
MZ22500360	7
MZ22500361	7
MZ22500362	7
MZ22500363	7
MZ22500364	7
MZ22500365	7
MZ22500366	7
MZ22500367	7
MZ22500369	7
MZ22500373	7
MZ22500374	7
MZ22500377	7
MZ22500381	7
MZ22500385	7
MZ22500387	7
MZ22500388	7
MZ22500389	7
MZ22500390	7
MZ22500391	7
MZ22500395	7
MZ22500396	7
MZ22500398	7
MZ22500400	7
MZ22500402	7
MZ22500403	7
MZ22500404	7
MZ22500405	7
MZ22500407	6
MZ22500408	7
MZ22500413	7
MZ22500415	7
MZ22500421	7
MZ22500424	7
MZ22500427	7
MZ22500429	7
MZ22500430	7
MZ22500432	7
MZ22500433	7
MZ22500434	7
MZ22500438	7
MZ22500440	7
MZ22500442	7
MZ22500443	7
MZ22500445	7
MZ22500448	7
MZ22500449	7
MZ22500450	7
MZ22500453	7
MZ22500456	7
MZ22500458	7
MZ22500459	7
MZ22500461	7
MZ22500462	7
MZ22500466	7
MZ22500467	7
MZ22500468	7
MZ22500469	7
MZ22500470	7
MZ22500471	7
MZ22500472	7
MZ22500473	7
MZ22500474	7
MZ22500475	7
MZ22500480	7
MZ22500481	7
MZ22500484	7
MZ22500485	7
MZ22500486	7
MZ22500487	7
MZ22500490	7
MZ22500500	7
MZ22500501	7
MZ22500502	7
MZ22500504	7
MZ22500506	7
MZ22500509	7
MZ22500510	7
MZ22500511	7
MZ22500512	7
MZ22500515	7
MZ22500517	7
MZ22500520	7
MZ22500521	7
MZ22500523	7
MZ22500526	7
MZ22500528	7
MZ22500529	7
MZ22500533	7
MZ22500536	7
MZ22500537	7
MZ22500539	7
MZ22500540	7
MZ22500547	7
MZ22500552	7
MZ22500553	7
MZ22500554	7
MZ22500555	7
MZ22500557	7
MZ22500558	7
MZ22500562	7
MZ22500563	7
MZ22500565	7
MZ22500566	7
MZ22500570	7
MZ22500571	7
MZ22500572	7
MZ22500573	7
MZ22500574	7
MZ22500576	7
MZ22500577	7
MZ22500579	7
MZ22500580	7
MZ22500581	7
MZ22500582	7
MZ22500583	7
MZ22500584	7
MZ22500585	7
MZ22500589	7
MZ22500590	6
MZ22500591	7
MZ22500597	7
MZ22500599	7
MZ22500601	7
MZ22500603	7
MZ22500605	7
MZ22500607	7
MZ22500610	7
MZ22500611	7
MZ22500612	7
MZ22500613	7
MZ22500614	7
MZ22500615	7
MZ22500618	7
MZ22500620	7
MZ22500623	7
MZ22500624	7
MZ22500629	7
MZ22500630	7
MZ22500633	7
MZ22500634	7
MZ22500635	7
MZ22500636	7
MZ22500637	7
MZ22500638	7
MZ22500640	7
MZ22500642	7
MZ22500644	7
MZ22500645	7
MZ22500647	7
MZ22500648	7
MZ22500650	7
MZ22500654	7
MZ22500655	7
MZ22500658	7
MZ22500664	7
MZ22500665	7
MZ22500666	7
MZ22500668	7
MZ22500670	7
MZ22500671	7
MZ22500673	7
MZ22500675	7
MZ22500677	7
MZ22500678	7
MZ22500680	7
MZ22500682	7
MZ22500683	7
MZ22500684	7
MZ22500687	7
MZ22500688	7
MZ22500690	7
MZ22500691	7
MZ22500693	7
MZ22500698	7
MZ22500699	7
MZ22500701	7
MZ22500705	7
MZ22500708	7
MZ22500710	7
MZ22500713	7
MZ22500715	7
MZ22500721	7
MZ22500722	7
MZ22500723	7
MZ22500725	7
MZ22500726	7
MZ22500728	7
MZ22500731	7
MZ22500733	7
MZ22500734	7
MZ22500736	7
MZ22500738	7
MZ22500740	7
MZ22500741	7
MZ22500742	7
MZ22500743	7
MZ22500746	7
MZ22500751	7
MZ22500752	7
MZ22500754	6
MZ22500755	7
MZ22500756	7
MZ22500757	7
MZ22500758	7
MZ22500762	7
MZ22500765	7
MZ22500767	7
MZ22500769	7
MZ22500770	7
MZ22500772	7
MZ22500773	7
MZ22500775	7
MZ22500776	7
MZ22500779	7
MZ22500781	7
MZ22500783	7
MZ22500784	7
MZ22500785	7
MZ22500788	7
MZ22500790	7
MZ22500791	7
MZ22500793	7
MZ22500794	7
MZ22500795	7
MZ22500799	7
MZ22500800	7
MZ22500802	7
MZ22500804	7
MZ22500806	7
MZ22500810	7
MZ22500811	7
MZ22500814	7
MZ22500817	7
MZ22500818	7
MZ22500820	7
MZ22500821	7
MZ22500822	7
MZ22500828	7
MZ22500834	7
MZ22500835	7
MZ22500838	7
MZ22500839	7
MZ22500840	7
MZ22500841	7
MZ22500842	7
MZ22500843	7
MZ22500845	7
MZ22500846	7
MZ22500847	7
MZ22500848	7
MZ22500851	7
MZ22500853	7
MZ22500854	7
MZ22500855	7
MZ22500858	7
MZ22500859	7
MZ22500861	7
MZ22500862	7
MZ22500864	7
MZ22500865	7
MZ22500866	7
MZ22500867	7
MZ22500868	7
MZ22500869	7
MZ22500870	7
MZ22500873	7
MZ22500875	7
MZ22500876	7
MZ22500878	7
MZ22500880	7
MZ22500881	7
MZ22500882	7
MZ22500885	7
MZ22500886	7
MZ22500888	7
MZ22500890	7
MZ22500892	7
MZ22500894	7
MZ22500897	7
MZ22500899	7
MZ22500900	7
MZ22500902	7
MZ22500907	7
MZ22500908	7
MZ22500911	7
MZ22500913	7
MZ22500916	7
MZ22500917	7
MZ22500918	7
MZ22500919	7
MZ22500920	7
MZ22500922	7
MZ22500923	7
MZ22500925	7
MZ22500926	7
MZ22500927	7
MZ22500930	7
MZ22500931	7
MZ22500934	7
MZ22500935	7
MZ22500938	7
MZ22500939	7
MZ22500942	7
MZ22500943	7
MZ22500944	7
MZ22500945	7
MZ22500949	7
MZ22500951	7
MZ22500953	7
MZ22500955	7
MZ22500956	7
MZ22500957	7
MZ22500959	7
MZ22500960	7
MZ22500961	7
MZ22500962	7
MZ22500963	7
MZ22500966	7
MZ22500967	7
MZ22500969	7
MZ22500974	7
MZ22500975	7
MZ22500976	7
MZ22500977	7
MZ22500978	7
MZ22500979	7
MZ22500980	7
MZ22500981	7
MZ22500982	7
MZ22500984	7
MZ22500986	7
MZ22500988	7
MZ22500989	6
MZ22500991	7
MZ22500992	7
MZ22500996	7
MZ22500997	7
MZ22501001	7
MZ22501004	7
MZ22501006	7
MZ22501007	7
MZ22501008	7
MZ22501009	7
MZ22501010	7
MZ22501013	7
MZ22501014	7
MZ22501016	7
MZ22501018	7
MZ22501026	7
MZ22501028	7
MZ22501029	7
MZ22501032	7
MZ22501033	7
MZ22501036	7
MZ22501037	7
MZ22501038	7
MZ22501039	7
MZ22501040	7
MZ22501042	7
MZ22501043	7
MZ22501044	7
MZ22501045	7
MZ22501046	7
MZ22501049	7
MZ22501052	7
MZ22501053	7
MZ22501057	7
MZ22501058	7
MZ22501059	7
MZ22501064	7
MZ22501066	7
MZ22501068	7
MZ22501069	7
MZ22501071	7
MZ22501072	7
MZ22501074	7
MZ22501077	7
MZ22501078	7
MZ22501079	7
