orthogroup	SEL
MZ22500000	NA
MZ22500003	0.03143
MZ22500004	0.06414
MZ22500007	0.09996000000000001
MZ22500009	0.06151
MZ22500010	0.009170000000000001
MZ22500012	0.029830000000000002
MZ22500013	0.06365
MZ22500017	0.01863
MZ22500019	0.0201
MZ22500020	0.012709999999999999
MZ22500022	0.01976
MZ22500024	0.03193
MZ22500025	0.0439
MZ22500026	0.03781
MZ22500028	0.037360000000000004
MZ22500029	0.10109
MZ22500030	0.03858
MZ22500032	0.0115
MZ22500033	0.04755
MZ22500036	0.08926
MZ22500038	0.056960000000000004
MZ22500040	0.01107
MZ22500041	0.01967
MZ22500043	0.08772
MZ22500045	0.0717
MZ22500047	0.01851
MZ22500048	0.06482
MZ22500049	0.06546
MZ22500052	0.02528
MZ22500053	0.05778
MZ22500054	0.03934
MZ22500057	0.0606
MZ22500058	0.0
MZ22500060	0.02636
MZ22500062	0.02642
MZ22500063	0.05492999999999999
MZ22500064	0.1645
MZ22500066	0.0
MZ22500067	0.0
MZ22500068	0.06285
MZ22500070	0.05646
MZ22500071	0.02513
MZ22500073	0.04455
MZ22500075	0.08129
MZ22500078	0.0206
MZ22500079	0.02342
MZ22500080	0.01529
MZ22500081	0.09329
MZ22500084	0.03745
MZ22500086	0.05245
MZ22500088	0.12714
MZ22500089	0.11184000000000001
MZ22500093	0.10530999999999999
MZ22500094	0.10392
MZ22500095	0.12579
MZ22500096	0.08822999999999999
MZ22500097	0.03663
MZ22500098	0.0695
MZ22500100	0.12684
MZ22500101	0.08664
MZ22500102	0.04703
MZ22500105	0.06215
MZ22500106	0.04607
MZ22500107	0.04173
MZ22500111	0.08774
MZ22500114	0.03725
MZ22500115	0.0508
MZ22500117	0.03435
MZ22500118	0.02847
MZ22500120	0.05712999999999999
MZ22500123	0.0593
MZ22500124	0.01739
MZ22500126	0.08727
MZ22500128	0.08015
MZ22500132	0.08598
MZ22500133	0.0552
MZ22500134	0.05586
MZ22500135	0.08069
MZ22500137	0.14452
MZ22500138	0.10628
MZ22500139	0.06859
MZ22500141	0.15342999999999998
MZ22500142	0.061529999999999994
MZ22500144	0.06097999999999999
MZ22500147	0.10880999999999999
MZ22500149	0.01625
MZ22500152	0.027710000000000002
MZ22500154	0.11155999999999999
MZ22500155	0.041389999999999996
MZ22500156	0.02712
MZ22500158	0.12527
MZ22500160	0.13667
MZ22500162	0.0
MZ22500163	0.06685
MZ22500164	0.06727999999999999
MZ22500166	0.01746
MZ22500169	0.01814
MZ22500170	0.14463
MZ22500171	0.01115
MZ22500172	0.046189999999999995
MZ22500173	0.06395
MZ22500174	0.13521
MZ22500176	0.0271
MZ22500177	0.0912
MZ22500179	0.09469
MZ22500180	0.11275
MZ22500181	0.03863
MZ22500182	0.19782
MZ22500183	0.059329999999999994
MZ22500187	0.21253000000000002
MZ22500188	0.03162
MZ22500190	0.050089999999999996
MZ22500194	0.10025
MZ22500196	0.0247
MZ22500197	0.15329
MZ22500202	0.23406
MZ22500204	0.05118
MZ22500205	0.02162
MZ22500208	0.04145
MZ22500211	0.08254
MZ22500214	0.0989
MZ22500215	0.11312
MZ22500216	0.02085
MZ22500219	0.09193
MZ22500225	0.031
MZ22500230	0.10203
MZ22500233	0.00494
MZ22500234	0.01438
MZ22500235	0.03573
MZ22500238	0.08273
MZ22500239	0.15041
MZ22500240	0.08719
MZ22500243	0.04795
MZ22500244	0.15858
MZ22500246	0.09575
MZ22500247	0.01593
MZ22500251	0.1093
MZ22500252	0.00618
MZ22500257	0.03152
MZ22500259	0.024630000000000003
MZ22500265	0.01284
MZ22500266	0.15950999999999999
MZ22500267	0.10645999999999999
MZ22500268	0.03617
MZ22500275	0.0641
MZ22500276	0.06373
MZ22500277	0.04193
MZ22500278	0.059660000000000005
MZ22500280	0.19739
MZ22500281	0.08038
MZ22500285	0.12946
MZ22500286	0.013080000000000001
MZ22500287	0.09224
MZ22500289	0.04095
MZ22500292	0.01097
MZ22500294	0.05041
MZ22500298	0.23393000000000003
MZ22500300	0.055220000000000005
MZ22500301	0.15789
MZ22500302	0.22621
MZ22500303	0.04688
MZ22500306	0.0
MZ22500307	0.14715
MZ22500308	0.04095
MZ22500310	0.07886
MZ22500311	0.0614
MZ22500312	0.01973
MZ22500314	0.11567999999999999
MZ22500316	0.04651
MZ22500317	0.10919000000000001
MZ22500318	0.18293
MZ22500321	0.11475
MZ22500323	0.17835
MZ22500324	0.0925
MZ22500325	0.0779
MZ22500326	0.29128000000000004
MZ22500327	0.04668
MZ22500328	0.04736
MZ22500332	0.012440000000000001
MZ22500333	0.02338
MZ22500334	0.04873
MZ22500338	0.1379
MZ22500339	0.13035
MZ22500342	0.03797
MZ22500344	0.02972
MZ22500345	0.1203
MZ22500346	0.0255
MZ22500347	0.03563
MZ22500348	0.12586
MZ22500350	0.042089999999999995
MZ22500352	0.0538
MZ22500357	0.20600000000000002
MZ22500359	0.01199
MZ22500360	0.04509
MZ22500361	0.0272
MZ22500362	0.05732
MZ22500363	0.14406
MZ22500364	0.031310000000000004
MZ22500365	0.01977
MZ22500366	0.03503
MZ22500367	0.03417
MZ22500369	0.09776
MZ22500373	0.05018
MZ22500374	0.0083
MZ22500377	0.18689
MZ22500381	0.04311
MZ22500385	0.051329999999999994
MZ22500387	0.13122
MZ22500388	0.07107999999999999
MZ22500389	0.01609
MZ22500390	0.20167000000000002
MZ22500391	0.10905999999999999
MZ22500395	0.18065
MZ22500396	0.11682000000000001
MZ22500398	0.10814000000000001
MZ22500400	0.08094
MZ22500402	0.07534
MZ22500403	0.06095
MZ22500404	0.032760000000000004
MZ22500405	0.13263
MZ22500407	0.0625
MZ22500408	0.035089999999999996
MZ22500413	0.1478
MZ22500415	0.07289
MZ22500421	0.03092
MZ22500424	0.01083
MZ22500427	0.16712
MZ22500429	0.06711
MZ22500430	0.07067999999999999
MZ22500432	0.17125
MZ22500433	0.29351
MZ22500434	0.09268
MZ22500438	0.01555
MZ22500440	0.04071
MZ22500442	0.03232
MZ22500443	0.21506999999999998
MZ22500445	0.04189
MZ22500448	0.03871
MZ22500449	0.09116
MZ22500450	0.034460000000000005
MZ22500453	0.04711
MZ22500456	0.07345
MZ22500458	0.08206000000000001
MZ22500459	0.05926
MZ22500461	0.07203999999999999
MZ22500462	0.061279999999999994
MZ22500466	0.20071
MZ22500467	0.2262
MZ22500468	0.10482999999999999
MZ22500469	0.23376
MZ22500470	0.2754
MZ22500471	0.04384
MZ22500472	0.08474
MZ22500473	0.20152
MZ22500474	0.09824
MZ22500475	0.0761
MZ22500480	0.04336
MZ22500481	0.17803
MZ22500484	0.049210000000000004
MZ22500485	0.06396
MZ22500486	0.13422
MZ22500487	0.061329999999999996
MZ22500490	0.0792
MZ22500500	0.07489
MZ22500501	0.24522
MZ22500502	0.14881
MZ22500504	0.14775
MZ22500506	0.05347999999999999
MZ22500509	0.07936
MZ22500510	0.16072999999999998
MZ22500511	0.11273
MZ22500512	0.06427000000000001
MZ22500515	0.06568
MZ22500517	0.06327999999999999
MZ22500520	0.06619
MZ22500521	0.05097
MZ22500523	0.11015
MZ22500526	0.10929000000000001
MZ22500528	0.031310000000000004
MZ22500529	0.11002999999999999
MZ22500533	0.15747
MZ22500536	0.10842
MZ22500537	0.02539
MZ22500539	0.06907999999999999
MZ22500540	0.185
MZ22500547	0.06426
MZ22500552	0.05172
MZ22500553	0.056929999999999994
MZ22500554	0.014780000000000001
MZ22500555	0.0371
MZ22500557	0.08361
MZ22500558	0.0472
MZ22500562	0.00617
MZ22500563	0.0155
MZ22500565	0.17998
MZ22500566	0.20005
MZ22500570	0.05716
MZ22500571	0.10216
MZ22500572	0.05549
MZ22500573	0.06496
MZ22500574	0.0
MZ22500576	0.08626
MZ22500577	0.073
MZ22500579	0.10712999999999999
MZ22500580	0.06809
MZ22500581	0.04136
MZ22500582	0.12024000000000001
MZ22500583	0.03135
MZ22500584	0.13613
MZ22500585	0.07577
MZ22500589	0.09738
MZ22500590	0.37390999999999996
MZ22500591	0.0
MZ22500597	0.05389
MZ22500599	0.042319999999999997
MZ22500601	0.0177
MZ22500603	0.23892
MZ22500605	0.05995
