orthogroup	UNI
0at7399	1.0
1at7399	1.0
2at7399	1.0
5at7399	1.0
7at7399	1.0
13at7399	1.0
14at7399	1.0
15at7399	1.0
17at7399	1.0
18at7399	0.975609756
28at7399	0.951219512
31at7399	1.0
32at7399	1.0
35at7399	0.853658537
49at7399	1.0
54at7399	1.0
57at7399	1.0
60at7399	1.0
61at7399	1.0
67at7399	0.951219512
78at7399	1.0
82at7399	1.0
84at7399	1.0
85at7399	0.9024390240000001
86at7399	1.0
88at7399	0.975609756
90at7399	0.87804878
92at7399	1.0
102at7399	1.0
103at7399	0.975609756
104at7399	1.0
105at7399	0.975609756
108at7399	0.56097561
110at7399	0.87804878
112at7399	1.0
116at7399	0.951219512
117at7399	0.731707317
118at7399	1.0
120at7399	1.0
123at7399	0.975609756
128at7399	0.951219512
131at7399	0.975609756
133at7399	1.0
138at7399	1.0
143at7399	0.87804878
148at7399	0.975609756
150at7399	0.975609756
152at7399	0.975609756
156at7399	0.951219512
159at7399	1.0
160at7399	1.0
166at7399	1.0
167at7399	0.9024390240000001
170at7399	0.87804878
171at7399	1.0
175at7399	1.0
178at7399	1.0
188at7399	0.487804878
190at7399	1.0
191at7399	1.0
193at7399	0.9024390240000001
198at7399	1.0
200at7399	0.7560975609999999
205at7399	1.0
216at7399	0.87804878
218at7399	0.5121951220000001
219at7399	0.975609756
221at7399	0.219512195
222at7399	0.975609756
223at7399	0.9024390240000001
226at7399	1.0
227at7399	1.0
232at7399	1.0
233at7399	1.0
239at7399	1.0
241at7399	1.0
244at7399	1.0
246at7399	0.951219512
249at7399	1.0
251at7399	1.0
259at7399	1.0
260at7399	1.0
261at7399	1.0
264at7399	1.0
265at7399	1.0
266at7399	0.975609756
267at7399	1.0
268at7399	1.0
274at7399	1.0
279at7399	1.0
281at7399	1.0
282at7399	0.975609756
285at7399	1.0
290at7399	1.0
292at7399	1.0
297at7399	1.0
301at7399	0.975609756
302at7399	1.0
306at7399	1.0
308at7399	1.0
310at7399	0.975609756
311at7399	1.0
317at7399	1.0
319at7399	0.804878049
321at7399	1.0
324at7399	1.0
335at7399	1.0
341at7399	1.0
342at7399	1.0
343at7399	1.0
346at7399	1.0
349at7399	1.0
352at7399	0.975609756
359at7399	1.0
371at7399	0.853658537
376at7399	1.0
378at7399	1.0
381at7399	0.975609756
382at7399	0.9024390240000001
386at7399	1.0
388at7399	0.5121951220000001
392at7399	1.0
393at7399	1.0
394at7399	1.0
395at7399	1.0
400at7399	1.0
401at7399	1.0
402at7399	1.0
404at7399	1.0
412at7399	1.0
413at7399	1.0
415at7399	1.0
416at7399	1.0
417at7399	1.0
418at7399	1.0
420at7399	1.0
422at7399	0.9024390240000001
425at7399	1.0
426at7399	1.0
430at7399	1.0
434at7399	0.87804878
435at7399	1.0
436at7399	1.0
437at7399	0.804878049
438at7399	1.0
439at7399	1.0
440at7399	0.731707317
446at7399	1.0
453at7399	0.975609756
455at7399	1.0
457at7399	1.0
459at7399	0.951219512
461at7399	0.804878049
462at7399	1.0
466at7399	0.975609756
468at7399	1.0
470at7399	1.0
476at7399	1.0
477at7399	0.682926829
480at7399	1.0
482at7399	0.9024390240000001
486at7399	1.0
493at7399	0.951219512
497at7399	1.0
501at7399	1.0
502at7399	0.975609756
504at7399	1.0
511at7399	1.0
523at7399	1.0
527at7399	1.0
531at7399	1.0
534at7399	1.0
539at7399	1.0
541at7399	0.634146341
550at7399	1.0
551at7399	1.0
552at7399	0.951219512
556at7399	1.0
558at7399	1.0
560at7399	1.0
567at7399	0.43902439
569at7399	1.0
572at7399	0.975609756
577at7399	1.0
582at7399	0.585365854
589at7399	0.853658537
590at7399	1.0
598at7399	1.0
601at7399	1.0
603at7399	1.0
605at7399	1.0
607at7399	0.87804878
608at7399	0.951219512
617at7399	1.0
625at7399	0.9024390240000001
635at7399	1.0
651at7399	0.975609756
659at7399	1.0
660at7399	1.0
665at7399	1.0
670at7399	1.0
674at7399	1.0
675at7399	1.0
683at7399	1.0
684at7399	1.0
685at7399	0.951219512
690at7399	1.0
691at7399	1.0
699at7399	1.0
700at7399	1.0
702at7399	1.0
705at7399	1.0
708at7399	1.0
711at7399	1.0
720at7399	1.0
724at7399	1.0
725at7399	1.0
728at7399	1.0
734at7399	1.0
739at7399	1.0
740at7399	0.975609756
748at7399	0.804878049
749at7399	0.87804878
750at7399	1.0
751at7399	1.0
759at7399	1.0
760at7399	0.975609756
764at7399	0.975609756
765at7399	1.0
767at7399	1.0
773at7399	0.975609756
775at7399	0.975609756
778at7399	1.0
780at7399	1.0
782at7399	0.804878049
786at7399	1.0
787at7399	1.0
788at7399	1.0
793at7399	1.0
796at7399	1.0
804at7399	1.0
805at7399	0.39024390200000003
816at7399	0.926829268
826at7399	1.0
828at7399	1.0
830at7399	1.0
832at7399	1.0
833at7399	1.0
840at7399	0.926829268
848at7399	1.0
850at7399	1.0
854at7399	1.0
855at7399	1.0
863at7399	1.0
864at7399	0.9024390240000001
867at7399	1.0
870at7399	0.926829268
872at7399	0.975609756
874at7399	1.0
877at7399	1.0
882at7399	1.0
883at7399	1.0
892at7399	1.0
893at7399	1.0
896at7399	0.682926829
905at7399	0.585365854
908at7399	1.0
909at7399	1.0
914at7399	1.0
916at7399	0.9024390240000001
921at7399	0.975609756
922at7399	0.926829268
923at7399	1.0
926at7399	1.0
929at7399	1.0
934at7399	1.0
935at7399	1.0
937at7399	1.0
941at7399	0.853658537
944at7399	1.0
945at7399	1.0
946at7399	0.9024390240000001
948at7399	1.0
952at7399	1.0
958at7399	1.0
961at7399	0.87804878
964at7399	1.0
967at7399	0.975609756
968at7399	1.0
971at7399	1.0
974at7399	0.975609756
981at7399	0.951219512
987at7399	1.0
988at7399	1.0
989at7399	0.975609756
992at7399	0.853658537
1002at7399	0.682926829
1004at7399	1.0
1007at7399	0.975609756
1008at7399	1.0
1010at7399	1.0
1012at7399	1.0
1014at7399	1.0
1016at7399	1.0
1018at7399	1.0
1022at7399	0.87804878
1030at7399	0.975609756
1035at7399	1.0
1042at7399	0.975609756
1044at7399	1.0
1045at7399	1.0
1048at7399	1.0
1052at7399	1.0
1057at7399	1.0
1058at7399	0.9024390240000001
