orthogroup	ACN
MZ22500000	1.0526315789473684
MZ22500003	1.0
MZ22500004	1.1111111111111112
MZ22500007	1.0526315789473684
MZ22500009	1.2105263157894737
MZ22500010	1.105263157894737
MZ22500012	1.2105263157894737
MZ22500013	1.8421052631578947
MZ22500017	1.105263157894737
MZ22500019	1.1111111111111112
MZ22500020	1.0526315789473684
MZ22500022	1.0
MZ22500024	1.263157894736842
MZ22500025	1.0
MZ22500026	1.0
MZ22500028	1.1578947368421053
MZ22500029	1.3157894736842106
MZ22500030	1.0
MZ22500032	1.0
MZ22500033	1.0625
MZ22500036	1.0
MZ22500038	1.0
MZ22500040	1.0526315789473684
MZ22500041	1.0555555555555556
MZ22500043	1.3888888888888888
MZ22500045	1.2105263157894737
MZ22500047	1.0588235294117647
MZ22500048	1.8333333333333333
MZ22500049	1.0
MZ22500052	1.0
MZ22500053	1.0526315789473684
MZ22500054	1.6666666666666667
MZ22500057	1.1578947368421053
MZ22500058	1.5789473684210527
MZ22500060	1.0
MZ22500062	1.0555555555555556
MZ22500063	2.3684210526315788
MZ22500064	1.0526315789473684
MZ22500066	1.5263157894736843
MZ22500067	1.263157894736842
MZ22500068	1.0
MZ22500070	1.0
MZ22500071	1.2105263157894737
MZ22500073	1.105263157894737
MZ22500075	1.2105263157894737
MZ22500078	1.0526315789473684
MZ22500079	1.0526315789473684
MZ22500080	1.2105263157894737
MZ22500081	1.105263157894737
MZ22500084	1.0526315789473684
MZ22500086	2.0526315789473686
MZ22500088	1.0526315789473684
MZ22500089	1.0
MZ22500093	1.631578947368421
MZ22500094	1.1
MZ22500095	1.263157894736842
MZ22500096	1.105263157894737
MZ22500097	1.0
MZ22500098	1.3157894736842106
MZ22500100	1.368421052631579
MZ22500101	1.1111111111111112
MZ22500102	1.2105263157894737
MZ22500105	1.0526315789473684
MZ22500106	1.0
MZ22500107	1.105263157894737
MZ22500111	1.3888888888888888
MZ22500114	1.0
MZ22500115	1.2105263157894737
MZ22500117	1.2105263157894737
MZ22500118	1.0
