species1	species2	AGE
AALBS	AARAD	43
AALBS	AATRE	43
AALBS	ACHRA	43
AALBS	ACULA	43
AALBS	ADARC	9.8135656
AALBS	ADIRW	43
AALBS	AEPIE	43
AALBS	AFARF	43
AALBS	AFUNF	43
AALBS	AGAMP	43
AALBS	AMACM	43
AALBS	AMELC	43
AALBS	AMERM	43
AALBS	AMINM	43
AALBS	AQUAS	43
AALBS	ASINS	43
AALBS	ASTEI	43
AALBS	ASTES	43
AARAD	AALBS	43
AARAD	AATRE	27.90365678
AARAD	ACHRA	9.663417743
AARAD	ACULA	15.683734722
AARAD	ADARC	43
AARAD	ADIRW	19.196826645
AARAD	AEPIE	11.57917827
AARAD	AFARF	19.196826645
AARAD	AFUNF	15.683734722
AARAD	AGAMP	1.97980751599999
AARAD	AMACM	15.683734722
AARAD	AMELC	1.72922562879999
AARAD	AMERM	1.72922562879999
AARAD	AMINM	15.683734722
AARAD	AQUAS	1.364364018
AARAD	ASINS	27.90365678
AARAD	ASTEI	15.683734722
AARAD	ASTES	15.683734722
AATRE	AALBS	43
AATRE	AARAD	27.90365678
AATRE	ACHRA	27.90365678
AATRE	ACULA	27.90365678
AATRE	ADARC	43
AATRE	ADIRW	27.90365678
AATRE	AEPIE	27.90365678
AATRE	AFARF	27.90365678
AATRE	AFUNF	27.90365678
AATRE	AGAMP	27.90365678
AATRE	AMACM	27.90365678
AATRE	AMELC	27.90365678
AATRE	AMERM	27.90365678
AATRE	AMINM	27.90365678
AATRE	AQUAS	27.90365678
AATRE	ASINS	13.71997404
AATRE	ASTEI	27.90365678
AATRE	ASTES	27.90365678
ACHRA	AALBS	43
ACHRA	AARAD	9.663417743
ACHRA	AATRE	27.90365678
ACHRA	ACULA	15.683734722
ACHRA	ADARC	43
ACHRA	ADIRW	19.196826645
ACHRA	AEPIE	11.57917827
ACHRA	AFARF	19.196826645
ACHRA	AFUNF	15.683734722
ACHRA	AGAMP	9.663417743
ACHRA	AMACM	15.683734722
ACHRA	AMELC	9.663417743
ACHRA	AMERM	9.663417743
ACHRA	AMINM	15.683734722
ACHRA	AQUAS	9.663417743
ACHRA	ASINS	27.90365678
ACHRA	ASTEI	15.683734722
ACHRA	ASTES	15.683734722
ACULA	AALBS	43
ACULA	AARAD	15.683734722
ACULA	AATRE	27.90365678
ACULA	ACHRA	15.683734722
ACULA	ADARC	43
ACULA	ADIRW	19.196826645
ACULA	AEPIE	15.683734722
ACULA	AFARF	19.196826645
ACULA	AFUNF	8.294786931
ACULA	AGAMP	15.683734722
ACULA	AMACM	11.785521739
ACULA	AMELC	15.683734722
ACULA	AMERM	15.683734722
ACULA	AMINM	5.80837383399999
ACULA	AQUAS	15.683734722
ACULA	ASINS	27.90365678
ACULA	ASTEI	11.785521739
ACULA	ASTES	11.785521739
ADARC	AALBS	9.8135656
ADARC	AARAD	43
ADARC	AATRE	43
ADARC	ACHRA	43
ADARC	ACULA	43
ADARC	ADIRW	43
ADARC	AEPIE	43
ADARC	AFARF	43
ADARC	AFUNF	43
ADARC	AGAMP	43
ADARC	AMACM	43
ADARC	AMELC	43
ADARC	AMERM	43
ADARC	AMINM	43
ADARC	AQUAS	43
ADARC	ASINS	43
ADARC	ASTEI	43
ADARC	ASTES	43
ADIRW	AALBS	43
ADIRW	AARAD	19.196826645
ADIRW	AATRE	27.90365678
ADIRW	ACHRA	19.196826645
ADIRW	ACULA	19.196826645
ADIRW	ADARC	43
ADIRW	AEPIE	19.196826645
ADIRW	AFARF	9.533941118
ADIRW	AFUNF	19.196826645
ADIRW	AGAMP	19.196826645
ADIRW	AMACM	19.196826645
ADIRW	AMELC	19.196826645
ADIRW	AMERM	19.196826645
ADIRW	AMINM	19.196826645
ADIRW	AQUAS	19.196826645
ADIRW	ASINS	27.90365678
ADIRW	ASTEI	19.196826645
ADIRW	ASTES	19.196826645
AEPIE	AALBS	43
AEPIE	AARAD	11.57917827
AEPIE	AATRE	27.90365678
AEPIE	ACHRA	11.57917827
AEPIE	ACULA	15.683734722
AEPIE	ADARC	43
AEPIE	ADIRW	19.196826645
AEPIE	AFARF	19.196826645
AEPIE	AFUNF	15.683734722
AEPIE	AGAMP	11.57917827
AEPIE	AMACM	15.683734722
AEPIE	AMELC	11.57917827
AEPIE	AMERM	11.57917827
AEPIE	AMINM	15.683734722
AEPIE	AQUAS	11.57917827
AEPIE	ASINS	27.90365678
AEPIE	ASTEI	15.683734722
AEPIE	ASTES	15.683734722
AFARF	AALBS	43
AFARF	AARAD	19.196826645
AFARF	AATRE	27.90365678
AFARF	ACHRA	19.196826645
AFARF	ACULA	19.196826645
AFARF	ADARC	43
AFARF	ADIRW	9.533941118
AFARF	AEPIE	19.196826645
AFARF	AFUNF	19.196826645
AFARF	AGAMP	19.196826645
AFARF	AMACM	19.196826645
AFARF	AMELC	19.196826645
AFARF	AMERM	19.196826645
AFARF	AMINM	19.196826645
AFARF	AQUAS	19.196826645
AFARF	ASINS	27.90365678
AFARF	ASTEI	19.196826645
AFARF	ASTES	19.196826645
AFUNF	AALBS	43
AFUNF	AARAD	15.683734722
AFUNF	AATRE	27.90365678
AFUNF	ACHRA	15.683734722
AFUNF	ACULA	8.294786931
AFUNF	ADARC	43
AFUNF	ADIRW	19.196826645
AFUNF	AEPIE	15.683734722
AFUNF	AFARF	19.196826645
AFUNF	AGAMP	15.683734722
AFUNF	AMACM	11.785521739
AFUNF	AMELC	15.683734722
AFUNF	AMERM	15.683734722
AFUNF	AMINM	8.294786931
AFUNF	AQUAS	15.683734722
AFUNF	ASINS	27.90365678
AFUNF	ASTEI	11.785521739
AFUNF	ASTES	11.785521739
AGAMP	AALBS	43
AGAMP	AARAD	1.97980751599999
AGAMP	AATRE	27.90365678
