orthogroup	AAL	AEN	AGE	CAF	CNV	CON	DUP	EVR	EXP	LCA	PDN	PDS	SEL	STA	SYN	UNI	ACN
MZ22500000	6557.35	13.7	43.0	0.888	0.212132034	0	0.052631579000000005	0.9177	1	7	NA	NA	NA	35	0.0	1.0	1.0526315789473684
MZ22500003	10499.5	17.27777778	43.0	0.7865	0.0	1	0.0	0.8816	0	7	0.25904	8.24214	0.03143	35	0.0	0.9473684210526316	1.0
MZ22500004	3779.7	19.0	43.0	0.585	0.282842712	1	0.111111111	0.9713	2	7	1.4538799999999998	22.66581	0.06414	33	0.0	0.9473684210526316	1.1111111111111112
MZ22500007	5474.75	6.6	43.0	0.951	0.212132034	0	0.052631579000000005	1.0508	1	7	0.8538	8.5411	0.09996	35	0.0	1.0	1.0526315789473684
MZ22500009	3769.73913	11.17391304	43.0	0.4970000000000001	0.336781161	0	0.210526316	0.9475	4	7	0.5241	8.5207	0.06151	32	0.0	1.0	1.2105263157894737
MZ22500010	3922.333333	7.952380952	43.0	0.65	0.404061018	0	0.052631579000000005	0.8264	1	7	0.05364	5.85118	0.00917	35	0.061403509	1.0	1.1052631578947372
MZ22500012	4166.565217	15.2173913	43.0	0.5920000000000001	0.430412823	0	0.15789473699999998	0.9512	3	7	0.3153	10.5705	0.02983	33	0.0	1.0	1.2105263157894737
MZ22500013	2409.857143	13.65714286	43.0	0.439	0.26496052800000003	4	0.7894736840000001	0.9622	1	7	1.0842	17.03481	0.06365	31	0.038011696	1.0	1.8421052631578947
MZ22500017	4033.095238	12.23809524	43.0	0.892	0.277664376	0	0.105263158	0.8587	2	7	0.1663	8.9275	0.01863	34	0.0	1.0	1.1052631578947372
MZ22500019	6743.55	19.75	43.0	0.343	0.282842712	1	0.111111111	0.9274	2	7	0.10276	5.11348	0.0201	33	0.0	0.9473684210526316	1.1111111111111112
MZ22500020	4577.0	25.45	43.0	0.951	0.212132034	0	0.052631579000000005	0.8333	1	7	0.0655	5.15273	0.01271	35	0.0	1.0	1.0526315789473684
MZ22500022	5840.684211	13.36842105	43.0	0.9565	0.0	0	0.0	0.8397	0	7	0.10577	5.35216	0.01976	36	0.0	1.0	1.0
MZ22500024	4028.5	6.541666667	43.0	0.28600000000000003	0.503460249	0	0.15789473699999998	0.9763	3	7	0.8941	28.0042	0.03193	33	0.0	1.0	1.263157894736842
MZ22500025	4889.263158	12.21052632	43.0	0.9565	0.0	0	0.0	0.9459	0	7	0.32313000000000003	7.36095	0.0439	36	0.0	1.0	1.0
MZ22500026	3748.4736840000014	7.263157895	43.0	0.9565	0.0	0	0.0	0.9313	0	7	0.28344	7.49737	0.03781	36	0.0	1.0	1.0
MZ22500028	3343.409091	40.81818182	43.0	0.595	0.314918329	0	0.15789473699999998	0.904	3	7	0.2622	7.019	0.03736	33	0.0	1.0	1.1578947368421053
MZ22500029	4032.36	15.0	43.0	0.063	0.430813185	0	0.263157895	1.0909	5	7	0.7457	7.3763	0.10109	31	0.0	1.0	1.3157894736842106
MZ22500030	4547.0	6.947368421	43.0	0.9565	0.0	0	0.0	0.9	0	7	0.34289000000000003	8.88837	0.03858	36	0.134502924	1.0	1.0
MZ22500032	4611.0	15.0	43.0	0.7975	0.0	1	0.0	0.8186	0	7	0.03873	3.36892	0.0115	35	0.0	0.9473684210526316	1.0
MZ22500033	3308.647059	13.94117647	43.0	0.0	0.22782255	3	0.0625	1.0452	1	7	1.15416	24.27038	0.04755	32	0.0	0.8421052631578947	1.0625
MZ22500036	5042.705882	10.29411765	43.0	0.0	0.0	2	0.0	1.0207	0	7	0.56457	6.32532	0.08926	34	0.0	0.8947368421052632	1.0
MZ22500038	4747.947368	10.47368421	43.0	0.9565	0.0	0	0.0	0.964	0	7	0.39791	6.985530000000002	0.05696	36	0.0	1.0	1.0
MZ22500040	3902.5	21.3	43.0	0.951	0.212132034	0	0.052631579000000005	0.8287	1	7	0.05342	4.82494	0.01107	35	0.0	1.0	1.0526315789473684
MZ22500041	4133.578947	13.21052632	43.0	0.6940000000000001	0.217005559	1	0.055555556	0.8536	1	7	0.1411	7.17157	0.01967	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500043	3206.12	15.16	43.0	0.443	0.425205833	1	0.333333333	1.1172	3	7	0.8638	9.847	0.08772	32	0.0	0.9473684210526316	1.3888888888888888
MZ22500045	4508.0	12.13043478	43.0	0.653	0.57351765	0	0.105263158	1.2357	2	7	1.8948	26.4265	0.0717	34	0.064327485	1.0	1.2105263157894737
MZ22500047	3927.277778	16.55555556	43.0	0.319	0.222222222	2	0.05882352900000001	0.8476	1	7	0.11553	6.24131	0.01851	33	0.106617647	0.8947368421052632	1.0588235294117647
MZ22500048	1582.878788	13.06060606	43.0	0.165	0.374827784	3	0.666666667	1.0116	4	7	1.38773	21.41005	0.06482	29	0.0	0.9473684210526316	1.8333333333333333
MZ22500049	4367.526316	11.42105263	43.0	0.9565	0.0	0	0.0	1.0138	0	7	0.48026	7.336189999999998	0.06546	36	0.0	1.0	1.0
MZ22500052	4013.4736840000014	16.57894737	43.0	0.9565	0.0	0	0.0	0.8747	0	7	0.17643	6.978839999999999	0.02528	36	0.0	1.0	1.0
MZ22500053	4605.05	24.3	43.0	0.888	0.212132034	0	0.052631579000000005	0.9482	1	7	0.30374	5.25691	0.05778	35	0.0	1.0	1.0526315789473684
MZ22500054	2192.333333	9.633333333	43.0	0.0	0.489897949	3	0.5	0.9906	9	7	1.27429	32.38994	0.03934	24	0.0	0.9473684210526316	1.6666666666666667
MZ22500057	3653.045455	14.54545455	43.0	0.8320000000000001	0.314918329	0	0.15789473699999998	1.0607	3	7	0.6172	10.1853	0.0606	33	0.0	1.0	1.1578947368421053
MZ22500058	2297.766667000001	12.33333333	43.0	0.012	0.47375568	0	0.421052632	1.0687	8	7	0.0	0.0	0.0	28	0.0	1.0	1.5789473684210529
MZ22500060	3058.0	32.47368421	43.0	0.9565	0.0	0	0.0	1.0099	0	7	0.15165	5.75256	0.02636	36	0.0	1.0	1.0
