gene	WGA
GB44089	0.65
GB40008	0.71
GB55781	0.84
GB47976	0.64
GB47946	0.77
GB46705	0.81
GB51956	0.71
GB47470	0.63
GB55650	0.83
GB52098	0.92
GB52252	0.79
GB47452	0.96
GB44587	0.94
GB54468,GB49507	0.85
GB41196	0.8
GB40498	0.88
GB50114	0.85
GB43870	0.56
GB49951	0.67
GB54130	0.85
GB47938	0.8
GB50548	0.66
GB49929	0.63
GB52848	0.52
GB51673	0.81
GB44262	0.93
GB46325	0.58
GB51545	0.83
GB51405	0.93
GB53320	0.61
GB43214	0.92
GB46253,GB46253	0.82
GB51191	0.51
GB54884	0.62
GB42359	0.5
GB55490	0.65
GB41989	0.43
GB41850	0.9
GB42374	0.87
GB49432	0.95
GB51773,GB46836	0.675
GB45073	0.72
GB51344	0.88
GB53315	0.94
GB49187	0.92
GB53554,GB53558,GB53558	0.686666667
GB47009	0.63
GB41468	0.45
GB42489	0.9
GB48853	0.82
GB43459	0.93
GB51104	0.88
GB47628	0.96
GB41847	0.86
GB55143,GB41007	0.81
GB41119	0.83
GB52997	0.86
GB44685	0.89
GB53104	0.86
GB53929	0.52
GB42976,GB42975,GB42976	0.65
GB45260	0.89
GB40993	0.73
GB49601	0.79
GB40010	0.79
GB42022	0.97
GB55375	0.73
GB51276	0.9
GB44485	0.74
GB49872	0.74
GB41852	0.93
GB47688	0.99
GB46321	0.7
GB46736	0.85
GB44218	0.84
GB48972	0.61
GB46795	0.61
GB43611	0.69
GB41634	0.95
GB44213,GB52278	0.62
GB52613	0.78
GB48355	0.64
GB55591	0.67
GB49149	0.51
GB45823	0.86
GB44905	0.97
GB48693	0.81
GB52985	0.86
GB45281	0.76
GB51998	0.97
GB42495	0.99
GB40993,GB53008	0.725
GB49106	0.98
GB41745	0.82
GB51619,GB51619	0.82
GB44183	0.87
GB46140	0.55
GB54507	0.63
GB48515	0.47
GB49336	0.84
GB40140	0.8
GB52306	0.9
GB55538	0.72
GB45717	0.85
GB54912	0.92
GB53340	0.81
GB47581	0.62
GB49767	0.67
GB43771	0.79
GB52213,GB52213	0.53
GB42035	0.7
GB52621	0.92
GB53959	0.9
GB54235	0.83
GB42508	0.83
GB50923	0.78
GB55808	0.92
GB54777	0.83
GB41645	0.71
GB50498	0.64
GB47190	0.71
GB47879,GB47879	0.94
GB53909	0.99
GB50853	0.94
GB44673	0.95
GB40808	0.94
GB46270	0.98
GB46614	0.86
GB48825	0.74
GB54320	0.42
GB52574	0.8
GB49346	0.89
GB55020	0.53
GB48577	0.91
GB51360	0.8
GB47099	0.41
GB53517	0.7
GB52555,GB52555	0.45
GB51962	0.9
GB52590	0.78
GB45821	0.89
GB49491	0.95
GB54568	0.82
GB53412	0.81
GB50827	0.69
GB41884	0.43
GB53701	0.51
GB49172	0.92
GB50535	0.92
GB50852	0.91
GB42427	0.68
GB52238	0.59
GB43860	0.82
GB40251,GB40251	0.68
GB50378,GB50388	0.865
GB41287	0.88
GB51337	0.6
GB44959	0.96
GB40346	0.61
GB54530	0.94
GB53305	0.56
GB52001	0.61
GB53778	0.95
GB43173	0.83
GB54538	0.69
GB41332	0.68
GB55583,GB51769	0.93
GB45774	0.48
GB55888	0.48
GB43304	0.44
GB49171	0.59
GB55237,GB55237	0.54
GB45972	0.47
GB48795	0.9
GB53341	0.85
GB46564	0.75
GB41215	0.93
GB50690	0.81
GB51589	0.94
GB49767,GB55648,GB54069	0.69
GB41639	0.92
GB52168	0.88
GB48234	0.79
GB53269	0.9
GB48192	0.76
GB50969	0.93
GB44595	0.91
GB47098	0.41
GB51653	0.65
GB42014	0.91
GB42031	0.84
GB45101	0.85
GB42728	0.67
GB43462	0.83
GB48789	0.94
GB54177	0.1
GB55480,GB51897	0.48
GB50357	0.85
GB44341	0.94
GB47308	0.86
GB47829	0.72
GB46332	0.7
GB52472	0.91
GB49428	0.83
GB44092,GB47528	0.755
GB51255	0.84
GB48203	0.65
GB51036	0.91
GB43631	0.72
GB48994	0.91
GB51207	0.9
GB40689	0.69
GB52537	0.89
GB47680	0.87
GB40703	0.68
GB47118	0.58
GB53149	0.58
GB51596	0.96
GB44899	0.91
GB51660	0.86
GB43796	0.6
GB48204,GB48204	0.93
GB42984	0.34
GB46126	0.89
GB52536	0.88
GB52759	0.71
GB40452	0.9
GB48305	0.91
GB54288	0.95
GB40440	0.84
GB44210	0.9
GB44196	0.64
GB51019	0.79
GB50482	0.46
GB42246	0.94
GB51481	0.75
GB52650	0.96
GB51734	0.81
GB51542,GB51542	0.93
GB53064	0.7
GB54031	0.81
GB47459	0.89
GB40678	0.77
GB53787	0.81
GB50807	0.64
GB43718	0.73
GB46618	0.83
GB47808	0.93
GB42921	0.57
GB54939	0.84
GB49511	0.52
GB54998	0.65
GB51512	0.62
GB41803	0.86
GB45348	0.8
GB54477	0.68
GB44193	0.93
GB55911	0.6
GB54230	0.91
GB45612	0.45
GB51113,GB51113	0.92
GB45982	0.78
GB45114	0.87
GB42016	0.48
GB45373	0.88
GB46526,GB42007	0.33
GB55059	0.39
GB51692	0.9
GB52975	0.56
GB48556	0.62
GB40567	0.71
GB49517	0.63
GB55917	0.79
GB53133	0.86
GB44703	0.94
GB46925	0.75
GB42866	0.65
GB50406	0.47
GB44862,GB44862,GB44862	0.64
GB45530	0.72
GB48137	0.65
GB41888	0.81
GB50508,GB48687,GB50508	0.793333333
GB41052	0.6
GB41454	0.84
GB44305	0.82
GB49977	0.34
GB43158	0.9
GB47113	0.92
GB52280	0.52
GB42740	0.5
GB43077	0.79
GB52321	0.67
GB42496	0.91
GB50749	0.9
GB42804	0.73
GB40206	0.95
GB51041	0.67
GB42244	0.9
GB43978	0.89
GB41149,GB41149	0.72
GB53611	0.67
GB47568,GB42394	0.91
GB55457	0.89
GB49541	0.57
GB52192	0.84
GB52993	0.72
GB50593,GB50593,GB50593	0.64
GB45135,GB45135	0.91
GB43080	0.64
GB55764	0.82
GB48403,GB47348	0.905
GB53205	0.7
GB45259	0.93
GB47476	0.94
GB40134,GB40132,GB40132	0.606666667
GB41983	0.75
GB46045	0.66
GB55425	0.48
GB44523	0.75
GB54852	0.65
GB50286	0.65
GB43446	0.67
GB45472	0.55
GB52426	0.94
GB55495	0.7
GB41746	0.91
GB53145,GB53145	0.87
GB47422	0.87
GB44252	0.83
GB43743	0.48
GB48932	0.9
GB49730	0.69
GB43140	0.95
GB40350	0.73
GB49373	0.59
GB53821	0.43
GB52346	0.89
GB52417	0.91
GB51246	0.71
GB42762	0.52
