orthogroup	PHC
0at7399	0.45
1at7399	0.4
2at7399	0.38
5at7399	0.51
7at7399	0.25
13at7399	0.33
14at7399	0.48
15at7399	0.44
17at7399	0.4
18at7399	0.59
28at7399	0.67
31at7399	0.48
32at7399	0.82
35at7399	0.7
49at7399	0.7
54at7399	0.575
57at7399	0.58
60at7399	0.6
61at7399	0.62
67at7399	0.21
78at7399	0.02
82at7399	0.67
84at7399	0.6
85at7399	0.35
86at7399	0.27
88at7399	0.19
90at7399	0.31
92at7399	0.72
102at7399	0.3
103at7399	0.48
104at7399	0.74
105at7399	0.27
108at7399	0.54
110at7399	0.3
112at7399	0.2
116at7399	0.3
117at7399	0.12
118at7399	0.31
120at7399	0.12
123at7399	0.4
128at7399	0.56
131at7399	0.57
133at7399	0.61
138at7399	0.365
143at7399	0.49
148at7399	0.65
150at7399	0.39
152at7399	0.72
156at7399	0.433333333
159at7399	0.33
160at7399	0.14
166at7399	0.62
167at7399	0.34
170at7399	0.69
171at7399	0.54
175at7399	0.64
178at7399	0.58
188at7399	0.435
190at7399	0.45
191at7399	0.51
193at7399	0.26
198at7399	0.32
200at7399	0.25
205at7399	0.34
216at7399	0.5
218at7399	0.42
219at7399	0.55
221at7399	0.32
222at7399	0.82
223at7399	0.37
226at7399	0.71
227at7399	0.42
232at7399	0.47
233at7399	0.45
239at7399	0.86
241at7399	0.36
244at7399	0.61
246at7399	0.45
249at7399	0.38
251at7399	0.27
259at7399	0.45
260at7399	0.41
261at7399	0.68
264at7399	0.27
265at7399	0.28
266at7399	0.31
267at7399	0.25
268at7399	0.29
274at7399	0.61
279at7399	0.78
281at7399	0.56
282at7399	0.61
285at7399	0.37
290at7399	0.52
292at7399	0.84
297at7399	0.87
301at7399	0.465
302at7399	0.86
306at7399	0.52
308at7399	0.52
310at7399	0.78
311at7399	0.27
317at7399	0.18
319at7399	0.19
321at7399	0.63
324at7399	0.36
335at7399	0.69
341at7399	0.49
342at7399	0.64
343at7399	0.72
346at7399	0.53
349at7399	0.29
352at7399	0.39
359at7399	0.32
371at7399	0.17
376at7399	0.39
378at7399	0.64
381at7399	0.63
382at7399	0.49
386at7399	0.58
388at7399	0.7
392at7399	0.36
393at7399	0.62
394at7399	0.59
395at7399	0.48
400at7399	0.18
401at7399	0.4
402at7399	0.7
404at7399	0.96
412at7399	0.74
413at7399	0.73
415at7399	0.43
416at7399	0.41
417at7399	0.9
418at7399	0.52
420at7399	0.38
422at7399	0.17
425at7399	0.38
426at7399	0.59
430at7399	0.29
434at7399	0.47
435at7399	0.64
436at7399	0.16
437at7399	0.38
438at7399	0.2
439at7399	0.67
440at7399	0.32
446at7399	0.64
453at7399	0.69
455at7399	0.48
457at7399	0.33
459at7399	0.23
461at7399	0.1
462at7399	0.29
466at7399	0.22
468at7399	0.66
