orthogroup	EVR
100002at6656	1.8183
100004at6656	1.3819
100005at6656	0.7367
100012at6656	0.7538
100017at6656	0.8628
100018at6656	1.0533
100019at6656	1.9474
100021at6656	0.9853
100026at6656	1.3139
100030at6656	0.9474
100032at6656	1.4357
100035at6656	1.1707
100036at6656	0.8442
100045at6656	1.3419
100048at6656	1.0768
100049at6656	1.0478
100051at6656	1.208
100054at6656	1.0591
100057at6656	1.4685
100058at6656	2.1774
100061at6656	1.6553
100062at6656	1.6935
100063at6656	1.3048
100069at6656	1.0863
100070at6656	1.1671
100074at6656	0.9825
100096at6656	1.0245
100115at6656	1.021
100119at6656	1.3052
100129at6656	0.808
10012at6656	0.8377
100136at6656	0.7467
100137at6656	1.2713
100167at6656	1.5802
10017at6656	1.1216
100184at6656	0.8451
100185at6656	0.9657
100189at6656	1.3398
100194at6656	1.1213
100197at6656	1.3715
100198at6656	1.2682
100200at6656	1.5646
100202at6656	1.3299
100203at6656	1.0398
100204at6656	0.9943
100211at6656	1.0686
100215at6656	1.3021
100216at6656	1.4249
100217at6656	0.7361
100218at6656	1.0762
100223at6656	1.1615
100225at6656	1.3764
100227at6656	1.505
100234at6656	0.7331
100236at6656	0.6705
100242at6656	1.1971
100243at6656	1.4556
10024at6656	1.3777
100255at6656	1.0312
100259at6656	1.118
100262at6656	0.9934
100263at6656	1.1551
100265at6656	1.0906
100266at6656	1.5957
100267at6656	2.1451
100272at6656	0.6943
100287at6656	1.2627
100296at6656	0.8618
100312at6656	0.9324
100313at6656	1.1962
100316at6656	0.9781
100321at6656	1.2575
100325at6656	1.0248
100331at6656	1.2741
100338at6656	1.1182
100339at6656	1.0697
100343at6656	1.3452
100348at6656	1.741
100353at6656	1.4003
100372at6656	1.2122
100374at6656	1.5822
100378at6656	1.5169
100393at6656	1.3821
100409at6656	1.8133
100410at6656	0.7527
100427at6656	1.0209
100445at6656	1.4317
100450at6656	1.2966
10046at6656	0.8331
100482at6656	1.0986
100484at6656	0.9967
100485at6656	0.9234
100492at6656	0.9369
100497at6656	1.4017
100499at6656	0.7176
100501at6656	1.6948
100512at6656	1.1526
100513at6656	1.0282
100514at6656	0.8481
100518at6656	1.1224
100521at6656	1.4147
100522at6656	1.1945
10052at6656	1.2266
100530at6656	1.2615
100531at6656	1.8673
100536at6656	1.534
100547at6656	1.9107
100549at6656	1.244
100551at6656	1.2168
100554at6656	1.403
100555at6656	1.205
100558at6656	0.9303
100561at6656	1.0543
100562at6656	1.238
100566at6656	1.4207
100571at6656	1.1998
100573at6656	0.9063
100574at6656	1.7303
100578at6656	0.9777
100583at6656	1.0351
100588at6656	1.7736
100592at6656	1.4282
100593at6656	1.3049
100596at6656	1.1624
100599at6656	1.4072
100602at6656	2.4126
100610at6656	0.7473
100612at6656	1.2642
100615at6656	0.9569
100629at6656	0.7079
100638at6656	1.3027
100639at6656	0.9744
100657at6656	1.1303
100664at6656	0.805
100667at6656	0.8715
100673at6656	1.0451
100685at6656	1.1364
100687at6656	1.1393
100688at6656	1.2357
100692at6656	0.8023
100695at6656	0.8071
100699at6656	1.3868
100704at6656	1.1179
100708at6656	1.1616
100711at6656	1.696
100713at6656	1.6995
100715at6656	1.7063
100718at6656	1.0848
100721at6656	1.164
100722at6656	1.3895
100725at6656	1.5317
100727at6656	1.1871
100734at6656	0.8903
100754at6656	1.1273
100760at6656	1.2986
100772at6656	0.9287
100773at6656	1.4804
10077at6656	0.9684
100781at6656	0.816
100795at6656	1.4266
100798at6656	1.305
100806at6656	1.7375
10080at6656	0.9652
100815at6656	0.9065
100825at6656	0.9589
100833at6656	0.9141
100839at6656	2.0921
100840at6656	1.0484
100842at6656	1.6217
100845at6656	1.2788
100847at6656	0.9774
100848at6656	1.0029
10084at6656	0.9151
100856at6656	1.5106
100861at6656	1.4571
100866at6656	1.1524
100868at6656	1.3332
100875at6656	0.986
100887at6656	0.9926
100895at6656	1.2446
100905at6656	1.0943
100906at6656	1.0477
100907at6656	0.6752
100908at6656	1.3635
100914at6656	0.9525
100919at6656	1.3562
10091at6656	0.8343
100927at6656	1.4342
100936at6656	1.3855
100937at6656	1.1506
100949at6656	0.7353
10094at6656	1.1822
100951at6656	1.3446
100952at6656	1.197
100953at6656	1.5324
100960at6656	1.5654
100962at6656	1.0141
100966at6656	1.4254
100975at6656	0.9974
100978at6656	1.7306
100989at6656	1.704
10098at6656	0.781
100993at6656	0.8381
100994at6656	1.0214
100997at6656	1.1197
100998at6656	1.7821
100999at6656	1.5463
101006at6656	1.2446
101007at6656	1.5795
101009at6656	1.3123
101010at6656	1.7381
101011at6656	1.4247
101014at6656	1.068
101015at6656	1.6301
101040at6656	0.7344
101046at6656	1.3
101059at6656	0.6748
101068at6656	1.4964
101071at6656	1.2751
101074at6656	0.8867
101084at6656	1.3067
101086at6656	1.1551
101087at6656	1.3209
101092at6656	1.1815
101102at6656	1.2766
101111at6656	1.3764
101112at6656	1.5474
101114at6656	1.5798
101116at6656	0.8555
101119at6656	1.2172
101122at6656	1.2067
101126at6656	0.6814
101132at6656	1.3829
101134at6656	1.0958
101136at6656	1.285
101143at6656	1.2479
101154at6656	1.0724
101170at6656	1.353
101171at6656	1.1974
101174at6656	1.4721
101176at6656	1.143
101177at6656	1.1114
101191at6656	1.428
101195at6656	1.3898
101198at6656	1.2102
101202at6656	1.0147
101203at6656	1.0328
10120at6656	1.3001
101216at6656	1.7203
101218at6656	1.384
10121at6656	1.0762
101223at6656	1.8255
101225at6656	1.5883
101229at6656	0.9389
101232at6656	1.6173
101263at6656	1.2056
101267at6656	0.9871
101281at6656	1.2845
101288at6656	1.3489
101295at6656	0.9672
101297at6656	1.4938
101299at6656	1.6178
10129at6656	0.9509
101300at6656	0.9469
101307at6656	1.3941
101308at6656	1.2797
101314at6656	0.8738
101318at6656	0.9185
101319at6656	1.2698
101338at6656	0.9043
101344at6656	0.953
101349at6656	0.9228
101358at6656	1.2532
101359at6656	0.9258
101362at6656	1.1684
101363at6656	1.1767
101374at6656	1.2246
101380at6656	0.9112
101381at6656	1.2594
101384at6656	0.7619
101386at6656	1.0334
101389at6656	1.1864
101396at6656	1.3842
101400at6656	0.7289
101401at6656	0.7412
101408at6656	1.5722
101418at6656	1.2924
101426at6656	0.9328
101428at6656	0.7067
101443at6656	1.2067
101461at6656	1.0082
101467at6656	1.5543
101470at6656	0.9395
101479at6656	1.0134
101483at6656	1.1657
101491at6656	1.1435
101493at6656	1.0631
101495at6656	1.2226
101496at6656	2.1852
101498at6656	1.2861
101519at6656	1.2667
101524at6656	1.1543
101527at6656	1.2099
101529at6656	1.3302
101531at6656	1.4143
101535at6656	1.445
101537at6656	1.4568
101541at6656	1.044
101551at6656	0.8882
101552at6656	1.2389
101553at6656	1.5772
101558at6656	1.4391
101561at6656	0.9623
101562at6656	1.3889
101564at6656	1.2209
101566at6656	0.9283
101567at6656	1.1386
101570at6656	1.1062
101575at6656	1.5134
101593at6656	1.1002
101596at6656	1.3968
101599at6656	1.3645
101603at6656	0.9418
10160at6656	1.1993
101612at6656	1.4564
101616at6656	1.0131
10161at6656	0.939
101621at6656	0.8097
101623at6656	1.4729
101636at6656	1.2148
101637at6656	1.3651
101639at6656	1.7682
101642at6656	1.0188
101645at6656	1.0111
101654at6656	0.8402
101662at6656	1.4994
101668at6656	1.1138
101677at6656	1.3427
101684at6656	0.8369
101685at6656	1.0649
101686at6656	1.1064
10168at6656	1.1782
101690at6656	1.6795
101692at6656	1.9855
101693at6656	1.426
101695at6656	1.0649
101696at6656	1.5672
101697at6656	1.0793
101699at6656	1.6639
10169at6656	1.0619
101700at6656	0.955
101701at6656	2.6529
101717at6656	1.0429
10171at6656	1.07
101726at6656	0.7813
101727at6656	0.8279
101738at6656	0.8705
101743at6656	1.2801
101751at6656	0.9626
101757at6656	1.024
101761at6656	1.023
101767at6656	0.9907
101773at6656	1.2028
101776at6656	1.5084
101787at6656	0.8115
101790at6656	0.7287
101792at6656	0.8746
101803at6656	1.8095
101806at6656	1.0013
101807at6656	1.2091
101808at6656	0.8324
101818at6656	0.9729
101823at6656	0.8149
101825at6656	1.6621
101829at6656	0.9889
101835at6656	1.2169
101836at6656	1.2463
101839at6656	1.2052
101843at6656	1.0781
101845at6656	1.2716
101848at6656	1.4771
101863at6656	1.2271
101869at6656	0.8785
101872at6656	0.9536
101878at6656	1.0685
101882at6656	0.996
101885at6656	1.3566
101886at6656	0.6253
101896at6656	1.1244
10190at6656	1.1189
101914at6656	1.4333
101920at6656	1.0824
101921at6656	1.4006
101939at6656	1.205
101941at6656	1.7377
101948at6656	1.2871
101957at6656	1.5676
101959at6656	1.076
101964at6656	1.1381
101965at6656	1.026
101977at6656	0.7949
101978at6656	1.221
101981at6656	1.3346
101993at6656	1.4283
102002at6656	0.9415
102009at6656	1.6582
102013at6656	1.0521
102015at6656	1.2146
10201at6656	1.1149
102026at6656	1.4718
102027at6656	1.1934
102029at6656	0.8369
102038at6656	1.4589
102039at6656	0.8859
102048at6656	1.0335
102051at6656	0.98
102052at6656	1.2154
102053at6656	1.0611
102054at6656	1.2155
102057at6656	1.1557
102064at6656	1.0079
102067at6656	1.233
102072at6656	0.9079
102081at6656	1.2259
102082at6656	1.0218
102110at6656	1.0775
102111at6656	1.1417
102112at6656	1.1077
102130at6656	1.2047
102138at6656	1.1333
102144at6656	1.0377
102151at6656	1.5226
102152at6656	1.0782
102153at6656	1.3124
102161at6656	1.1979
102167at6656	1.2514
102171at6656	1.8148
102174at6656	0.7664
102175at6656	1.2136
102176at6656	2.0293
102181at6656	1.4898
102186at6656	0.9601
102188at6656	1.0745
102189at6656	1.7714
102191at6656	2.1456
102192at6656	1.088
102196at6656	1.9005
102198at6656	1.2426
102199at6656	1.3667
10219at6656	1.4683
1021at6656	0.8735
102200at6656	1.2153
102204at6656	0.8302
102210at6656	1.273
102225at6656	0.8455
102232at6656	0.862
10224at6656	1.389
102250at6656	1.0388
102262at6656	0.84
102269at6656	0.991
102289at6656	1.2774
