orthogroup	PDN
MZ22500000	NA
MZ22500003	0.25904
MZ22500004	1.4538799999999998
MZ22500007	0.8538
MZ22500009	0.5241
MZ22500010	0.05364
MZ22500012	0.3153
MZ22500013	1.0842
MZ22500017	0.1663
MZ22500019	0.10275999999999999
MZ22500020	0.0655
MZ22500022	0.10577
MZ22500024	0.8941
MZ22500025	0.32313000000000003
MZ22500026	0.28344
MZ22500028	0.2622
MZ22500029	0.7457
MZ22500030	0.34289000000000003
MZ22500032	0.03873
MZ22500033	1.15416
MZ22500036	0.56457
MZ22500038	0.39791
MZ22500040	0.05342
MZ22500041	0.1411
MZ22500043	0.8638
MZ22500045	1.8948
MZ22500047	0.11553
MZ22500048	1.38773
MZ22500049	0.48026
MZ22500052	0.17643
MZ22500053	0.30374
MZ22500054	1.27429
MZ22500057	0.6172
MZ22500058	0.0
MZ22500060	0.15165
MZ22500062	0.2015
MZ22500063	1.7383
MZ22500064	1.351
MZ22500066	0.0
MZ22500067	0.0
MZ22500068	0.7904399999999999
MZ22500070	0.40210999999999997
MZ22500071	0.1867
MZ22500073	0.3606
MZ22500075	0.5847
MZ22500078	0.12878
MZ22500079	0.16677999999999998
MZ22500080	0.1221
MZ22500081	0.7488
MZ22500084	0.2563
MZ22500086	2.7536
MZ22500088	0.97241
MZ22500089	0.85974
MZ22500093	1.6494
MZ22500094	0.86577
MZ22500095	1.2303
MZ22500096	0.68421
MZ22500097	0.23074
MZ22500098	0.8953
MZ22500100	2.30937
MZ22500101	1.3947
MZ22500102	4.1023
MZ22500105	0.688
MZ22500106	0.2492
MZ22500107	0.3736
MZ22500111	1.7524400000000002
MZ22500114	0.24748
MZ22500115	0.3813
MZ22500117	0.4036
MZ22500118	0.18912
MZ22500120	0.38900999999999997
MZ22500123	0.39092
MZ22500124	0.11152000000000001
MZ22500126	1.4856200000000002
MZ22500128	2.66016
MZ22500132	1.06844
MZ22500133	0.5228
MZ22500134	2.1616
MZ22500135	0.4749
MZ22500137	5.1238
MZ22500138	3.7829900000000003
MZ22500139	0.6182
MZ22500141	1.4337
MZ22500142	0.3805
MZ22500144	1.3514
MZ22500147	0.83352
MZ22500149	0.64983
MZ22500152	0.1735
MZ22500154	0.78045
MZ22500155	0.2319
MZ22500156	0.23025
MZ22500158	2.03252
MZ22500160	0.79335
MZ22500162	0.0
MZ22500163	0.8688600000000001
MZ22500164	0.46163000000000004
MZ22500166	0.1177
MZ22500169	0.1231
MZ22500170	1.4225
MZ22500171	2.9875
MZ22500172	0.35932
MZ22500173	0.45311999999999997
MZ22500174	2.15157
MZ22500176	0.23376
MZ22500177	0.812
MZ22500179	0.6395
MZ22500180	2.6476
MZ22500181	0.25756999999999997
MZ22500182	2.136
MZ22500183	1.2618
MZ22500187	2.8654
MZ22500188	0.7811
MZ22500190	0.36637
MZ22500194	0.7470899999999999
MZ22500196	0.5017
MZ22500197	1.44439
MZ22500202	3.0285900000000003
MZ22500204	0.28210999999999997
MZ22500205	0.16996
MZ22500208	0.29417
MZ22500211	0.62441
MZ22500214	0.79201
MZ22500215	0.86344
MZ22500216	0.13304000000000002
MZ22500219	0.6841
MZ22500225	0.1817
MZ22500230	1.01882
MZ22500233	0.029960000000000004
MZ22500234	0.08765
MZ22500235	0.22489
MZ22500238	2.19041
MZ22500239	1.4443
MZ22500240	1.8618
MZ22500243	0.36956
MZ22500244	1.9292099999999999
MZ22500246	1.72432
MZ22500247	2.3456200000000003
MZ22500251	1.03803
MZ22500252	0.03719
MZ22500257	0.20758000000000001
MZ22500259	0.16367
MZ22500265	0.07115
MZ22500266	2.18646
MZ22500267	0.68926
MZ22500268	0.22384
MZ22500275	0.49173
MZ22500276	0.44803000000000004
MZ22500277	0.3102
MZ22500278	0.42086
MZ22500280	1.4407
MZ22500281	0.49406000000000005
MZ22500285	1.0419100000000001
MZ22500286	0.7211
MZ22500287	0.63337
MZ22500289	0.3208
MZ22500292	0.05476
MZ22500294	0.40209
MZ22500298	1.6766599999999998
MZ22500300	0.41576
MZ22500301	1.2328
MZ22500302	2.54103
MZ22500303	0.38221
MZ22500306	0.0
MZ22500307	2.0481700000000003
MZ22500308	0.3024
MZ22500310	2.31471
MZ22500311	0.44991000000000003
MZ22500312	0.1134
MZ22500314	1.73996
MZ22500316	0.33726999999999996
MZ22500317	0.8124
MZ22500318	1.63873
MZ22500321	0.77
MZ22500323	2.9305
MZ22500324	1.54135
MZ22500325	0.52107
MZ22500326	2.47579
MZ22500327	0.40010999999999997
MZ22500328	0.3884
MZ22500332	0.0819
MZ22500333	0.19567
MZ22500334	0.21170999999999998
MZ22500338	1.22366
MZ22500339	0.9998799999999999
MZ22500342	0.31206
MZ22500344	0.1603
MZ22500345	1.08355
MZ22500346	0.1381
MZ22500347	0.20801
MZ22500348	1.77547
MZ22500350	2.9725
MZ22500352	0.42678999999999995
MZ22500357	1.90125
MZ22500359	0.07268
MZ22500360	0.34898
MZ22500361	0.19447
MZ22500362	0.5161100000000001
MZ22500363	1.4961
MZ22500364	0.20093
MZ22500365	0.14792
MZ22500366	0.24796999999999997
MZ22500367	0.21946
MZ22500369	0.8074
MZ22500373	0.40801
MZ22500374	0.29170999999999997
MZ22500377	1.5470899999999999
MZ22500381	0.44788
MZ22500385	0.77735
MZ22500387	1.45699
MZ22500388	2.9504
MZ22500389	0.04874
MZ22500390	1.63226
MZ22500391	0.9462
MZ22500395	3.33486
MZ22500396	0.85009
MZ22500398	0.82942
MZ22500400	0.57404
MZ22500402	0.42778
MZ22500403	1.6663
MZ22500404	0.22485
MZ22500405	1.0361200000000002
MZ22500407	0.057379999999999994
MZ22500408	0.233
MZ22500413	1.8047
MZ22500415	0.44714
MZ22500421	0.19345
MZ22500424	0.9302
MZ22500427	3.3818599999999996
MZ22500429	0.91985
MZ22500430	0.3569
MZ22500432	1.35
MZ22500433	4.4744
MZ22500434	0.7304
MZ22500438	0.0799
MZ22500440	0.24845
MZ22500442	0.2232
MZ22500443	6.1024
MZ22500445	0.249
MZ22500448	0.27471999999999996
MZ22500449	0.5930300000000001
MZ22500450	0.24602
MZ22500453	0.41194
MZ22500456	0.48798
MZ22500458	0.50212
MZ22500459	0.30841999999999997
MZ22500461	0.73573
MZ22500462	0.12600999999999998
MZ22500466	1.5793
MZ22500467	2.36041
MZ22500468	0.85345
MZ22500469	3.9278
MZ22500470	2.10545
MZ22500471	0.1522
MZ22500472	0.72716
MZ22500473	2.0267
MZ22500474	1.43547
MZ22500475	0.5439
MZ22500480	0.2294
MZ22500481	1.7422
MZ22500484	0.37551999999999996
MZ22500485	0.5415399999999999
MZ22500486	1.5937
MZ22500487	0.7146
MZ22500490	1.2116
MZ22500500	0.50127
MZ22500501	3.0789
MZ22500502	2.00401
MZ22500504	1.24543
MZ22500506	0.3799
MZ22500509	0.5642
MZ22500510	1.4812
MZ22500511	0.8438
MZ22500512	0.40508
MZ22500515	0.5424
MZ22500517	0.46755
MZ22500520	2.18887
MZ22500521	0.27396
MZ22500523	1.28906
MZ22500526	0.77485
MZ22500528	0.20792
MZ22500529	2.4990200000000002
MZ22500533	1.32199
MZ22500536	0.8507600000000001
MZ22500537	0.13153
MZ22500539	0.34544
MZ22500540	1.7559099999999999
MZ22500547	0.5118
MZ22500552	0.38723
MZ22500553	0.4022
MZ22500554	0.08332
MZ22500555	0.23748000000000002
MZ22500557	0.71213
MZ22500558	0.41053999999999996
MZ22500562	0.035160000000000004
MZ22500563	0.08557999999999999
MZ22500565	1.4823
MZ22500566	6.56566
MZ22500570	0.4452
MZ22500571	1.44401
MZ22500572	0.6487
MZ22500573	0.4227
MZ22500574	0.0
MZ22500576	0.57419
MZ22500577	0.473
MZ22500579	1.2144700000000002
MZ22500580	0.53699
MZ22500581	0.29416
MZ22500582	0.75846
MZ22500583	0.13867000000000002
MZ22500584	2.22875
MZ22500585	0.49755
MZ22500589	2.07599
MZ22500590	1.41293
MZ22500591	0.0
MZ22500597	0.41886999999999996
MZ22500599	0.3271
MZ22500601	0.13355
MZ22500603	9.43239
MZ22500605	0.5846
MZ22500607	4.4261800000000004
MZ22500610	0.39921999999999996
MZ22500611	0.52083
MZ22500612	0.049319999999999996
MZ22500613	1.6929
MZ22500614	0.89615
MZ22500615	0.3709
MZ22500618	0.43072
MZ22500620	0.12912
MZ22500623	2.1871
MZ22500624	2.71422
MZ22500629	0.5021399999999999
MZ22500630	0.20903000000000002
MZ22500633	1.2283600000000001
MZ22500634	0.43855
MZ22500635	1.58848
MZ22500636	1.9092099999999999
MZ22500637	0.04607
MZ22500638	0.54484
MZ22500640	0.39647
MZ22500642	1.2935
MZ22500644	0.5379999999999999
MZ22500645	0.09505
MZ22500647	0.87
MZ22500648	0.01771
MZ22500650	0.32332
MZ22500654	0.2327
MZ22500655	0.87495
MZ22500658	0.26547
MZ22500664	0.23861
MZ22500665	4.18195
MZ22500666	0.98056
MZ22500668	0.11195999999999999
MZ22500670	0.48731
MZ22500671	1.23098
MZ22500673	1.59406
MZ22500675	0.38395999999999997
MZ22500677	0.33315
MZ22500678	0.9047299999999999
MZ22500680	1.9106
MZ22500682	0.3398
MZ22500683	4.06265
MZ22500684	0.7984
MZ22500687	1.95947
MZ22500688	0.87729
MZ22500690	0.80143
MZ22500691	3.30629
MZ22500693	0.4123
MZ22500698	1.1047
MZ22500699	0.76812
MZ22500701	0.28407
MZ22500705	0.06838
MZ22500708	0.19104000000000002
MZ22500710	3.1159
MZ22500713	0.16935
MZ22500715	0.72513
MZ22500721	0.28417
MZ22500722	2.7785599999999997
MZ22500723	0.33958
MZ22500725	0.5366
MZ22500726	0.2529
MZ22500728	0.0155
MZ22500731	0.12040999999999999
MZ22500733	0.25476
MZ22500734	1.18203
MZ22500736	0.2266
MZ22500738	0.11505
MZ22500740	0.34699
MZ22500741	0.09002
MZ22500742	1.7243400000000002
MZ22500743	0.06555
MZ22500746	1.4459600000000001
MZ22500751	2.9255
MZ22500752	0.8659
MZ22500754	0.05902
MZ22500755	0.37814000000000003
MZ22500756	0.23920999999999998
MZ22500757	0.65125
MZ22500758	0.18043
MZ22500762	0.47003999999999996
MZ22500765	0.29404
MZ22500767	1.96035
MZ22500769	0.43637
MZ22500770	0.58317
MZ22500772	0.41438
MZ22500773	0.4495
MZ22500775	0.06302
MZ22500776	0.70153
MZ22500779	1.17228
MZ22500781	1.6660400000000002
MZ22500783	0.1267
MZ22500784	0.8098
MZ22500785	0.8561
MZ22500788	0.7251
MZ22500790	0.26338
MZ22500791	1.21409
MZ22500793	0.15915
MZ22500794	0.20840999999999998
MZ22500795	0.18423
MZ22500799	0.17736
MZ22500800	0.95521
MZ22500802	2.023
MZ22500804	2.56982
MZ22500806	4.6807
MZ22500810	0.8007
MZ22500811	0.03009
MZ22500814	0.20163
MZ22500817	0.11829
MZ22500818	0.82736
MZ22500820	0.8596
MZ22500821	3.1061799999999997
MZ22500822	0.1067
MZ22500828	0.73869
MZ22500834	0.11653
MZ22500835	0.03688
MZ22500838	0.97667
MZ22500839	0.26009
MZ22500840	0.44298000000000004
MZ22500841	0.39378
MZ22500842	2.4313
MZ22500843	0.27104
MZ22500845	0.1908
MZ22500846	0.12905
MZ22500847	1.7519
MZ22500848	0.18705
MZ22500851	1.2838200000000002
MZ22500853	1.1705
MZ22500854	1.42144
MZ22500855	0.5307
MZ22500858	0.5058
MZ22500859	0.27917
MZ22500861	1.1184
MZ22500862	0.29578000000000004
MZ22500864	0.69585
MZ22500865	0.0781
MZ22500866	0.0
MZ22500867	0.6243
MZ22500868	1.58806
MZ22500869	0.2616
MZ22500870	1.3655700000000002
MZ22500873	1.0511
MZ22500875	0.0522
MZ22500876	2.1249
MZ22500878	1.2315
MZ22500880	8.0943
MZ22500881	1.5520399999999999
MZ22500882	0.33446
MZ22500885	0.99111
MZ22500886	16.02671
MZ22500888	0.37227
MZ22500890	0.1468
MZ22500892	7.0817
MZ22500894	2.13408
MZ22500897	0.45045
MZ22500899	0.9805
MZ22500900	0.0
MZ22500902	0.55877
MZ22500907	0.29578000000000004
MZ22500908	0.22133000000000003
MZ22500911	0.684
MZ22500913	0.05849
MZ22500916	1.56827
