gene	AGE
AALB003958	43.0
AARA002899	43.0
AATE017875	43.0
ACHR004624	43.0
ACUA008914	43.0
ADAC000221	43.0
ADIR009580	43.0
AEPI002035	43.0
AFAF012021	43.0
AFUN003447	43.0
AGAP011396	43.0
AMAM009949	43.0
AMEC002852	43.0
AMEC010920	43.0
AMEM015568	43.0
AMIN009319	43.0
AQUA008175	43.0
ASIS002576	43.0
ASTE009265	43.0
ASTEI06423	43.0
AALB001346	43.0
AARA011827	43.0
AATE008123	43.0
ACHR001442	43.0
ACUA016462	43.0
ADAC009952	43.0
ADIR005972	43.0
AEPI004148	43.0
AFAF000833	43.0
AFUN008246	43.0
AGAP009554	43.0
AMAM014131	43.0
AMEC002264	43.0
AMEM003586	43.0
AQUA007576	43.0
ASIS013246	43.0
ASTE010741	43.0
ASTEI03792	43.0
AARA003752	43.0
AATE008842	43.0
ACHR005368	43.0
ACUA016184	43.0
ADAC004439	43.0
ADIR009374	43.0
AEPI010569	43.0
AFAF006116	43.0
AFUN000137	43.0
AGAP010023	43.0
AGAP010024	43.0
AMAM006333	43.0
AMEC016144	43.0
AMEM012390	43.0
AMIN006707	43.0
AQUA007257	43.0
ASIS001642	43.0
ASIS010663	43.0
ASTE003156	43.0
ASTEI03953	43.0
AALB005751	43.0
AARA008002	43.0
AATE005754	43.0
ACHR000937	43.0
ACUA005664	43.0
ADAC000927	43.0
ADIR007283	43.0
AEPI009236	43.0
AFAF000211	43.0
AFUN002071	43.0
AGAP007388	43.0
AMAM017764	43.0
AMAM021646	43.0
AMEC020835	43.0
AMEM011363	43.0
AMIN010487	43.0
AQUA004494	43.0
ASIS018864	43.0
ASTE005879	43.0
ASTEI01343	43.0
AALB003785	43.0
AARA003448	43.0
AATE013510	43.0
ACHR000960	43.0
ACUA023560	43.0
ADAC000421	43.0
ADAC008601	43.0
ADIR000531	43.0
AEPI007061	43.0
AFAF003686	43.0
AFUN004931	43.0
AGAP012372	43.0
AMAM004060	43.0
AMAM007612	43.0
AMEC001112	43.0
AMEC021564	43.0
AMEM014665	43.0
AMIN008951	43.0
AQUA003027	43.0
ASIS006507	43.0
ASIS019815	43.0
ASTE004604	43.0
ASTEI02338	43.0
AALB007133	43.0
AARA006929	43.0
AATE009657	43.0
ACHR001282	43.0
ACUA024172	43.0
ADAC008606	43.0
ADIR005321	43.0
AEPI009586	43.0
AFAF020208	43.0
AFUN001717	43.0
AGAP002015	43.0
AMAM000048	43.0
AMEC006938	43.0
AMEC014120	43.0
AMEC021772	43.0
AMEM016177	43.0
AMIN003326	43.0
AQUA007105	43.0
ASIS002489	43.0
ASTE004620	43.0
ASTEI00365	43.0
AALB000841	43.0
AARA005166	43.0
AATE001076	43.0
ACHR001936	43.0
ACUA006897	43.0
ACUA019741	43.0
ADAC002372	43.0
ADIR010980	43.0
AEPI004798	43.0
AFAF000140	43.0
AFUN006331	43.0
AGAP007960	43.0
AMAM012630	43.0
AMAM023860	43.0
AMAM024033	43.0
AMEC002414	43.0
AMEM005146	43.0
AMIN006308	43.0
AQUA000708	43.0
ASIS001294	43.0
ASIS019948	43.0
ASTE006359	43.0
ASTEI01725	43.0
AALB004677	43.0
AARA007310	43.0
AARA007312	43.0
AATE001544	43.0
AATE017938	43.0
ACHR002452	43.0
ACHR004728	43.0
ACUA011302	43.0
ACUA015334	43.0
ADAC007124	43.0
ADAC007127	43.0
ADIR004178	43.0
AEPI007720	43.0
AFAF002226	43.0
AFAF012216	43.0
AFUN002571	43.0
AFUN004380	43.0
AGAP006220	43.0
AGAP006226	43.0
AMAM008581	43.0
AMAM022631	43.0
AMEC015224	43.0
AMEC016710	43.0
AMEC021535	43.0
AMEM015791	43.0
AMEM018392	43.0
AMIN011339	43.0
AQUA006137	43.0
AQUA006140	43.0
ASIS002427	43.0
ASIS002466	43.0
ASTE011456	43.0
ASTE011457	43.0
ASTEI09117	43.0
ASTEI09118	43.0
AALB003707	43.0
AARA002610	43.0
AATE020389	43.0
ACHR002714	43.0
ACUA028282	43.0
ADAC003712	43.0
ADIR001356	43.0
AEPI003242	43.0
AFAF019801	43.0
AFUN007312	43.0
AGAP000331	43.0
AMAM003896	43.0
AMAM004144	43.0
AMEC019120	43.0
AMEM010216	43.0
AMIN005483	43.0
AQUA007276	43.0
ASIS000290	43.0
ASIS017272	43.0
ASTE001132	43.0
ASTEI08813	43.0
AALB008645	43.0
AARA002078	43.0
AATE000680	43.0
ACHR000513	43.0
ACUA016912	43.0
ADAC009206	43.0
ADIR010465	43.0
AEPI006078	43.0
AFAF018941	43.0
AFUN001600	43.0
AGAP001633	43.0
AMAM004289	43.0
AMAM005182	43.0
AMEC001235	43.0
AMEC001537	43.0
AMEM008865	43.0
AMIN003443	43.0
ASIS000277	43.0
ASTE010640	43.0
ASTEI05705	43.0
AALB010156	43.0
AARA008956	43.0
AATE004286	43.0
ACHR001705	43.0
ACUA021892	43.0
ADAC007276	43.0
ADIR005606	43.0
AEPI004921	43.0
AFAF012298	43.0
AFUN006933	43.0
AGAP010750	43.0
AMAM003531	43.0
AMAM021658	43.0
AMEC003085	43.0
AMEM005246	43.0
AMIN009214	43.0
AQUA002343	43.0
ASIS003683	43.0
ASTE011300	43.0
ASTEI04183	43.0
AALB006229	43.0
AARA008127	43.0
AATE003528	43.0
ACHR000943	43.0
ACUA024982	43.0
ADAC009647	43.0
ADIR007001	43.0
AEPI006290	43.0
AFAF020090	43.0
AFUN003362	43.0
AGAP007563	43.0
AMAM011849	43.0
AMEC001671	43.0
AMEM003960	43.0
AMIN010369	43.0
AQUA004367	43.0
ASIS002686	43.0
ASTE002335	43.0
ASTEI01466	43.0
AALB009416	43.0
AARA001629	43.0
AATE011157	43.0
ACHR001727	43.0
ACUA027569	43.0
ADAC008676	43.0
ADIR010067	43.0
AEPI009473	43.0
AFAF016377	43.0
AFUN005124	43.0
AGAP001157	43.0
AMAM011208	43.0
AMAM016740	43.0
AMAM022489	43.0
AMEC019909	43.0
AMEM014539	43.0
AMEM016966	43.0
AMIN002312	43.0
AQUA011611	43.0
ASIS006230	43.0
ASIS009952	43.0
ASIS011542	43.0
ASTE005756	43.0
ASTEI09973	43.0
AALB010248	43.0
AARA000638	43.0
AATE005568	43.0
ACHR001483	43.0
ACUA019104	43.0
ADAC003566	43.0
ADIR002321	43.0
AEPI002877	43.0
AFAF018192	43.0
AFUN011514	43.0
AGAP011823	43.0
AMAM022605	43.0
AMEC013724	43.0
AMEM003680	43.0
AMIN004329	43.0
AQUA009036	43.0
ASIS019362	43.0
ASTE004680	43.0
ASTEI09231	43.0
AALB001406	43.0
AARA005198	43.0
AATE006133	43.0
ACHR000194	43.0
ACUA015376	43.0
ADAC008152	43.0
ADIR005904	43.0
AEPI006983	43.0
AFAF002655	43.0
AFUN003587	43.0
AGAP007924	43.0
AMAM015942	43.0
AMEC005966	43.0
AMEM016624	43.0
AMIN006427	43.0
AQUA000742	43.0
ASIS002313	43.0
ASTE011675	43.0
ASTEI07682	43.0
AALB008747	43.0
AARA002105	43.0
AATE003846	43.0
ACHR001615	43.0
ACUA020943	43.0
ADAC006451	43.0
ADIR010438	43.0
AEPI006051	43.0
AFAF007460	43.0
AFUN011623	43.0
AGAP001660	43.0
AMAM012369	43.0
AMAM018867	43.0
AMEC006583	43.0
AMEM000052	43.0
AMEM017935	43.0
AMIN003471	43.0
AQUA000526	43.0
ASIS022448	43.0
ASIS023103	43.0
ASTE006827	43.0
ASTEI03065	43.0
AALB003510	43.0
AARA004191	43.0
AATE001606	43.0
ACHR005422	43.0
ACHR006440	43.0
ACUA001406	43.0
ADAC008571	43.0
ADIR010197	43.0
AEPI001582	43.0
AFAF020878	43.0
AFUN008545	43.0
AGAP002651	43.0
AMAM000323	43.0
AMAM006328	43.0
AMAM015959	43.0
AMEC006199	43.0
AMEC017142	43.0
AMEM005516	43.0
AMEM014977	43.0
AMIN003651	43.0
AQUA006834	43.0
ASIS006382	43.0
ASIS008795	43.0
ASTE005213	43.0
ASTEI04133	43.0
AALB005426	43.0
AARA008231	43.0
AATE004753	43.0
ACHR001752	43.0
ACUA018688	43.0
ADAC001899	43.0
ADIR007075	43.0
AEPI003735	43.0
AFAF013475	43.0
AFUN003407	43.0
AGAP007675	43.0
AMAM009063	43.0
AMEC014913	43.0
AMEM015496	43.0
AMIN010314	43.0
AQUA005422	43.0
ASIS018299	43.0
ASTE001711	43.0
ASTEI01585	43.0
AALB009503	43.0
AARA001351	43.0
AATE017142	43.0
ACHR001272	43.0
ACUA028111	43.0
ADAC005979	43.0
ADIR002786	43.0
AEPI006689	43.0
AFAF020157	43.0
AFUN005822	43.0
AGAP003271	43.0
AMEC006293	43.0
AMEM013686	43.0
AMIN000368	43.0
AQUA003786	43.0
ASIS021651	43.0
ASTE008444	43.0
ASTEI08863	43.0
AALB000882	43.0
ACHR000605	43.0
ACUA007377	43.0
ADAC001481	43.0
ADIR009378	43.0
AEPI010998	43.0
AFAF012220	43.0
AFUN003688	43.0
AGAP010021	43.0
AMAM018747	43.0
AMAM019088	43.0
AMEC004010	43.0
AMEM005760	43.0
AMIN006708	43.0
AQUA006372	43.0
ASIS021574	43.0
ASTE007690	43.0
AALB006227	43.0
AARA008128	43.0
AATE019269	43.0
ACHR003791	43.0
ACUA014287	43.0
ADAC006157	43.0
ADIR007004	43.0
AEPI001550	43.0
AFAF007837	43.0
AFUN003364	43.0
AMAM001461	43.0
AMEC020214	43.0
AMEM008992	43.0
AMIN010366	43.0
AQUA004365	43.0
ASIS021181	43.0
ASTE002332	43.0
AALB009200	43.0
AARA001754	43.0
AATE005026	43.0
ACHR004545	43.0
ACUA010030	43.0
ADAC009381	43.0
ADIR009953	43.0
AEPI009633	43.0
AFAF006794	43.0
AFUN010370	43.0
AGAP001287	43.0
AMAM017304	43.0
AMEC010772	43.0
AMEM010088	43.0
AMIN002194	43.0
AQUA006480	43.0
ASIS010699	43.0
ASTE004145	43.0
ASTEI05793	43.0
AALB007598	43.0
AARA005925	43.0
AATE006417	43.0
ACHR001078	43.0
ACUA022836	43.0
ADAC009770	43.0
ADIR005728	43.0
AEPI011062	43.0
AFAF006727	43.0
AFUN003490	43.0
AGAP010435	43.0
AMAM000121	43.0
AMAM014830	43.0
AMEC007273	43.0
AMEM010511	43.0
AMIN004992	43.0
AQUA000041	43.0
ASIS017617	43.0
ASTE004377	43.0
ASTEI08327	43.0
AALB008059	43.0
AARA002114	43.0
AATE002893	43.0
ACHR003500	43.0
ACUA011035	43.0
ADAC005930	43.0
ADIR010431	43.0
AEPI001697	43.0
AFAF019889	43.0
AFUN009982	43.0
AGAP001672	43.0
AMEC000157	43.0
AMEC004548	43.0
AMEM006928	43.0
AMIN003479	43.0
AQUA000534	43.0
ASIS018346	43.0
ASTE006837	43.0
ASTEI03071	43.0
AALB000776	43.0
AARA010793	43.0
AARA010794	43.0
AATE011272	43.0
ACUA007898	43.0
