orthogroup	set	ACN	AGE	CNV	CON	DUP	EVR	EXP	PHC	STA	UNI	WGA
17277at7399	5h-UP	1.0	177.3420531	0.0	6	0.0	1.7162	0	0.34	74	0.707317073	0.91
27469at7399	5h-UP	1.0	203.0	0.0	6	0.0	0.9988	0	0.18	74	0.804878049	0.69
2634at7399	5h-UP	1.125	203.0	0.354860432	1	0.1	1.1123	4	0.25	75	0.975609756	0.83
30746at7399	5h-UP	1.032258065	183.0129637	0.171163299	7	0.032258065	1.3452	1	0.23	72	0.7560975609999999	0.77
15671at7399	5h-UP	4.029411765	203.0	0.609346983	30	0.8235294120000001	1.1389	15	0.09125	35	0.8292682929999999	0.79625
32649at7399	5h-UP	1.035714286	203.0	0.17917767	10	0.035714286	1.0017	1	0.27	69	0.682926829	0.76
29716at7399	5h-UP	2.351351351	203.0	0.8226224059999999	16	0.486486486	1.5005	9	0.014285714	55	0.902439024	0.16
30613at7399	5h-UP	1.057142857	203.0	0.21956860600000006	6	0.05714285700000001	1.1859	1	0.08	73	0.853658537	0.65
30407at7399	5h-UP	1.392857143	183.0129637	0.350635752	16	0.392857143	1.2661	1	0.32	63	0.682926829	0.73
30505at7399	5h-UP	1.125	183.0129637	0.368513866	6	0.09375	1.5065	3	0.2	71	0.780487805	0.7
17927at7399	5h-UP	1.0555555559999998	183.0129637	0.31137262	2	0.027777778	1.1896	1	0.25	77	0.87804878	0.82
10805at7399	5h-UP	1.05	203.0	0.207566616	1	0.05	0.8021	2	0.25	77	0.975609756	0.7
24762at7399	5h-UP	1.0	203.0	0.0	8	0.0	1.0535	0	0.39	72	0.31707317100000004	0.81
26339at7399	5h-UP	1.0	203.0	0.0	1	0.0	0.8935	0	0.7	79	0.975609756	0.87
13130at7399	5h-UP	1.068965517	203.0	0.237047394	8	0.068965517	0.6959	2	0.695	70	0.707317073	0.915
32114at7399	5h-UP	1.0	183.0129637	0.0	8	0.0	0.971	0	0.6	72	0.390243902	0.92
11770at7399	5h-UP	1.024390244	203.0	0.15058465	0	0.024390244	0.8798	1	0.18	79	1.0	0.38
31401at7399	5h-UP	1.0	203.0	0.0	5	0.0	1.3734	0	0.22	75	0.853658537	0.81
26712at7399	5h-UP	1.0	203.0	0.0	2	0.0	1.1589	0	0.57	78	0.951219512	0.87
13982at7399	5h-UP	1.025641026	203.0	0.15411035	2	0.025641026	0.9943	1	0.12	77	0.951219512	0.53
28879at7399	5h-UP	1.054054054	203.0	0.214528212	3	0.054054054	1.5185	2	0.14	75	0.902439024	0.66
3735at7399	5h-UP	1.073170732	203.0	0.242660869	0	0.073170732	1.2607	3	0.41	77	1.0	0.8
24036at7399	5h-UP	1.041666667	177.3420531	0.191833261	9	0.041666667	1.2897	1	0.3	70	0.585365854	0.67
7232at7399	5h-UP	1.975609756	203.0	0.07808093	1	0.975609756	0.7826	0	0.35	79	1.0	0.595
12080at7399	5h-UP	1.0	203.0	0.0	1	0.0	1.3051	0	0.25	79	0.975609756	0.63
31166at7399	5h-UP	1.0	165.19348180000003	0.0	9	0.0	1.3277	0	0.19	71	0.487804878	0.78
15671at7399	5h-UP	4.029411765	203.0	0.609346983	30	0.8235294120000001	1.1389	15	0.09125	35	0.8292682929999999	0.79625
2324at7399	5h-UP	1.0	203.0	0.0	4	0.0	1.4237	0	0.38	76	0.902439024	0.72
9620at7399	5h-UP	1.0	203.0	0.0	0	0.0	0.9247	0	0.18	80	1.0	0.55
10528at7399	5h-UP	1.0	203.0	0.0	0	0.0	0.8268	0	0.3	80	1.0	0.59
1650at7399	5h-UP	1.027027027	183.0129637	0.15789473699999998	1	0.027027027	1.0428	1	0.42	78	0.902439024	0.66
21051at7399	5h-UP	1.0	203.0	0.0	8	0.0	1.0736	0	0.21	72	0.585365854	0.66
31809at7399	5h-UP	1.4074074069999998	203.0	0.5210260489999999	11	0.296296296	1.0382	7	0.09	62	0.658536585	0.78
32033at7399	5h-UP	1.0	177.3420531	0.0	18	0.0	0.887	0	0.26	62	0.243902439	0.67
20868at7399	5h-UP	1.12195122	203.0	0.291661041	0	0.12195122	0.853	4	0.31	76	1.0	0.68
10966at7399	5h-UP	1.195121951	203.0	0.331593404	5	0.195121951	1.0716	1	0.5	74	1.0	0.73
16843at7399	5h-UP	1.0	203.0	0.0	0	0.0	1.1529	0	0.16	80	1.0	0.75
11872at7399	5h-UP	1.0	203.0	0.0	0	0.0	1.1785	0	0.38	80	1.0	0.72
10683at7399	5h-UP	1.0	203.0	0.0	1	0.0	1.422	0	0.38	79	0.975609756	0.64
25862at7399	5h-UP	1.25	203.0	0.447213595	6	0.1875	1.6279	6	0.09	68	0.780487805	0.78
20284at7399	5h-UP	1.027777778	203.0	0.159894048	5	0.027777778	0.8028	1	0.41	74	0.87804878	0.77
25366at7399	5h-UP	1.0	183.0129637	0.0	5	0.0	1.8209	0	0.26	75	0.804878049	0.79
218at7399	5h-UP	1.0	183.0129637	0.0	12	0.0	0.9573	0	0.42	68	0.5121951220000001	0.73
11941at7399	5h-UP	1.025641026	203.0	0.15411035	2	0.025641026	0.9252	1	0.43	77	0.951219512	0.71
13090at7399	5h-UP	1.45	203.0	0.510298227	12	0.325	1.2141	4	0.1525	64	0.975609756	0.6875
16230at7399	5h-UP	1.0	203.0	0.0	0	0.0	1.0608	0	0.49	80	1.0	0.83
27728at7399	5h-UP	1.0	203.0	0.0	3	0.0	1.5179	0	0.36	77	0.926829268	0.86
2257at7399	5h-UP	1.0	203.0	0.0	4	0.0	0.9379	0	0.28	76	0.902439024	0.65
19334at7399	5h-UP	1.048780488	203.0	0.205389788	0	0.048780488	1.2913	2	0.36	78	1.0	0.64
27730at7399	5h-UP	1.189189189	203.0	0.700501591	4	0.081081081	0.8869	3	0.16	73	0.902439024	0.52
7094at7399	5h-UP	1.052631579	183.0129637	0.212132034	14	0.052631579000000005	1.2879	1	0.36	65	0.463414634	0.8
13655at7399	5h-UP	1.0	203.0	0.0	3	0.0	1.028	0	0.28	77	0.926829268	0.74
30437at7399	5h-UP	1.025	203.0	0.152317024	1	0.025	0.7492	1	0.49	78	0.975609756	0.8
24012at7399	5h-UP	1.048780488	203.0	0.205389788	0	0.048780488	1.0086	2	0.35	78	1.0	0.76
27859at7399	5h-UP	1.051282051	203.0	0.300703122	2	0.025641026	1.5844	1	0.14	77	0.951219512	0.62
27182at7399	5h-UP	1.033333333	183.0129637	0.17371499399999998	8	0.033333333	1.4197	1	0.22	71	0.731707317	0.81
3410at7399	5h-UP	1.03125	203.0	0.168720132	8	0.03125	1.5189	1	0.3	71	0.780487805	0.77
10331at7399	5h-UP	1.0	203.0	0.0	9	0.0	1.3787	0	0.2	71	0.780487805	0.43
11831at7399	5h-UP	1.0	203.0	0.0	6	0.0	1.2972	0	0.44	74	0.853658537	0.98
30678at7399	5h-UP	1.0	203.0	0.0	1	0.0	1.4245	0	0.56	79	0.975609756	0.93
26479at7399	5h-UP	1.0	203.0	0.0	8	0.0	0.897	0	0.1	72	0.804878049	0.52
20569at7399	5h-UP	1.15	203.0	0.366354338	1	0.125	1.0105	4	0.3	75	0.975609756	0.8
13437at7399	5h-UP	1.0	203.0	0.0	4	0.0	1.2381	0	0.53	76	0.902439024	0.82
24072at7399	5h-UP	1.0	203.0	0.0	2	0.0	1.33	0	0.28	78	0.951219512	0.84
12960at7399	5h-UP	1.025	203.0	0.152317024	1	0.025	1.1272	1	0.28	78	0.975609756	0.6
4847at7399	5h-UP	1.0	162.0	0.0	4	0.0	0.9233	0	0.57	76	0.682926829	0.91
5317at7399	5h-UP	1.0	203.0	0.0	0	0.0	1.0958	0	0.4	80	1.0	0.68
20163at7399	5h-UP	1.0	82.06786156	0.0	7	0.0	0.9903	0	0.19	73	0.219512195	0.53
9434at7399	5h-UP	1.0	203.0	0.0	3	0.0	1.2522	0	0.18	77	0.853658537	0.48
10212at7399	5h-UP	1.170731707	203.0	0.321401013	0	0.17073170699999998	1.2555	5	0.38	75	1.0	0.83
27588at7399	5h-UP	3.176470588	203.0	0.908162951	22	0.6764705879999999	1.2594	8	0.1475	50	0.8292682929999999	0.6275
7232at7399	5h-UP	1.975609756	203.0	0.07808093	1	0.975609756	0.7826	0	0.35	79	1.0	0.595
20580at7399	5h-UP	1.05	203.0	0.207566616	1	0.05	1.0313	2	0.145	77	0.975609756	0.57
22305at7399	5h-UP	1.0	203.0	0.0	1	0.0	0.8495	0	0.43	79	0.975609756	0.81
23169at7399	5h-UP	1.0	203.0	0.0	4	0.0	0.9745	0	0.11	76	0.902439024	0.43
4866at7399	5h-UP	1.243902439	203.0	0.6347613360000001	1	0.12195122	1.0938	6	0.17	73	1.0	0.62
18726at7399	5h-UP	1.048780488	203.0	0.205389788	0	0.048780488	1.0	2	0.29	78	1.0	0.73
13816at7399	5h-UP	1.0	203.0	0.0	2	0.0	1.6416	0	0.16	78	0.56097561	0.47
13106at7399	5h-UP	1.025	203.0	0.152317024	1	0.025	0.9151	1	0.42	78	0.975609756	0.8
29573at7399	5h-UP	1.0	183.0129637	0.0	8	0.0	1.1326	0	0.2	72	0.731707317	0.71
16653at7399	5h-UP	1.0	183.0129637	0.0	8	0.0	1.1192	0	0.51	72	0.341463415	0.86
11137at7399	5h-UP	1.029411765	203.0	0.164130361	5	0.029411765	1.0567	1	0.14	74	0.8292682929999999	0.61
6352at7399	5h-UP	1.0	203.0	0.0	2	0.0	1.0543	0	0.35	78	0.951219512	0.76
10695at7399	5h-UP	1.025641026	203.0	0.15411035	2	0.025641026	0.8163	1	0.32	77	0.951219512	0.63
32048at7399	5h-UP	1.0	203.0	0.0	11	0.0	0.897	0	0.58	69	0.658536585	0.84
17506at7399	5h-UP	1.025	203.0	0.152317024	1	0.025	1.1925	1	0.33	78	0.975609756	0.61
760at7399	5h-UP	1.0	203.0	0.0	1	0.0	1.0257	0	0.3	79	0.975609756	0.58
10449at7399	5h-UP	2.951219512	203.0	0.258718609	19	0.951219512	1.0664	1	0.2725	60	1.0	0.6725
15671at7399	5h-UP	4.029411765	203.0	0.609346983	30	0.8235294120000001	1.1389	15	0.09125	35	0.8292682929999999	0.79625
20754at7399	5h-UP	1.05	203.0	0.207566616	1	0.05	1.5186	2	0.09	77	0.975609756	0.63
11011at7399	5h-UP	1.033333333	183.0129637	0.17371499399999998	6	0.033333333	1.4291	1	0.22	73	0.731707317	0.8
32246at7399	5h-UP	1.0	177.3420531	0.0	12	0.0	0.9724	0	0.52	68	0.487804878	0.85
18562at7399	5h-UP	1.054054054	203.0	0.214528212	4	0.054054054	1.5125	2	0.14	74	0.902439024	0.44
4714at7399	5h-UP	1.0	203.0	0.0	2	0.0	1.5813	0	0.57	78	0.951219512	0.98
14710at7399	5h-UP	1.024390244	203.0	0.15058465	0	0.024390244	0.9377	1	0.25	79	1.0	0.59
9813at7399	5h-UP	1.0	203.0	0.0	0	0.0	0.8017	0	0.26	80	1.0	0.44
14357at7399	5h-UP	1.0	203.0	0.0	1	0.0	0.8879	0	0.44	79	0.975609756	0.83
7046at7399	5h-UP	1.128205128	203.0	0.296327382	6	0.128205128	1.2716	1	0.35	73	0.951219512	0.79
7256at7399	5h-UP	1.12195122	203.0	0.351878566	2	0.097560976	0.9257	2	0.34	76	1.0	0.78
6803at7399	5h-UP	1.048780488	203.0	0.205389788	0	0.048780488	0.9304	2	0.35	78	1.0	0.75
27516at7399	5h-UP	1.057142857	183.0129637	0.21956860600000006	3	0.05714285700000001	1.276	2	0.15	75	0.853658537	0.61
13546at7399	5h-UP	1.0	203.0	0.0	0	0.0	0.9202	0	0.18	80	1.0	0.5
21296at7399	5h-UP	1.024390244	203.0	0.15058465	0	0.024390244	0.867	1	0.27	79	1.0	0.7
