orthogroup	EVR
MZ22500000	0.9177
MZ22500003	0.8816
MZ22500004	0.9713
MZ22500007	1.0508
MZ22500009	0.9475
MZ22500010	0.8264
MZ22500012	0.9512
MZ22500013	0.9622
MZ22500017	0.8587
MZ22500019	0.9274
MZ22500020	0.8333
MZ22500022	0.8397
MZ22500024	0.9763
MZ22500025	0.9459
MZ22500026	0.9313
MZ22500028	0.904
MZ22500029	1.0909
MZ22500030	0.9
MZ22500032	0.8186
MZ22500033	1.0452
MZ22500036	1.0207
MZ22500038	0.9640000000000001
MZ22500040	0.8287
MZ22500041	0.8536
MZ22500043	1.1172
MZ22500045	1.2357
MZ22500047	0.8476
MZ22500048	1.0116
MZ22500049	1.0138
MZ22500052	0.8747
MZ22500053	0.9482
MZ22500054	0.9906
MZ22500057	1.0607
MZ22500058	1.0687
MZ22500060	1.0099
MZ22500062	0.8665
MZ22500063	0.9479
MZ22500064	1.2734
MZ22500066	1.0634
MZ22500067	1.2512
MZ22500068	1.075
MZ22500070	0.9485
MZ22500071	0.8969
MZ22500073	0.9286
MZ22500075	1.0776
MZ22500078	0.8582
MZ22500079	0.8797
MZ22500080	0.8861
MZ22500081	1.0718
MZ22500084	0.8962
MZ22500086	0.9606
MZ22500088	1.1542
MZ22500089	1.0734
MZ22500093	1.0726
MZ22500094	1.2196
MZ22500095	1.4623
MZ22500096	1.0548
MZ22500097	0.9082
MZ22500098	1.1932
MZ22500100	1.1723
MZ22500101	1.0148
MZ22500102	1.186
MZ22500105	0.929
MZ22500106	0.9063
MZ22500107	0.9405
MZ22500111	0.9902
MZ22500114	0.9008
MZ22500115	1.2684
MZ22500117	1.318
MZ22500118	0.8725
MZ22500120	0.9765
MZ22500123	0.9487
MZ22500124	0.8573
MZ22500126	1.0898
MZ22500128	1.0779
MZ22500132	1.1864
MZ22500133	0.9992
MZ22500134	1.3371
MZ22500135	1.0214
MZ22500137	1.2532
MZ22500138	1.0039
MZ22500139	0.9824
MZ22500141	1.3630000000000002
MZ22500142	1.0345
MZ22500144	0.9267
MZ22500147	1.13
MZ22500149	0.8469
MZ22500152	0.892
MZ22500154	1.0703
MZ22500155	0.882
MZ22500156	0.9078
MZ22500158	1.1546
MZ22500160	1.1725
MZ22500162	1.4142
MZ22500163	0.9419
MZ22500164	1.0381
MZ22500166	0.8541
MZ22500169	0.8495
MZ22500170	1.2314
MZ22500171	0.8916
MZ22500172	0.968
MZ22500173	0.9382
MZ22500174	1.084
MZ22500176	0.8889
MZ22500177	1.1688
MZ22500179	1.13
MZ22500180	1.2853
MZ22500181	0.8953
MZ22500182	1.6602
MZ22500183	1.084
MZ22500187	1.4419
MZ22500188	1.0481
MZ22500190	0.9985
MZ22500194	1.0499
MZ22500196	0.9796
MZ22500197	1.3055
MZ22500202	1.8913
MZ22500204	0.9427
MZ22500205	0.885
MZ22500208	0.893
MZ22500211	1.0676
MZ22500214	1.2326
MZ22500215	1.1615
MZ22500216	0.8406
MZ22500219	1.1159999999999999
MZ22500225	0.8715
MZ22500230	1.1479
MZ22500233	0.8095
MZ22500234	0.8406
MZ22500235	0.9004
MZ22500238	0.9765
MZ22500239	1.4273
MZ22500240	1.0774
MZ22500243	0.9692
MZ22500244	1.3769999999999998
MZ22500246	1.0392
MZ22500247	0.9343
MZ22500251	1.1318
MZ22500252	0.8185
MZ22500257	0.8811
MZ22500259	0.8572
MZ22500265	0.8597
MZ22500266	1.1528
MZ22500267	1.0492
MZ22500268	0.8791
MZ22500275	0.9803
MZ22500276	0.9977
MZ22500277	0.9141
MZ22500278	0.9313
MZ22500280	1.2522
MZ22500281	1.0592
MZ22500285	1.1914
MZ22500286	1.0322
MZ22500287	1.1509
MZ22500289	0.8991
MZ22500292	0.8301
MZ22500294	0.9478
MZ22500298	1.4607
MZ22500300	0.9570000000000001
MZ22500301	1.3397
MZ22500302	1.7666
