pub_og_id	ACN	AGE	CNV	CON	DUP	EVR	EXP	PHC	STA	UNI	WGA
0at7399	1	203	0	0	0	0.8579	0	0.45	80	1	0.72
1at7399	1.073170732	203	0.242660869	0	0.073170732	1.0456	3	0.4	77	1	0.65
2at7399	1.073170732	203	0.242660869	0	0.073170732	0.9994	3	0.38	77	1	0.71
5at7399	1.12195122	203	0.291661041	0	0.12195122	1.0654	5	0.51	75	1	0.84
7at7399	1.195121951	203	0.460881216	0	0.146341463	0.8908	6	0.25	74	1	0.64
13at7399	1.341463415	203	0.560990859	2	0.219512195	1.4123	6	0.33	72	1	0.77
14at7399	1.024390244	203	0.15058465	0	0.024390244	1.0402	1	0.48	79	1	0.81
15at7399	1.048780488	203	0.205389788	0	0.048780488	0.9038	2	0.44	78	1	0.71
17at7399	1	203	0	0	0	0.8939	0	0.4	80	1	0.63
18at7399	1.1	203	0.272727273	1	0.1	0.7739	4	0.59	75	0.975609756	0.83
28at7399	1.102564103	203	0.275166502	2	0.102564103	0.8284	4	0.67	74	0.951219512	0.92
31at7399	1.024390244	203	0.15058465	0	0.024390244	0.9447	1	0.48	79	1	0.79
32at7399	1.024390244	203	0.15058465	0	0.024390244	0.7513	1	0.82	79	1	0.96
35at7399	1	203	0	5	0	0.8877	0	0.7	75	0.853658537	0.95
49at7399	1	203	0	0	0	1.0092	0	0.7	80	1	0.94
54at7399	1.87804878	203	0.174239063	5	0.87804878	0.8626	0	0.575	75	1	0.85
57at7399	1.219512195	203	0.339411255	0	0.219512195	1.1759	8	0.58	72	1	0.8
60at7399	1	203	0	0	0	0.8591	0	0.6	80	1	0.88
61at7399	1.048780488	203	0.205389788	0	0.048780488	0.7975	2	0.62	78	1	0.85
67at7399	1.153846154	203	0.461880215	2	0.102564103	1.1586	4	0.21	74	0.951219512	0.56
78at7399	1.048780488	203	0.205389788	0	0.048780488	0.9552	2	0.02	78	1	0.67
82at7399	1.024390244	203	0.15058465	0	0.024390244	0.8476	1	0.67	79	1	0.85
84at7399	1	203	0	0	0	0.7935	0	0.6	80	1	0.8
85at7399	1	203	0	4	0	0.9866	0	0.35	76	0.902439024	0.66
86at7399	1	203	0	0	0	0.9819	0	0.27	80	1	0.63
88at7399	1.025	203	0.152317024	1	0.025	1.7153	1	0.19	78	0.975609756	0.52
90at7399	1.083333333	203	0.255124984	3	0.083333333	0.9945	3	0.31	74	0.87804878	0.81
92at7399	1	203	0	0	0	0.8187	0	0.72	80	1	0.93
102at7399	1.048780488	203	0.205389788	0	0.048780488	0.8444	2	0.3	78	1	0.58
103at7399	1.05	203	0.207566616	1	0.05	0.9813	2	0.48	77	0.975609756	0.83
104at7399	1.024390244	203	0.15058465	0	0.024390244	0.8811	1	0.74	79	1	0.93
105at7399	1.075	203	0.321401743	1	0.05	1.0264	2	0.27	77	0.975609756	0.61
108at7399	1	203	0	4	0	0.9903	0	0.54	76	0.56097561	0.92
110at7399	1.083333333	183.0129637	0.255124984	2	0.083333333	1.6674	3	0.3	75	0.87804878	0.82
112at7399	1.048780488	203	0.205389788	0	0.048780488	1.135	2	0.2	78	1	0.51
116at7399	1.025641026	203	0.15411035	2	0.025641026	1.256	1	0.3	77	0.951219512	0.62
117at7399	1.033333333	203	0.173714994	10	0.033333333	1.1026	1	0.12	69	0.731707317	0.5
118at7399	1.024390244	203	0.15058465	0	0.024390244	1.1945	1	0.31	79	1	0.65
120at7399	1.317073171	203	0.425523159	18	0.268292683	1.196	5	0.12	57	1	0.43
123at7399	1.075	203	0.245015204	1	0.075	1.3017	3	0.4	76	0.975609756	0.9
128at7399	1.897435897	203	0.199524636	7	0.871794872	0.9657	1	0.56	72	0.951219512	0.91
131at7399	1	203	0	1	0	0.7996	0	0.57	79	0.975609756	0.87
133at7399	1	203	0	0	0	1.1178	0	0.61	80	1	0.95
138at7399	1.048780488	203	0.205389788	0	0.048780488	0.9415	2	0.365	78	1	0.675
143at7399	1.027777778	183.0129637	0.159894048	2	0.027777778	0.8573	1	0.49	77	0.87804878	0.72
148at7399	1	203	0	1	0	0.7765	0	0.65	79	0.975609756	0.88
150at7399	1.05	203	0.207566616	1	0.05	1.8225	2	0.39	77	0.975609756	0.94
152at7399	1	203	0	1	0	0.8616	0	0.72	79	0.975609756	0.92
156at7399	1.256410256	203	0.430994124	3	0.205128205	1.1212	8	0.433333333	69	0.951219512	0.686666667
159at7399	1.024390244	203	0.15058465	0	0.024390244	1.1005	1	0.33	79	1	0.63
160at7399	1.097560976	203	0.337016686	0	0.073170732	0.8543	3	0.14	77	1	0.45
166at7399	1.12195122	203	0.351878566	0	0.097560976	0.8135	4	0.62	76	1	0.9
167at7399	1	183.0129637	0	1	0	0.8029	0	0.34	79	0.902439024	0.82
170at7399	1.027777778	183.0129637	0.159894048	2	0.027777778	1.0849	1	0.69	77	0.87804878	0.93
171at7399	1.048780488	203	0.205389788	0	0.048780488	0.831	2	0.54	78	1	0.88
175at7399	1.024390244	203	0.15058465	0	0.024390244	1.4291	1	0.64	79	1	0.96
178at7399	1.024390244	203	0.15058465	0	0.024390244	0.9505	1	0.58	79	1	0.86
188at7399	1.05	203	0.207566616	4	0.05	0.9971	1	0.435	75	0.487804878	0.81
190at7399	1.073170732	203	0.242660869	0	0.073170732	0.9623	3	0.45	77	1	0.83
191at7399	1.024390244	203	0.15058465	0	0.024390244	1.0073	1	0.51	79	1	0.86
193at7399	1	183.0129637	0	1	0	1.2949	0	0.26	79	0.902439024	0.89
198at7399	1.024390244	203	0.15058465	0	0.024390244	1.2616	1	0.32	79	1	0.86
200at7399	1.032258065	203	0.171163299	8	0.032258065	1.007	1	0.25	71	0.756097561	0.52
205at7399	1.073170732	203	0.318181818	0	0.048780488	0.8041	2	0.34	78	1	0.65
216at7399	1.027777778	183.0129637	0.159894048	2	0.027777778	1.1669	1	0.5	77	0.87804878	0.89
218at7399	1	183.0129637	0	12	0	0.9573	0	0.42	68	0.512195122	0.73
219at7399	1	203	0	1	0	0.937	0	0.55	79	0.975609756	0.79
221at7399	1	162	0	11	0	1.1544	0	0.32	69	0.219512195	0.79
222at7399	1	203	0	1	0	0.8549	0	0.82	79	0.975609756	0.97
223at7399	1.027027027	183.0129637	0.157894737	1	0.027027027	1.1703	1	0.37	78	0.902439024	0.73
226at7399	1	203	0	0	0	0.8628	0	0.71	80	1	0.9
227at7399	1.097560976	203	0.270345001	0	0.097560976	0.952	4	0.42	76	1	0.74
232at7399	1.024390244	203	0.15058465	0	0.024390244	0.891	1	0.47	79	1	0.74
233at7399	1.073170732	203	0.318181818	0	0.048780488	1.3905	2	0.45	78	1	0.93
239at7399	1	203	0	0	0	0.8597	0	0.86	80	1	0.99
241at7399	1	203	0	0	0	0.8958	0	0.36	80	1	0.7
244at7399	1	203	0	0	0	0.8071	0	0.61	80	1	0.85
246at7399	1.076923077	203	0.24743583	2	0.076923077	1.0383	3	0.45	75	0.951219512	0.84
249at7399	1	203	0	0	0	0.807	0	0.38	80	1	0.61
251at7399	1	203	0	0	0	1.0409	0	0.27	80	1	0.61
259at7399	1.024390244	203	0.15058465	0	0.024390244	0.8823	1	0.45	79	1	0.72
260at7399	1.048780488	203	0.294165364	0	0.024390244	0.842	1	0.41	79	1	0.69
261at7399	1.024390244	203	0.15058465	0	0.024390244	0.9969	1	0.68	79	1	0.95
264at7399	1.048780488	203	0.205389788	0	0.048780488	0.8863	2	0.27	78	1	0.62
265at7399	1.073170732	203	0.242660869	0	0.073170732	1.1875	3	0.28	77	1	0.78
266at7399	1.05	203	0.207566616	1	0.05	1.5342	2	0.31	77	0.975609756	0.64
267at7399	1.048780488	203	0.205389788	0	0.048780488	1.4222	2	0.25	78	1	0.67
268at7399	1.048780488	203	0.205389788	0	0.048780488	0.8044	2	0.29	78	1	0.51
274at7399	1.024390244	203	0.15058465	0	0.024390244	0.6977	1	0.61	79	1	0.86
279at7399	1	203	0	0	0	0.812	0	0.78	80	1	0.97
281at7399	1	203	0	0	0	0.8364	0	0.56	80	1	0.81
282at7399	1	203	0	1	0	0.9832	0	0.61	79	0.975609756	0.86
285at7399	1.073170732	203	0.318181818	0	0.048780488	1.4612	2	0.37	78	1	0.84
290at7399	1	203	0	0	0	0.8626	0	0.52	80	1	0.76
292at7399	1	203	0	0	0	1.1406	0	0.84	80	1	0.97
297at7399	1.024390244	203	0.15058465	0	0.024390244	0.8241	1	0.87	79	1	0.99
301at7399	1.025	203	0.152317024	1	0.025	0.9434	1	0.465	78	0.975609756	0.725
302at7399	1	203	0	0	0	0.7432	0	0.86	80	1	0.98
306at7399	1.024390244	203	0.15058465	0	0.024390244	1.1686	1	0.52	79	1	0.82
308at7399	1.243902439	203	0.769467328	1	0.12195122	1.0545	6	0.52	73	1	0.82
310at7399	1.025	203	0.152317024	1	0.025	0.8366	1	0.78	78	0.975609756	0.87
311at7399	1	203	0	0	0	0.9614	0	0.27	80	1	0.55
317at7399	1.024390244	203	0.15058465	0	0.024390244	1.3008	1	0.18	79	1	0.63
319at7399	1.121212121	203	0.364614529	8	0.090909091	0.8768	3	0.19	69	0.804878049	0.47
321at7399	1.048780488	203	0.205389788	0	0.048780488	0.8113	2	0.63	78	1	0.84
324at7399	1.024390244	203	0.15058465	0	0.024390244	1.0645	1	0.36	79	1	0.8
335at7399	1.024390244	203	0.15058465	0	0.024390244	0.8049	1	0.69	79	1	0.9
341at7399	1	203	0	0	0	1.2051	0	0.49	80	1	0.72
342at7399	1	203	0	0	0	0.7296	0	0.64	80	1	0.85
343at7399	1.073170732	203	0.242660869	0	0.073170732	1.1812	3	0.72	77	1	0.92
346at7399	1.073170732	203	0.242660869	0	0.073170732	0.7777	3	0.53	77	1	0.81
349at7399	1.243902439	203	0.345231703	12	0.243902439	1.3198	1	0.29	67	1	0.62
352at7399	1.025	203	0.152317024	1	0.025	0.9056	1	0.39	78	0.975609756	0.67
359at7399	1.073170732	203	0.318181818	0	0.048780488	1.7577	2	0.32	78	1	0.79
371at7399	1.057142857	203	0.219568606	3	0.057142857	1.3301	2	0.17	75	0.853658537	0.53
376at7399	1	203	0	0	0	0.8177	0	0.39	80	1	0.7
378at7399	1	203	0	0	0	0.9607	0	0.64	80	1	0.92
381at7399	1.025	203	0.152317024	1	0.025	0.8569	1	0.63	78	0.975609756	0.9
382at7399	1.054054054	183.0129637	0.214528212	1	0.054054054	1.3355	2	0.49	77	0.902439024	0.83
386at7399	1.048780488	203	0.205389788	0	0.048780488	0.8501	2	0.58	78	1	0.83
388at7399	1	203	0	18	0	0.8897	0	0.7	62	0.512195122	0.95
392at7399	1.048780488	203	0.205389788	0	0.048780488	1.5849	2	0.36	78	1	0.78
393at7399	1	203	0	0	0	1.0153	0	0.62	80	1	0.92
394at7399	1.097560976	203	0.337016686	0	0.073170732	0.8759	3	0.59	77	1	0.83
395at7399	1.048780488	203	0.205389788	0	0.048780488	0.799	2	0.48	78	1	0.71
400at7399	1	203	0	0	0	1.1191	0	0.18	80	1	0.64
401at7399	1.073170732	203	0.242660869	0	0.073170732	0.8339	3	0.4	77	1	0.71
402at7399	1.024390244	203	0.15058465	0	0.024390244	0.8659	1	0.7	79	1	0.94
404at7399	1	203	0	0	0	0.7475	0	0.96	80	1	0.99
412at7399	1	203	0	0	0	0.7578	0	0.74	80	1	0.94
413at7399	1	203	0	0	0	0.9699	0	0.73	80	1	0.95
415at7399	1.024390244	203	0.15058465	0	0.024390244	1.6193	1	0.43	79	1	0.94
416at7399	1	203	0	0	0	1.2298	0	0.41	80	1	0.86
417at7399	1	203	0	0	0	0.8072	0	0.9	80	1	0.98
418at7399	1.146341463	203	0.308327165	0	0.146341463	1.0841	5	0.52	75	1	0.86
420at7399	1.048780488	203	0.294165364	0	0.024390244	0.9975	1	0.38	79	1	0.74
422at7399	1.054054054	183.0129637	0.214528212	1	0.054054054	1.054	2	0.17	77	0.902439024	0.42
425at7399	1.024390244	203	0.15058465	0	0.024390244	1.0006	1	0.38	79	1	0.8
426at7399	1.048780488	203	0.205389788	0	0.048780488	0.7942	2	0.59	78	1	0.89
430at7399	1	203	0	0	0	0.7811	0	0.29	80	1	0.53
434at7399	1.027777778	203	0.159894048	5	0.027777778	1.216	1	0.47	74	0.87804878	0.91
435at7399	1	203	0	0	0	0.8951	0	0.64	80	1	0.8
436at7399	1	203	0	0	0	0.8241	0	0.16	80	1	0.41
437at7399	1	177.3420531	0	2	0	0.8629	0	0.38	78	0.804878049	0.7
438at7399	1.024390244	203	0.15058465	0	0.024390244	1.0868	1	0.2	79	1	0.45
439at7399	1.048780488	203	0.205389788	0	0.048780488	1.0124	2	0.67	78	1	0.9
440at7399	1.433333333	203	0.641540196	6	0.266666667	1.1447	4	0.32	70	0.731707317	0.78
446at7399	1.048780488	203	0.205389788	0	0.048780488	0.8729	2	0.64	78	1	0.89
453at7399	1.025	203	0.152317024	1	0.025	1.0362	1	0.69	78	0.975609756	0.95
455at7399	1	203	0	0	0	1.0167	0	0.48	80	1	0.82
457at7399	1.365853659	203	0.736701834	7	0.146341463	1.0409	5	0.33	68	1	0.81
459at7399	1.179487179	203	0.325361512	2	0.179487179	1.4521	7	0.23	71	0.951219512	0.69
461at7399	1.03030303	203	0.166378066	8	0.03030303	0.8333	1	0.1	71	0.804878049	0.28
462at7399	1	203	0	0	0	1.1663	0	0.29	80	1	0.43
466at7399	1	203	0	1	0	0.8262	0	0.22	79	0.975609756	0.51
468at7399	1.024390244	203	0.15058465	0	0.024390244	0.9819	1	0.66	79	1	0.92
470at7399	1	203	0	0	0	0.8612	0	0.67	80	1	0.92
476at7399	1.024390244	203	0.15058465	0	0.024390244	0.8123	1	0.77	79	1	0.91
477at7399	1.285714286	203	0.582671582	9	0.142857143	1.4979	4	0.12	67	0.682926829	0.68
480at7399	1.097560976	203	0.270345001	0	0.097560976	1.1887	4	0.26	76	1	0.59
482at7399	1	183.0129637	0	1	0	1.2958	0	0.37	79	0.902439024	0.82
486at7399	1.073170732	203	0.318181818	0	0.048780488	1.2187	2	0.27	78	1	0.68
493at7399	1.487179487	203	0.949372407	12	0.230769231	1.2213	6	0.475	62	0.951219512	0.865
497at7399	1.024390244	203	0.15058465	0	0.024390244	0.9123	1	0.63	79	1	0.88
501at7399	1.024390244	203	0.15058465	0	0.024390244	0.7938	1	0.4	79	1	0.6
502at7399	1	203	0	1	0	1.4078	0	0.59	79	0.975609756	0.96
504at7399	1.073170732	203	0.242660869	0	0.073170732	1.2863	3	0.18	77	1	0.61
511at7399	1.024390244	203	0.15058465	0	0.024390244	0.7738	1	0.7	79	1	0.94
523at7399	1	203	0	0	0	0.8174	0	0.32	80	1	0.56
527at7399	1.097560976	203	0.441098516	2	0.048780488	0.8842	2	0.36	76	1	0.61
531at7399	1.024390244	203	0.15058465	0	0.024390244	1.1126	1	0.69	79	1	0.95
534at7399	1.024390244	203	0.15058465	0	0.024390244	1.0921	1	0.38	79	1	0.83
539at7399	1.073170732	203	0.242660869	0	0.073170732	0.8362	3	0.36	77	1	0.69
541at7399	1	203	0	1	0	0.8488	0	0.26	79	0.634146341	0.68
550at7399	1.146341463	203	0.363574627	0	0.12195122	0.8994	5	0.78	75	1	0.93
551at7399	1.024390244	203	0.15058465	0	0.024390244	0.8445	1	0.19	79	1	0.48
552at7399	1	203	0	2	0	0.8151	0	0.23	78	0.951219512	0.48
