orthogroup	PDS
MZ22500000	NA
MZ22500003	8.24214
MZ22500004	22.66581
MZ22500007	8.5411
MZ22500009	8.5207
MZ22500010	5.85118
MZ22500012	10.5705
MZ22500013	17.03481
MZ22500017	8.9275
MZ22500019	5.11348
MZ22500020	5.15273
MZ22500022	5.35216
MZ22500024	28.0042
MZ22500025	7.36095
MZ22500026	7.49737
MZ22500028	7.019
MZ22500029	7.3763
MZ22500030	8.88837
MZ22500032	3.3689199999999997
MZ22500033	24.27038
MZ22500036	6.32532
MZ22500038	6.985530000000001
MZ22500040	4.82494
MZ22500041	7.17157
MZ22500043	9.847000000000001
MZ22500045	26.4265
MZ22500047	6.2413099999999995
MZ22500048	21.41005
MZ22500049	7.336189999999999
MZ22500052	6.978839999999999
MZ22500053	5.2569099999999995
MZ22500054	32.38994
MZ22500057	10.1853
MZ22500058	0.0
MZ22500060	5.75256
MZ22500062	7.626
MZ22500063	31.6478
MZ22500064	8.213
MZ22500066	0.0
MZ22500067	0.0
MZ22500068	12.5773
MZ22500070	7.12161
MZ22500071	7.4306
MZ22500073	8.0939
MZ22500075	7.1924
MZ22500078	6.25131
MZ22500079	7.1202
MZ22500080	7.985
MZ22500081	8.0265
MZ22500084	6.843999999999999
MZ22500086	52.5001
MZ22500088	7.64848
MZ22500089	7.687460000000001
MZ22500093	15.663
MZ22500094	8.33137
MZ22500095	9.7803
MZ22500096	7.75442
MZ22500097	6.2988800000000005
MZ22500098	12.88233
MZ22500100	18.20746
MZ22500101	16.09854
MZ22500102	87.2219
MZ22500105	11.0701
MZ22500106	5.40916
MZ22500107	8.9519
MZ22500111	19.97229
MZ22500114	6.64353
MZ22500115	7.5054
MZ22500117	11.7483
MZ22500118	6.64278
MZ22500120	6.80916
MZ22500123	6.59187
MZ22500124	6.41115
MZ22500126	17.023329999999998
MZ22500128	33.19
MZ22500132	12.42615
MZ22500133	9.4703
MZ22500134	38.6965
MZ22500135	5.88521
MZ22500137	35.4547
MZ22500138	35.59531
MZ22500139	9.01331
MZ22500141	9.3444
MZ22500142	6.184
MZ22500144	22.1609
MZ22500147	7.66045
MZ22500149	39.97997
MZ22500152	6.2611
MZ22500154	6.99565
MZ22500155	5.60326
MZ22500156	8.49019
MZ22500158	16.22503
MZ22500160	5.80492
MZ22500162	0.0
MZ22500163	12.99803
MZ22500164	6.8616
MZ22500166	6.74
MZ22500169	6.7863
MZ22500170	9.8355
MZ22500171	267.8602
MZ22500172	7.77915
MZ22500173	7.08563
MZ22500174	15.91223
MZ22500176	8.62663
MZ22500177	8.90382
MZ22500179	6.7538
MZ22500180	23.483
MZ22500181	6.66817
MZ22500182	10.7976
MZ22500183	21.2687
MZ22500187	13.48219
MZ22500188	24.7005
MZ22500190	7.313960000000001
MZ22500194	7.452260000000001
MZ22500196	20.3108
MZ22500197	9.42251
MZ22500202	12.9393
MZ22500204	5.512490000000001
MZ22500205	7.86274
MZ22500208	7.0961300000000005
MZ22500211	7.564769999999999
MZ22500214	8.00835
MZ22500215	7.633089999999999
MZ22500216	6.38152
MZ22500219	7.4417
MZ22500225	5.8604
MZ22500230	9.9857
MZ22500233	6.06355
MZ22500234	6.09543
MZ22500235	6.29499
MZ22500238	26.47751
MZ22500239	9.6025
MZ22500240	21.3524
MZ22500243	7.70662
MZ22500244	12.165460000000001
MZ22500246	18.009420000000002
MZ22500247	147.29
MZ22500251	9.49735
MZ22500252	6.02094
MZ22500257	6.58552
MZ22500259	6.64625
MZ22500265	5.54343
MZ22500266	13.707529999999998
MZ22500267	6.47438
MZ22500268	6.18808
MZ22500275	7.6716
MZ22500276	7.029780000000001
MZ22500277	7.39808
MZ22500278	7.05461
MZ22500280	7.2989
MZ22500281	6.14631
MZ22500285	8.0482
MZ22500286	55.1376
MZ22500287	6.86632
MZ22500289	7.832999999999999
MZ22500292	4.9911900000000005
MZ22500294	7.97588
MZ22500298	7.16728
MZ22500300	7.529039999999999
MZ22500301	7.8082
MZ22500302	11.233239999999999
MZ22500303	8.15295
MZ22500306	0.0
MZ22500307	13.919179999999999
MZ22500308	7.3839999999999995
MZ22500310	29.35302
MZ22500311	7.32741
MZ22500312	5.7484
MZ22500314	15.04093
MZ22500316	7.25168
MZ22500317	7.44
MZ22500318	8.958210000000001
MZ22500321	6.7102
MZ22500323	16.4313
MZ22500324	16.66345
MZ22500325	6.689019999999999
MZ22500326	8.49982
MZ22500327	8.57076
MZ22500328	8.2011
MZ22500332	6.5827
MZ22500333	8.36866
MZ22500334	4.34446
MZ22500338	8.87352
MZ22500339	7.670910000000001
MZ22500342	8.21914
MZ22500344	5.39385
MZ22500345	9.00731
MZ22500346	5.4152
MZ22500347	5.8382
MZ22500348	14.107120000000002
MZ22500350	70.6165
MZ22500352	7.932810000000001
MZ22500357	9.229560000000001
MZ22500359	6.06021
MZ22500360	7.74
MZ22500361	7.149960000000001
MZ22500362	9.004719999999999
MZ22500363	10.3849
MZ22500364	6.41793
MZ22500365	7.48216
MZ22500366	7.07815
MZ22500367	6.42229
MZ22500369	8.2588
MZ22500373	8.13067
MZ22500374	35.12898
MZ22500377	8.27817
MZ22500381	10.38998
MZ22500385	15.144860000000001
MZ22500387	11.10314
MZ22500388	41.5098
MZ22500389	3.0295099999999997
MZ22500390	8.0937
MZ22500391	8.67619
MZ22500395	18.4601
MZ22500396	7.27672
MZ22500398	7.67005
MZ22500400	7.09255
MZ22500402	5.6782699999999995
MZ22500403	27.3404
MZ22500404	6.864210000000001
MZ22500405	7.81198
MZ22500407	0.91806
MZ22500408	6.64019
MZ22500413	12.2107
MZ22500415	6.1340699999999995
MZ22500421	6.25569
MZ22500424	85.9026
MZ22500427	20.23633
MZ22500429	13.706220000000002
MZ22500430	5.0495
MZ22500432	7.8831
MZ22500433	15.244520000000001
MZ22500434	7.8806
MZ22500438	5.1371
MZ22500440	6.103190000000001
MZ22500442	6.9057
MZ22500443	28.3739
MZ22500445	5.9442
MZ22500448	7.09628
MZ22500449	6.50526
MZ22500450	7.1399300000000006
MZ22500453	8.74473
MZ22500456	6.643910000000001
MZ22500458	6.1192
MZ22500459	5.20429
MZ22500461	10.21275
MZ22500462	2.0562099999999996
MZ22500466	7.868589999999999
MZ22500467	10.435130000000001
MZ22500468	8.14131
MZ22500469	16.8027
MZ22500470	7.644939999999999
MZ22500471	3.4719
MZ22500472	8.58105
MZ22500473	10.0573
MZ22500474	14.61135
MZ22500475	7.1469
MZ22500480	5.2903
MZ22500481	9.7858
MZ22500484	7.631010000000001
MZ22500485	8.46636
MZ22500486	11.87417
MZ22500487	11.6509
MZ22500490	15.298070000000001
MZ22500500	6.69338
MZ22500501	12.5559
MZ22500502	13.46708
MZ22500504	8.4293
MZ22500506	7.1042
MZ22500509	7.1095
MZ22500510	9.2152
MZ22500511	7.485
MZ22500512	6.30313
MZ22500515	8.2588
MZ22500517	7.389060000000001
MZ22500520	33.06875
MZ22500521	5.37514
MZ22500523	11.70278
MZ22500526	7.0896300000000005
MZ22500528	6.64075
MZ22500529	22.71312
MZ22500533	8.39495
MZ22500536	7.8469
MZ22500537	5.18118
MZ22500539	5.00049
MZ22500540	9.49162
MZ22500547	7.964010000000001
MZ22500552	7.48718
MZ22500553	7.0649
MZ22500554	5.63842
MZ22500555	6.40099
MZ22500557	8.51775
MZ22500558	8.69772
MZ22500562	5.69458
MZ22500563	5.52046
MZ22500565	8.2359
MZ22500566	32.82051
MZ22500570	7.7883
MZ22500571	14.13515
MZ22500572	11.6913
MZ22500573	6.5075
MZ22500574	0.0
MZ22500576	6.65641
MZ22500577	6.47929
MZ22500579	11.33672
MZ22500580	7.88595
MZ22500581	7.11158
MZ22500582	6.30775
MZ22500583	4.42381
MZ22500584	16.37235
MZ22500585	6.56658
MZ22500589	21.31951
MZ22500590	3.77875
MZ22500591	0.0
MZ22500597	7.7732600000000005
MZ22500599	7.7297
MZ22500601	7.545139999999999
MZ22500603	39.47967
MZ22500605	9.75169
MZ22500607	16.39903
MZ22500610	6.92651
MZ22500611	6.8377
MZ22500612	5.90511
MZ22500613	8.5534
MZ22500614	5.31166
MZ22500615	6.5335
MZ22500618	5.23957
MZ22500620	6.14731
MZ22500623	25.3942
MZ22500624	11.17037
MZ22500629	6.73117
MZ22500630	6.3691
MZ22500633	9.558910000000001
MZ22500634	9.96106
MZ22500635	10.05135
MZ22500636	8.08125
MZ22500637	1.9631
MZ22500638	8.812330000000001
MZ22500640	6.05548
MZ22500642	46.2429
MZ22500644	5.0758
MZ22500645	3.9986699999999997
MZ22500647	14.2348
MZ22500648	5.71951
MZ22500650	7.04293
MZ22500654	7.02464
MZ22500655	8.06473
MZ22500658	6.700939999999999
MZ22500664	5.871569999999999
MZ22500665	19.64677
MZ22500666	9.55982
MZ22500668	5.3125599999999995
MZ22500670	7.1698699999999995
MZ22500671	8.10545
MZ22500673	12.25711
MZ22500675	7.91103
MZ22500677	6.1293
MZ22500678	7.34167
MZ22500680	10.7357
MZ22500682	7.6169
MZ22500683	14.080070000000001
MZ22500684	7.2654
MZ22500687	27.20464
MZ22500688	7.0778
MZ22500690	4.66528
MZ22500691	26.414179999999998
MZ22500693	11.0421
MZ22500698	10.1776
MZ22500699	7.1791
MZ22500701	7.409619999999999
MZ22500705	5.21318
MZ22500708	6.20974
MZ22500710	18.4922
MZ22500713	5.6924
MZ22500715	7.145160000000001
MZ22500721	6.557010000000001
MZ22500722	14.968760000000001
MZ22500723	7.09745
MZ22500725	7.5096
MZ22500726	5.41843
MZ22500728	5.4943
MZ22500731	5.41527
MZ22500733	5.73149
MZ22500734	9.9161
MZ22500736	7.0602
MZ22500738	5.98144
MZ22500740	5.57457
MZ22500741	6.47502
MZ22500742	13.849779999999999
MZ22500743	2.50998
MZ22500746	8.25923
MZ22500751	38.4656
MZ22500752	15.6593
MZ22500754	1.42588
MZ22500755	6.93487
MZ22500756	4.753819999999999
MZ22500757	6.898810000000001
MZ22500758	4.39773
MZ22500762	6.977639999999999
MZ22500765	7.14428
MZ22500767	9.721119999999999
MZ22500769	7.5441199999999995
MZ22500770	7.366510000000001
MZ22500772	7.5194
MZ22500773	8.6399
MZ22500775	6.594119999999999
MZ22500776	8.12652
MZ22500779	12.5154
MZ22500781	15.895170000000002
MZ22500783	5.23271
MZ22500784	8.5646
MZ22500785	8.5445
MZ22500788	9.8975
MZ22500790	6.860289999999999
MZ22500791	10.405999999999999
MZ22500793	4.86095
MZ22500794	6.16349
MZ22500795	7.15145
MZ22500799	5.4088
MZ22500800	10.43698
MZ22500802	14.5286
MZ22500804	34.03492
MZ22500806	129.1559
MZ22500810	16.42076
MZ22500811	2.5569599999999997
MZ22500814	5.46054
MZ22500817	5.99771
MZ22500818	15.20098
MZ22500820	7.5920000000000005
MZ22500821	18.65363
MZ22500822	6.3479
MZ22500828	8.644210000000001
MZ22500834	5.22084
MZ22500835	5.5881300000000005
MZ22500838	9.07413
MZ22500839	7.072139999999999
MZ22500840	8.95048
MZ22500841	6.8188
MZ22500842	16.128239999999998
MZ22500843	6.5339599999999995
MZ22500845	7.0024
MZ22500846	5.97197
MZ22500847	14.74
MZ22500848	6.02134
MZ22500851	8.32297
MZ22500853	10.5316
MZ22500854	8.09943
MZ22500855	6.8121
MZ22500858	5.8256
MZ22500859	7.18087
MZ22500861	7.181089999999999
MZ22500862	7.65172
MZ22500864	7.57902
MZ22500865	5.20102
MZ22500866	0.0
MZ22500867	7.27499
MZ22500868	12.209430000000001
MZ22500869	5.9996
MZ22500870	13.955160000000001
MZ22500873	12.1284
MZ22500875	5.70704
MZ22500876	41.5429
MZ22500878	16.4785
MZ22500880	34.4487
MZ22500881	8.01936
