gene	STA
GB44089	77
GB40008	77
GB55781	75
GB47976	74
GB47946	72
GB46705	79
GB51956	78
GB47470	80
GB55650	75
GB52098	74
GB52252	79
GB47452	79
GB44587	80
GB54468,GB49507	75
GB41196	72
GB40498	80
GB50114	78
GB43870	74
GB49951	78
GB54130	79
GB47938	80
GB50548	76
GB49929	80
GB52848	78
GB51673	74
GB44262	80
GB46325	78
GB51545	77
GB51405	79
GB53320	77
GB43214	76
GB46253,GB46253	75
GB51191	78
GB54884	77
GB42359	69
GB55490	79
GB41989	57
GB41850	76
GB42374	79
GB49432	80
GB51773,GB46836	78
GB45073	77
GB51344	79
GB53315	77
GB49187	79
GB53554,GB53558,GB53558	69
GB47009	79
GB41468	77
GB42489	76
GB48853	79
GB43459	77
GB51104	78
GB47628	79
GB41847	79
GB55143,GB41007	75
GB41119	77
GB52997	79
GB44685	79
GB53104	79
GB53929	71
GB42976,GB42975,GB42976	78
GB45260	77
GB40993	68
GB49601	79
GB40010	69
GB42022	79
GB55375	78
GB51276	80
GB44485	76
GB49872	79
GB41852	78
GB47688	80
GB46321	80
GB46736	80
GB44218	75
GB48972	80
GB46795	80
GB43611	79
GB41634	79
GB44213,GB52278	78
GB52613	77
GB48355	77
GB55591	78
GB49149	78
GB45823	79
GB44905	80
GB48693	80
GB52985	79
GB45281	80
GB51998	80
GB42495	79
GB40993,GB53008	78
GB49106	80
GB41745	79
GB51619,GB51619	73
GB44183	78
GB46140	80
GB54507	79
GB48515	69
GB49336	78
GB40140	79
GB52306	79
GB55538	80
GB45717	80
GB54912	77
GB53340	77
GB47581	67
GB49767	78
GB43771	78
GB52213,GB52213	75
GB42035	80
GB52621	80
GB53959	78
GB54235	77
GB42508	78
GB50923	78
GB55808	80
GB54777	77
GB41645	78
GB50498	80
GB47190	77
GB47879,GB47879	79
GB53909	80
GB50853	80
GB44673	80
GB40808	79
GB46270	80
GB46614	75
GB48825	79
GB54320	77
GB52574	79
GB49346	78
GB55020	80
GB48577	74
GB51360	80
GB47099	80
GB53517	78
GB52555,GB52555	79
GB51962	78
GB52590	70
GB45821	78
GB49491	78
GB54568	80
GB53412	68
GB50827	71
GB41884	80
GB53701	79
GB49172	79
GB50535	80
GB50852	79
GB42427	67
GB52238	76
