gene	LCA
GB44089	16
GB40008	16
GB55781	16
GB47976	16
GB47946	16
GB46705	16
GB51956	16
GB47470	16
GB55650	16
GB52098	16
GB52252	16
GB47452	16
GB44587	16
GB54468,GB49507	16
GB41196	16
GB40498	16
GB50114	16
GB43870	16
GB49951	16
GB54130	16
GB47938	16
GB50548	16
GB49929	16
GB52848	16
GB51673	16
GB44262	16
GB46325	16
GB51545	16
GB51405	16
GB53320	16
GB43214	16
GB46253,GB46253	16
GB51191	16
GB54884	16
GB42359	16
GB55490	16
GB41989	16
GB41850	16
GB42374	16
GB49432	16
GB51773,GB46836	16
GB45073	16
GB51344	16
GB53315	16
GB49187	16
GB53554,GB53558,GB53558	16
GB47009	16
GB41468	16
GB42489	16
GB48853	16
GB43459	16
GB51104	16
GB47628	16
GB41847	16
GB55143,GB41007	16
GB41119	16
GB52997	16
GB44685	16
GB53104	16
GB53929	16
GB42976,GB42975,GB42976	16
GB45260	16
GB40993	15
GB49601	16
GB40010	14
GB42022	16
GB55375	16
GB51276	16
GB44485	16
GB49872	16
GB41852	16
GB47688	16
GB46321	16
GB46736	16
GB44218	16
GB48972	16
GB46795	16
GB43611	16
GB41634	16
GB44213,GB52278	16
GB52613	16
GB48355	16
GB55591	16
GB49149	16
GB45823	16
GB44905	16
GB48693	16
GB52985	16
GB45281	16
GB51998	16
GB42495	16
GB40993,GB53008	16
GB49106	16
GB41745	16
GB51619,GB51619	16
GB44183	16
GB46140	16
GB54507	16
GB48515	16
GB49336	16
GB40140	16
GB52306	16
GB55538	16
GB45717	16
GB54912	16
GB53340	16
GB47581	16
GB49767	16
GB43771	16
GB52213,GB52213	16
GB42035	16
GB52621	16
GB53959	16
GB54235	16
GB42508	16
GB50923	16
GB55808	16
GB54777	16
GB41645	16
GB50498	16
GB47190	16
GB47879,GB47879	16
GB53909	16
GB50853	16
GB44673	16
GB40808	16
GB46270	16
GB46614	16
GB48825	16
GB54320	16
GB52574	16
GB49346	16
GB55020	16
GB48577	16
GB51360	16
GB47099	16
GB53517	16
GB52555,GB52555	16
GB51962	16
GB52590	15
GB45821	16
GB49491	16
GB54568	16
GB53412	16
GB50827	16
GB41884	16
GB53701	16
GB49172	16
GB50535	16
GB50852	16
GB42427	16
GB52238	16
GB43860	16
GB40251,GB40251	16
GB50378,GB50388	16
GB41287	16
GB51337	16
GB44959	16
GB40346	16
GB54530	16
GB53305	16
GB52001	16
GB53778	16
GB43173	16
GB54538	16
GB41332	16
GB55583,GB51769	16
GB45774	16
GB55888	16
GB43304	16
GB49171	16
GB55237,GB55237	16
GB45972	15
GB48795	16
GB53341	16
GB46564	16
GB41215	16
GB50690	16
GB51589	16
GB49767,GB55648,GB54069	16
GB41639	16
GB52168	16
GB48234	16
GB53269	16
GB48192	16
GB50969	16
GB44595	16
GB47098	16
GB51653	16
GB42014	16
GB42031	16
GB45101	16
