gene	AGE
GB44089	203.0
GB40008	203.0
GB55781	203.0
GB47976	203.0
GB47946	203.0
GB46705	203.0
GB51956	203.0
GB47470	203.0
GB55650	203.0
GB52098	203.0
GB52252	203.0
GB47452	203.0
GB44587	203.0
GB54468,GB49507	203.0
GB41196	203.0
GB40498	203.0
GB50114	203.0
GB43870	203.0
GB49951	203.0
GB54130	203.0
GB47938	203.0
GB50548	203.0
GB49929	203.0
GB52848	203.0
GB51673	203.0
GB44262	203.0
GB46325	203.0
GB51545	203.0
GB51405	203.0
GB53320	203.0
GB43214	203.0
GB46253,GB46253	183.0129637
GB51191	203.0
GB54884	203.0
GB42359	203.0
GB55490	203.0
GB41989	203.0
GB41850	203.0
GB42374	203.0
GB49432	203.0
GB51773,GB46836	203.0
GB45073	183.0129637
GB51344	203.0
GB53315	203.0
GB49187	203.0
GB53554,GB53558,GB53558	203.0
GB47009	203.0
GB41468	203.0
GB42489	203.0
GB48853	183.0129637
GB43459	183.0129637
GB51104	203.0
GB47628	203.0
GB41847	203.0
GB55143,GB41007	203.0
GB41119	203.0
GB52997	203.0
GB44685	183.0129637
GB53104	203.0
GB53929	203.0
GB42976,GB42975,GB42976	203.0
GB45260	183.0129637
GB40993	183.0129637
GB49601	203.0
GB40010	162.0
GB42022	203.0
GB55375	183.0129637
GB51276	203.0
GB44485	203.0
GB49872	203.0
GB41852	203.0
GB47688	203.0
GB46321	203.0
GB46736	203.0
GB44218	203.0
GB48972	203.0
GB46795	203.0
GB43611	203.0
GB41634	203.0
GB44213,GB52278	203.0
GB52613	203.0
GB48355	203.0
GB55591	203.0
GB49149	203.0
GB45823	203.0
GB44905	203.0
GB48693	203.0
GB52985	203.0
GB45281	203.0
GB51998	203.0
GB42495	203.0
GB40993,GB53008	203.0
GB49106	203.0
GB41745	203.0
GB51619,GB51619	203.0
GB44183	203.0
GB46140	203.0
GB54507	203.0
GB48515	203.0
GB49336	203.0
GB40140	203.0
GB52306	203.0
GB55538	203.0
GB45717	203.0
GB54912	203.0
GB53340	203.0
GB47581	203.0
GB49767	203.0
GB43771	203.0
GB52213,GB52213	203.0
GB42035	203.0
GB52621	203.0
GB53959	203.0
GB54235	183.0129637
GB42508	203.0
GB50923	203.0
GB55808	203.0
GB54777	203.0
GB41645	203.0
GB50498	203.0
GB47190	203.0
GB47879,GB47879	203.0
GB53909	203.0
GB50853	203.0
GB44673	203.0
GB40808	203.0
GB46270	203.0
GB46614	203.0
GB48825	203.0
GB54320	183.0129637
GB52574	203.0
GB49346	203.0
GB55020	203.0
GB48577	203.0
GB51360	203.0
GB47099	203.0
GB53517	177.3420531
GB52555,GB52555	203.0
GB51962	203.0
GB52590	203.0
GB45821	203.0
GB49491	203.0
GB54568	203.0
GB53412	203.0
GB50827	203.0
GB41884	203.0
GB53701	203.0
GB49172	203.0
GB50535	203.0
GB50852	203.0
GB42427	203.0
GB52238	203.0
GB43860	183.0129637
GB40251,GB40251	203.0
GB50378,GB50388	203.0
GB41287	203.0
GB51337	203.0
GB44959	203.0
GB40346	203.0
GB54530	203.0
GB53305	203.0
GB52001	203.0
GB53778	203.0
GB43173	203.0
GB54538	203.0
GB41332	203.0
GB55583,GB51769	203.0
GB45774	203.0
GB55888	203.0
GB43304	203.0
GB49171	203.0
GB55237,GB55237	203.0
GB45972	203.0
GB48795	203.0
GB53341	203.0
GB46564	203.0
GB41215	203.0
GB50690	203.0
GB51589	203.0
GB49767,GB55648,GB54069	203.0
GB41639	203.0
GB52168	203.0
GB48234	203.0
GB53269	203.0
GB48192	203.0
GB50969	203.0
GB44595	203.0
GB47098	203.0
GB51653	203.0
GB42014	203.0
GB42031	203.0
GB45101	203.0
GB42728	203.0
GB43462	203.0
GB48789	203.0
GB54177	203.0
GB55480,GB51897	203.0
GB50357	203.0
GB44341	203.0
GB47308	203.0
GB47829	203.0
GB46332	203.0
GB52472	203.0
GB49428	203.0
GB44092,GB47528	203.0
GB51255	203.0
GB48203	203.0
GB51036	203.0
GB43631	203.0
GB48994	203.0
GB51207	203.0
GB40689	183.0129637
GB52537	203.0
GB47680	203.0
GB40703	203.0
GB47118	203.0
GB53149	203.0
GB51596	203.0
GB44899	203.0
GB51660	203.0
GB43796	203.0
GB48204,GB48204	203.0
GB42984	203.0
GB46126	183.0129637
GB52536	203.0
GB52759	203.0
GB40452	203.0
GB48305	203.0
GB54288	203.0
GB40440	203.0
GB44210	162.0
GB44196	203.0
GB51019	203.0
GB50482	203.0
GB42246	203.0
GB51481	203.0
GB52650	203.0
GB51734	203.0
GB51542,GB51542	203.0
GB53064	203.0
GB54031	203.0
GB47459	203.0
GB40678	183.0129637
GB53787	203.0
GB50807	203.0
GB43718	203.0
GB46618	203.0
GB47808	203.0
GB42921	203.0
GB54939	203.0
GB49511	203.0
GB54998	203.0
GB51512	203.0
GB41803	203.0
GB45348	203.0
GB54477	203.0
GB44193	183.0129637
GB55911	203.0
GB54230	203.0
GB45612	203.0
GB51113,GB51113	203.0
GB45982	203.0
GB45114	203.0
GB42016	203.0
GB45373	203.0
GB46526,GB42007	203.0
GB55059	203.0
GB51692	203.0
GB52975	183.0129637
GB48556	203.0
GB40567	203.0
GB49517	203.0
GB55917	183.0129637
GB53133	203.0
GB44703	203.0
GB46925	203.0
GB42866	203.0
GB50406	203.0
GB44862,GB44862,GB44862	203.0
GB45530	203.0
GB48137	203.0
GB41888	203.0
GB50508,GB48687,GB50508	203.0
GB41052	203.0
GB41454	203.0
GB44305	203.0
GB49977	203.0
GB43158	203.0
GB47113	203.0
GB52280	203.0
GB42740	203.0
GB43077	183.0129637
GB52321	203.0
GB42496	203.0
GB50749	203.0
GB42804	203.0
GB40206	203.0
GB51041	203.0
GB42244	203.0
GB43978	203.0
GB41149,GB41149	203.0
GB53611	203.0
GB47568,GB42394	203.0
GB55457	183.0129637
GB49541	203.0
GB52192	162.0
GB52993	203.0
GB50593,GB50593,GB50593	203.0
GB45135,GB45135	203.0
GB43080	203.0
GB55764	183.0129637
GB48403,GB47348	203.0
GB53205	203.0
GB45259	183.0129637
GB47476	203.0
GB40134,GB40132,GB40132	203.0
GB41983	183.0129637
GB46045	203.0
GB55425	203.0
GB44523	183.0129637
GB54852	203.0
GB50286	203.0
GB43446	203.0
GB45472	203.0
GB52426	203.0
GB55495	203.0
GB41746	203.0
GB53145,GB53145	203.0
GB47422	203.0
GB44252	203.0
GB43743	203.0
GB48932	203.0
GB49730	203.0
GB43140	203.0
GB40350	203.0
GB49373	203.0
GB53821	203.0
GB52346	203.0
GB52417	203.0
GB51246	203.0
GB42762	203.0
GB43369	203.0
GB41681	203.0
GB45512	203.0
GB46478	203.0
GB52779	203.0
GB52708	203.0
GB43497	203.0
GB50219	203.0
GB42875	203.0
GB46689	203.0
GB55022	203.0
GB55574	203.0
GB41449	203.0
GB52907	203.0
GB42062	203.0
GB49045	203.0
GB50974	203.0
GB41893	203.0
GB51381	203.0
GB44759	203.0
GB53140,GB53140	203.0
GB45064	203.0
GB50295	203.0
GB46613	203.0
GB40880	203.0
GB47351	203.0
GB55822	203.0
GB43137	203.0
GB49933	203.0
GB44021	203.0
GB50113	203.0
GB55142	203.0
GB42455,GB42455	203.0
GB52189	203.0
GB55995	203.0
GB51985	203.0
GB47271	203.0
GB52661	203.0
GB51515	203.0
GB41177	203.0
GB52436	203.0
GB49644	203.0
GB44198	203.0
GB55904	203.0
GB50700	203.0
GB52435	203.0
GB51502,GB43039	203.0
GB55540	203.0
GB54805	203.0
GB44359	203.0
GB43203	203.0
GB43480	203.0
GB53388	203.0
GB50400	203.0
GB53670	203.0
GB42979,GB42979	203.0
GB43238	203.0
GB51792	203.0
GB53725	203.0
GB44532	203.0
GB47368	203.0
GB54534	203.0
GB43662	183.0129637
GB51399	203.0
GB42423	203.0
GB43935	203.0
GB41909	203.0
GB41596	203.0
GB47449	203.0
GB46490	203.0
GB53852	203.0
GB51895	203.0
GB55461	203.0
GB44416	203.0
GB47572	203.0
GB53970	203.0
GB47812	203.0
GB41714	203.0
GB54798	203.0
GB41747	183.0129637
GB47036,GB47036	203.0
GB52079	203.0
GB47807	203.0
GB50184	203.0
GB45724	203.0
GB41366	183.0129637
GB52563	203.0
GB44884	203.0
