orthogroup	WGA
0at7399	0.72
1at7399	0.65
2at7399	0.71
5at7399	0.84
7at7399	0.64
13at7399	0.77
14at7399	0.81
15at7399	0.71
17at7399	0.63
18at7399	0.83
28at7399	0.92
31at7399	0.79
32at7399	0.96
35at7399	0.95
49at7399	0.94
54at7399	0.85
57at7399	0.8
60at7399	0.88
61at7399	0.85
67at7399	0.56
78at7399	0.67
82at7399	0.85
84at7399	0.8
85at7399	0.66
86at7399	0.63
88at7399	0.52
90at7399	0.81
92at7399	0.93
102at7399	0.58
103at7399	0.83
104at7399	0.93
105at7399	0.61
108at7399	0.92
110at7399	0.82
112at7399	0.51
116at7399	0.62
117at7399	0.5
118at7399	0.65
120at7399	0.43
123at7399	0.9
128at7399	0.91
131at7399	0.87
133at7399	0.95
138at7399	0.675
143at7399	0.72
148at7399	0.88
150at7399	0.94
152at7399	0.92
156at7399	0.686666667
159at7399	0.63
160at7399	0.45
166at7399	0.9
167at7399	0.82
170at7399	0.93
171at7399	0.88
175at7399	0.96
178at7399	0.86
188at7399	0.81
190at7399	0.83
191at7399	0.86
193at7399	0.89
198at7399	0.86
200at7399	0.52
205at7399	0.65
216at7399	0.89
218at7399	0.73
219at7399	0.79
221at7399	0.79
222at7399	0.97
223at7399	0.73
226at7399	0.9
227at7399	0.74
232at7399	0.74
233at7399	0.93
239at7399	0.99
241at7399	0.7
244at7399	0.85
246at7399	0.84
249at7399	0.61
251at7399	0.61
259at7399	0.72
260at7399	0.69
261at7399	0.95
264at7399	0.62
265at7399	0.78
266at7399	0.64
267at7399	0.67
268at7399	0.51
274at7399	0.86
279at7399	0.97
281at7399	0.81
282at7399	0.86
285at7399	0.84
290at7399	0.76
292at7399	0.97
297at7399	0.99
301at7399	0.725
302at7399	0.98
306at7399	0.82
308at7399	0.82
310at7399	0.87
311at7399	0.55
317at7399	0.63
319at7399	0.47
321at7399	0.84
324at7399	0.8
335at7399	0.9
341at7399	0.72
342at7399	0.85
343at7399	0.92
346at7399	0.81
349at7399	0.62
352at7399	0.67
359at7399	0.79
371at7399	0.53
376at7399	0.7
378at7399	0.92
381at7399	0.9
382at7399	0.83
386at7399	0.83
388at7399	0.95
392at7399	0.78
393at7399	0.92
394at7399	0.83
395at7399	0.71
400at7399	0.64
401at7399	0.71
402at7399	0.94
404at7399	0.99
412at7399	0.94
413at7399	0.95
415at7399	0.94
416at7399	0.86
417at7399	0.98
418at7399	0.86
420at7399	0.74
422at7399	0.42
425at7399	0.8
426at7399	0.89
430at7399	0.53
434at7399	0.91
435at7399	0.8
436at7399	0.41
437at7399	0.7
438at7399	0.45
439at7399	0.9
440at7399	0.78
446at7399	0.89
453at7399	0.95
455at7399	0.82
457at7399	0.81
459at7399	0.69
461at7399	0.28
462at7399	0.43
466at7399	0.51
468at7399	0.92
470at7399	0.92
476at7399	0.91
477at7399	0.68
480at7399	0.59
482at7399	0.82
486at7399	0.68
493at7399	0.865
497at7399	0.88
501at7399	0.6
502at7399	0.96
504at7399	0.61
511at7399	0.94
523at7399	0.56
527at7399	0.61
531at7399	0.95
534at7399	0.83
539at7399	0.69
541at7399	0.68
550at7399	0.93
551at7399	0.48
552at7399	0.48
556at7399	0.44
558at7399	0.59
560at7399	0.54
567at7399	0.47
569at7399	0.9
572at7399	0.85
577at7399	0.75
582at7399	0.78
589at7399	0.89
590at7399	0.93
598at7399	0.81
601at7399	0.94
603at7399	0.69
605at7399	0.92
607at7399	0.88
608at7399	0.79
