gene	UNI
GB44089	1.0
GB40008	1.0
GB55781	1.0
GB47976	1.0
GB47946	1.0
GB46705	1.0
GB51956	1.0
GB47470	1.0
GB55650	0.975609756
GB52098	0.951219512
GB52252	1.0
GB47452	1.0
GB44587	1.0
GB54468,GB49507	1.0
GB41196	1.0
GB40498	1.0
GB50114	1.0
GB43870	0.951219512
GB49951	1.0
GB54130	1.0
GB47938	1.0
GB50548	0.9024390240000001
GB49929	1.0
GB52848	0.975609756
GB51673	0.87804878
GB44262	1.0
GB46325	1.0
GB51545	0.975609756
GB51405	1.0
GB53320	0.975609756
GB43214	0.56097561
GB46253,GB46253	0.87804878
GB51191	1.0
GB54884	0.951219512
GB42359	0.731707317
GB55490	1.0
GB41989	1.0
GB41850	0.975609756
GB42374	0.975609756
GB49432	1.0
GB51773,GB46836	1.0
GB45073	0.87804878
GB51344	0.975609756
GB53315	0.975609756
GB49187	0.975609756
GB53554,GB53558,GB53558	0.951219512
GB47009	1.0
GB41468	1.0
GB42489	1.0
GB48853	0.9024390240000001
GB43459	0.87804878
GB51104	1.0
GB47628	1.0
GB41847	1.0
GB55143,GB41007	0.487804878
GB41119	1.0
GB52997	1.0
GB44685	0.9024390240000001
GB53104	1.0
GB53929	0.7560975609999999
GB42976,GB42975,GB42976	1.0
GB45260	0.87804878
GB40993	0.5121951220000001
GB49601	0.975609756
GB40010	0.219512195
GB42022	0.975609756
GB55375	0.9024390240000001
GB51276	1.0
GB44485	1.0
GB49872	1.0
GB41852	1.0
GB47688	1.0
GB46321	1.0
GB46736	1.0
GB44218	0.951219512
GB48972	1.0
GB46795	1.0
GB43611	1.0
GB41634	1.0
GB44213,GB52278	1.0
GB52613	1.0
GB48355	0.975609756
GB55591	1.0
GB49149	1.0
GB45823	1.0
GB44905	1.0
GB48693	1.0
GB52985	0.975609756
GB45281	1.0
GB51998	1.0
GB42495	1.0
GB40993,GB53008	0.975609756
GB49106	1.0
GB41745	1.0
GB51619,GB51619	1.0
GB44183	0.975609756
GB46140	1.0
GB54507	1.0
GB48515	0.804878049
GB49336	1.0
GB40140	1.0
GB52306	1.0
GB55538	1.0
GB45717	1.0
GB54912	1.0
GB53340	1.0
GB47581	1.0
GB49767	0.975609756
GB43771	1.0
GB52213,GB52213	0.853658537
GB42035	1.0
GB52621	1.0
GB53959	0.975609756
GB54235	0.9024390240000001
GB42508	1.0
GB50923	1.0
GB55808	1.0
GB54777	1.0
GB41645	1.0
GB50498	1.0
GB47190	1.0
GB47879,GB47879	1.0
GB53909	1.0
GB50853	1.0
GB44673	1.0
GB40808	1.0
GB46270	1.0
GB46614	1.0
GB48825	1.0
GB54320	0.9024390240000001
GB52574	1.0
GB49346	1.0
GB55020	1.0
GB48577	0.87804878
GB51360	1.0
GB47099	1.0
GB53517	0.804878049
GB52555,GB52555	1.0
GB51962	1.0
GB52590	0.731707317
GB45821	1.0
GB49491	0.975609756
GB54568	1.0
GB53412	1.0
GB50827	0.951219512
GB41884	1.0
GB53701	0.975609756
GB49172	1.0
GB50535	1.0
GB50852	1.0
GB42427	0.682926829
GB52238	1.0
GB43860	0.9024390240000001
GB40251,GB40251	1.0
GB50378,GB50388	0.951219512
GB41287	1.0
GB51337	1.0
GB44959	0.975609756
GB40346	1.0
GB54530	1.0
GB53305	1.0
GB52001	1.0
GB53778	1.0
GB43173	1.0
GB54538	1.0
GB41332	0.634146341
GB55583,GB51769	1.0
GB45774	1.0
GB55888	0.951219512
GB43304	1.0
GB49171	1.0
GB55237,GB55237	1.0
GB45972	0.43902439
GB48795	1.0
GB53341	0.975609756
GB46564	1.0
GB41215	1.0
GB50690	1.0
GB51589	1.0
GB49767,GB55648,GB54069	1.0
GB41639	1.0
GB52168	0.87804878
GB48234	0.951219512
GB53269	1.0
GB48192	0.9024390240000001
GB50969	1.0
GB44595	0.975609756
GB47098	1.0
GB51653	1.0
GB42014	1.0
GB42031	1.0
GB45101	1.0
GB42728	1.0
GB43462	1.0
GB48789	1.0
GB54177	0.951219512
GB55480,GB51897	1.0
GB50357	1.0
GB44341	1.0
GB47308	1.0
GB47829	1.0
GB46332	1.0
GB52472	1.0
GB49428	1.0
GB44092,GB47528	1.0
GB51255	1.0
GB48203	1.0
GB51036	1.0
GB43631	1.0
GB48994	1.0
GB51207	0.975609756
GB40689	0.87804878
GB52537	1.0
GB47680	1.0
GB40703	1.0
GB47118	0.975609756
GB53149	0.975609756
GB51596	1.0
GB44899	1.0
GB51660	0.975609756
GB43796	0.975609756
GB48204,GB48204	1.0
GB42984	1.0
GB46126	0.804878049
GB52536	1.0
GB52759	1.0
GB40452	1.0
GB48305	1.0
GB54288	1.0
GB40440	1.0
GB44210	0.39024390200000003
GB44196	0.926829268
GB51019	1.0
GB50482	1.0
GB42246	1.0
GB51481	1.0
GB52650	0.926829268
GB51734	1.0
GB51542,GB51542	1.0
GB53064	1.0
GB54031	1.0
GB47459	1.0
GB40678	0.9024390240000001
GB53787	1.0
GB50807	0.926829268
GB43718	0.975609756
GB46618	1.0
GB47808	1.0
GB42921	1.0
GB54939	1.0
GB49511	1.0
GB54998	1.0
GB51512	0.585365854
GB41803	1.0
GB45348	1.0
GB54477	1.0
GB44193	0.9024390240000001
GB55911	0.975609756
GB54230	0.926829268
GB45612	1.0
GB51113,GB51113	1.0
GB45982	1.0
GB45114	1.0
GB42016	1.0
GB45373	1.0
GB46526,GB42007	0.853658537
GB55059	1.0
GB51692	1.0
GB52975	0.9024390240000001
GB48556	1.0
GB40567	1.0
GB49517	1.0
GB55917	0.87804878
GB53133	1.0
GB44703	0.975609756
GB46925	1.0
GB42866	1.0
GB50406	0.975609756
GB44862,GB44862,GB44862	0.951219512
GB45530	1.0
GB48137	1.0
GB41888	0.975609756
GB50508,GB48687,GB50508	0.853658537
GB41052	0.682926829
GB41454	1.0
GB44305	0.975609756
GB49977	1.0
GB43158	1.0
GB47113	1.0
GB52280	1.0
GB42740	1.0
GB43077	0.87804878
GB52321	0.975609756
GB42496	1.0
GB50749	0.975609756
GB42804	1.0
GB40206	1.0
GB51041	1.0
GB42244	1.0
GB43978	1.0
GB41149,GB41149	0.9024390240000001
GB53611	1.0
GB47568,GB42394	0.951219512
GB55457	0.87804878
GB49541	0.975609756
GB52192	0.341463415
GB52993	1.0
GB50593,GB50593,GB50593	1.0
GB45135,GB45135	1.0
GB43080	1.0
GB55764	0.87804878
GB48403,GB47348	0.9024390240000001
GB53205	1.0
GB45259	0.9024390240000001
GB47476	1.0
GB40134,GB40132,GB40132	0.975609756
GB41983	0.9024390240000001
GB46045	0.975609756
GB55425	1.0
GB44523	0.87804878
GB54852	1.0
GB50286	0.975609756
GB43446	1.0
GB45472	1.0
GB52426	1.0
GB55495	1.0
GB41746	1.0
GB53145,GB53145	1.0
GB47422	1.0
GB44252	1.0
GB43743	1.0
GB48932	1.0
GB49730	1.0
GB43140	1.0
GB40350	1.0
GB49373	1.0
GB53821	1.0
GB52346	1.0
GB52417	1.0
GB51246	1.0
GB42762	0.951219512
GB43369	1.0
GB41681	1.0
GB45512	0.975609756
GB46478	1.0
GB52779	1.0
GB52708	1.0
GB43497	1.0
GB50219	1.0
GB42875	1.0
GB46689	1.0
GB55022	1.0
GB55574	1.0
GB41449	0.975609756
GB52907	0.975609756
GB42062	1.0
GB49045	0.975609756
GB50974	1.0
GB41893	0.926829268
GB51381	0.87804878
GB44759	0.975609756
GB53140,GB53140	1.0
GB45064	0.926829268
GB50295	0.39024390200000003
GB46613	1.0
GB40880	1.0
GB47351	1.0
GB55822	1.0
GB43137	1.0
GB49933	1.0
GB44021	1.0
GB50113	1.0
GB55142	1.0
GB42455,GB42455	1.0
GB52189	1.0
GB55995	1.0
GB51985	0.975609756
GB47271	1.0
GB52661	0.975609756
GB51515	1.0
GB41177	1.0
GB52436	0.975609756
GB49644	1.0
GB44198	0.926829268
GB55904	0.975609756
GB50700	0.975609756
GB52435	0.975609756
GB51502,GB43039	1.0
GB55540	1.0
GB54805	1.0
GB44359	1.0
GB43203	1.0
GB43480	1.0
GB53388	1.0
GB50400	0.975609756
GB53670	1.0
GB42979,GB42979	0.975609756
GB43238	1.0
GB51792	1.0
GB53725	1.0
GB44532	1.0
GB47368	1.0
GB54534	0.975609756
GB43662	0.7560975609999999
GB51399	1.0
GB42423	0.853658537
GB43935	0.975609756
GB41909	1.0
GB41596	1.0
GB47449	0.975609756
GB46490	0.975609756
GB53852	1.0
GB51895	1.0
GB55461	1.0
GB44416	1.0
GB47572	1.0
GB53970	0.9024390240000001
GB47812	1.0
GB41714	0.975609756
GB54798	1.0
GB41747	0.87804878
GB47036,GB47036	1.0
GB52079	1.0
GB47807	0.975609756
GB50184	1.0
GB45724	1.0
GB41366	0.87804878
GB52563	1.0
GB44884	1.0
GB55787	1.0
GB54287	0.975609756
GB47179	1.0
GB53012	1.0
GB45937	1.0
GB53979	1.0
GB42616	0.5121951220000001
GB40361	1.0
GB54910	1.0
GB51965	1.0
GB43839,GB43839	1.0
GB42646	0.975609756
GB54668,GB54668	1.0
GB45417	1.0
GB49111	1.0
GB43404,GB50225	1.0
GB41839	1.0
GB46242	1.0
GB49544	0.7560975609999999
GB48113,GB48114	0.975609756
GB43456	0.951219512
GB52266	1.0
GB42751	1.0
GB53937	1.0
GB43216	0.804878049
GB42739	0.975609756
GB48775	1.0
GB54158	1.0
GB49859	0.9024390240000001
GB55426	0.975609756
GB52947	1.0
GB45755	0.975609756
GB42735	1.0
GB47242	1.0
GB46599	1.0
GB50195	0.975609756
GB48625	0.951219512
GB52109	1.0
GB50635	1.0
GB49931	1.0
GB50660	1.0
GB48483	1.0
GB55378	0.9024390240000001
GB49995	1.0
GB48523	1.0
GB42670	1.0
GB48639	0.975609756
GB40204	1.0
GB44808	1.0
GB54551,GB54502	1.0
GB42058	1.0
GB45905	1.0
GB44117	1.0
GB45881	1.0
GB45690	0.975609756
GB52457	0.975609756
GB48530	1.0
GB48399,GB42391	1.0
GB49197,GB49197	1.0
GB50345	1.0
GB43730	1.0
GB44650	0.975609756
GB47231	0.975609756
GB52589	0.8292682929999999
GB44754	1.0
GB53284	0.975609756
GB53353	0.9024390240000001
GB49388	1.0
GB49096	0.975609756
GB55658	1.0
GB40859	1.0
GB52541	0.975609756
GB55641,GB45533	1.0
GB40033	1.0
GB50395	1.0
GB42066	1.0
GB49844	1.0
GB41174	1.0
GB55751	1.0
GB47683	1.0
GB40280	0.975609756
GB40878	0.975609756
GB55002	0.9024390240000001
GB51706	1.0
GB49921	1.0
GB44594	1.0
GB50204	1.0
GB54425	1.0
GB44933	0.975609756
GB54593	1.0
GB41507	1.0
GB51273	1.0
GB51852	0.975609756
GB43909	1.0
GB45970	0.585365854
GB42683,GB52566	0.975609756
GB51775	0.9024390240000001
GB44330	0.8292682929999999
GB45277	0.9024390240000001
GB47414	1.0
GB48117	0.975609756
GB55225	0.975609756
GB54995	1.0
GB54893	1.0
GB41919,GB41921	0.853658537
GB40581,GB40581	1.0
GB51219	1.0
GB45442	0.7560975609999999
GB44429	1.0
GB47138	1.0
GB51133	1.0
GB42967	0.926829268
GB50959	1.0
GB51544	1.0
GB40603	0.975609756
GB51511,GB51511	1.0
GB48426	1.0
GB48396	1.0
GB46691	1.0
GB42220	0.975609756
GB54700	1.0
GB53083	1.0
GB51953	0.975609756
GB49406	1.0
GB53690	1.0
GB44912	1.0
GB51612	1.0
GB50141	1.0
GB53073	0.926829268
GB41723	0.26829268300000003
GB52328	1.0
GB55820	0.975609756
GB46016	1.0
GB43407	0.975609756
GB43945	1.0
GB52916	1.0
GB45968	1.0
GB48247	1.0
GB41900	1.0
GB43074	1.0
GB45623	1.0
GB54273	1.0
GB47961,GB41597	0.926829268
GB47437	1.0
GB51134	1.0
GB49642	1.0
GB42756	1.0
GB53963,GB50291	1.0
GB44414	1.0
GB53825	1.0
GB55715	1.0
GB54378	1.0
GB43239	0.975609756
GB55775	0.975609756
GB45212	1.0
GB54348	1.0
GB53306	0.853658537
GB55146	1.0
GB49438,GB49438	1.0
GB55826	0.951219512
GB44890	1.0
GB45762	1.0
GB54649	1.0
GB51748	1.0
GB53231	1.0
GB54780	0.975609756
GB54127	1.0
GB54921,GB54921	0.975609756
GB43465,GB41957	0.9024390240000001
GB55770	1.0
GB48158	1.0
GB48463	0.707317073
GB51696	0.9024390240000001
GB46731	1.0
GB45370	1.0
GB52304	1.0
GB46018	1.0
GB54119	1.0
GB43470	1.0
GB53865,GB53865,GB53865	0.975609756
GB53651	1.0
GB50246	1.0
GB45564	0.926829268
GB40657	1.0
GB47280	0.975609756
GB54269	1.0
GB48229	0.975609756
GB55578	0.975609756
GB44174	1.0
GB54885	1.0
GB42076	0.341463415
GB49290	0.926829268
GB40316	0.975609756
GB42925	0.975609756
GB45967	1.0
GB51702	1.0
GB43817	0.853658537
GB50133	1.0
GB52224	0.43902439
GB48347	1.0
GB55567	1.0
GB55579	1.0
GB55239	0.975609756
GB40803	1.0
GB45646	0.9024390240000001
GB40893	1.0
GB53657	1.0
GB48923	1.0
GB42731	0.7560975609999999
GB44648,GB44647	1.0
GB51120	1.0
GB45214	1.0
GB44881	1.0
GB45084	0.9024390240000001
GB55244	1.0
GB54035	0.975609756
GB54213	0.975609756
GB50359	1.0
GB53606	1.0
GB50369	1.0
GB54664	1.0
GB44000	0.975609756
GB42977	1.0
GB41345	1.0
GB49680	0.951219512
GB51693	1.0
GB49480,GB49480	1.0
GB46693	1.0
GB50538	0.5121951220000001
GB53122,GB53118,GB49568	1.0
GB43908	1.0
GB52086	0.39024390200000003
GB54143,GB54143	1.0
GB41883	1.0
GB40420	1.0
GB51500	1.0
GB42401	1.0
GB54313	1.0
GB50605,GB50606	0.39024390200000003
GB46982	0.951219512
GB52165	1.0
GB45001	1.0
GB49755	1.0
GB55272	1.0
GB49184	0.9024390240000001
GB42138	0.975609756
GB40823	0.926829268
GB51130	0.975609756
GB40014	1.0
GB55164	1.0
GB53384	0.975609756
GB50997	1.0
GB44247	1.0
GB42619	0.585365854
GB48949	1.0
GB52249	1.0
GB42505	0.731707317
GB50224,GB50224	0.975609756
GB41423	1.0
GB55746	0.9024390240000001
GB42054,GB42054	1.0
GB54206	0.9024390240000001
GB51242	0.87804878
GB47208	0.853658537
GB44906	1.0
GB55913	1.0
GB42200	1.0
GB45958	0.8292682929999999
GB42763	0.9024390240000001
GB52567	1.0
GB50958	1.0
GB54198	1.0
GB40400	1.0
GB47428	1.0
GB53243	1.0
GB42773	1.0
GB40627	1.0
GB53396	1.0
GB48097	0.951219512
GB50415	1.0
GB55790	1.0
GB40310	0.951219512
GB46457	1.0
GB53089	1.0
GB51159	0.87804878
GB51348,GB51348	0.926829268
GB40017	1.0
GB55847	1.0
GB42844	1.0
GB55411	0.975609756
GB45479	1.0
GB53791,GB53791	1.0
GB43463	0.926829268
GB43093	0.87804878
GB48074	0.975609756
GB44885	0.975609756
GB53173	1.0
GB50743	1.0
GB44321	0.975609756
GB54053	1.0
GB55573	0.87804878
GB54216	1.0
GB45284	1.0
GB46739	1.0
GB48474	1.0
GB54225,GB54226,GB54226	1.0
GB41855	0.975609756
GB43881	1.0
GB52989	1.0
GB45873	1.0
GB44537	0.951219512
GB44067	0.975609756
GB49223	1.0
GB54389	1.0
GB46212	0.926829268
GB54625	1.0
GB43567	0.9024390240000001
GB41424	1.0
GB55188	0.975609756
GB43685	1.0
GB51717	1.0
GB43556	1.0
GB44027	0.39024390200000003
GB44433	1.0
GB41122	1.0
GB49320	1.0
GB52106	1.0
GB49325	1.0
GB54582	0.7560975609999999
GB53740	0.463414634
GB46800	0.951219512
GB42325	0.975609756
GB41608	1.0
GB54751	0.951219512
GB54600	1.0
GB55618	1.0
GB44155	0.853658537
GB42352	1.0
GB43314	0.951219512
GB45156	1.0
GB52673	0.975609756
GB48261	0.975609756
GB49391	0.951219512
GB40676	1.0
GB41450	1.0
GB54592	0.975609756
GB50669	0.780487805
GB47894	0.975609756
GB45292	0.975609756
GB41601	0.9024390240000001
GB41680	0.975609756
GB54176	1.0
GB48946	1.0
GB50419	1.0
GB52618	1.0
GB49800	0.951219512
GB51641	0.926829268
GB49419	0.975609756
GB48263	0.9024390240000001
GB43163	1.0
GB51189	1.0
GB42201	1.0
GB41592	0.87804878
GB40774	1.0
GB51745	0.975609756
GB45388,GB51874	1.0
GB44709	0.9024390240000001
GB44535	1.0
GB41356	0.585365854
GB55793,GB55793	1.0
GB40100	1.0
GB52453	1.0
GB42853	0.975609756
GB43276	0.975609756
GB50789	1.0
GB45360	1.0
GB53011	1.0
GB55854	1.0
GB41278,GB49900	0.951219512
GB50283,GB50283	0.5121951220000001
GB51210	1.0
GB45355	0.975609756
GB49126	1.0
GB45138	1.0
GB42847,GB48093	1.0
