pub_og_id	AAL	ACN	AEN	AGE	CAF	CON	EXP	CNV	STA	PDN	SEL	PDS	DUP	EVR	LCA	SYN	UNI
MZ22500000	6557.35	1.0526315789473684	13.7	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	NA	NA	NA	0.05263157894736842	0.9177	7	0.0	1.0
MZ22500003	10499.5	1.0	17.27777777777778	43.0	0.7865	1.0	0.0	0.0	35.0	0.25904	0.03143	8.24214	0.0	0.8816	7	0.0	0.9473684210526315
MZ22500004	3779.7	1.1111111111111112	19.0	43.0	0.585	1.0	2.0	0.282842712474619	33.0	1.45388	0.06414	22.66581	0.1111111111111111	0.9713	7	0.0	0.9473684210526315
MZ22500007	5474.75	1.0526315789473684	6.6	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	0.8538	0.09996	8.5411	0.05263157894736842	1.0508	7	0.0	1.0
MZ22500009	3769.7391304347825	1.2105263157894737	11.173913043478262	43.0	0.497	0.0	4.0	0.33678116053977536	32.0	0.5241	0.06151	8.5207	0.21052631578947367	0.9475	7	0.0	1.0
MZ22500010	3922.3333333333335	1.105263157894737	7.9523809523809526	43.0	0.65	0.0	1.0	0.4040610178208842	35.0	0.05364	0.00917	5.85118	0.05263157894736842	0.8264	7	0.06140350877192982	1.0
MZ22500012	4166.565217391304	1.2105263157894737	15.217391304347826	43.0	0.592	0.0	3.0	0.43041282333094194	33.0	0.3153	0.02983	10.5705	0.15789473684210525	0.9512	7	0.0	1.0
MZ22500013	2409.8571428571427	1.8421052631578947	13.657142857142857	43.0	0.439	4.0	1.0	0.26496052844273443	31.0	1.0842	0.06365	17.03481	0.7894736842105263	0.9622	7	0.038011695906432746	1.0
MZ22500017	4033.095238095238	1.105263157894737	12.238095238095237	43.0	0.892	0.0	2.0	0.2776643759450143	34.0	0.1663	0.01863	8.9275	0.10526315789473684	0.8587	7	0.0	1.0
MZ22500019	6743.55	1.1111111111111112	19.75	43.0	0.343	1.0	2.0	0.282842712474619	33.0	0.10276	0.0201	5.11348	0.1111111111111111	0.9274	7	0.0	0.9473684210526315
MZ22500020	4577.0	1.0526315789473684	25.45	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	0.0655	0.01271	5.15273	0.05263157894736842	0.8333	7	0.0	1.0
MZ22500022	5840.684210526316	1.0	13.368421052631579	43.0	0.9565	0.0	0.0	0.0	36.0	0.10577	0.01976	5.35216	0.0	0.8397	7	0.0	1.0
MZ22500024	4028.5	1.263157894736842	6.541666666666667	43.0	0.286	0.0	3.0	0.5034602488997739	33.0	0.8941	0.03193	28.0042	0.15789473684210525	0.9763	7	0.0	1.0
MZ22500025	4889.263157894737	1.0	12.210526315789474	43.0	0.9565	0.0	0.0	0.0	36.0	0.32313	0.0439	7.36095	0.0	0.9459	7	0.0	1.0
MZ22500026	3748.4736842105262	1.0	7.2631578947368425	43.0	0.9565	0.0	0.0	0.0	36.0	0.28344	0.03781	7.49737	0.0	0.9313	7	0.0	1.0
MZ22500028	3343.409090909091	1.1578947368421053	40.81818181818182	43.0	0.595	0.0	3.0	0.31491832864888675	33.0	0.2622	0.03736	7.019	0.15789473684210525	0.904	7	0.0	1.0
MZ22500029	4032.36	1.3157894736842106	15.0	43.0	0.063	0.0	5.0	0.4308131845707603	31.0	0.7457	0.10109	7.3763	0.2631578947368421	1.0909	7	0.0	1.0
MZ22500030	4547.0	1.0	6.947368421052632	43.0	0.9565	0.0	0.0	0.0	36.0	0.34289	0.03858	8.88837	0.0	0.9	7	0.13450292397660818	1.0
MZ22500032	4611.0	1.0	15.0	43.0	0.7975	1.0	0.0	0.0	35.0	0.03873	0.0115	3.36892	0.0	0.8186	7	0.0	0.9473684210526315
MZ22500033	3308.6470588235293	1.0625	13.941176470588236	43.0	0.0	3.0	1.0	0.22782254977690689	32.0	1.15416	0.04755	24.27038	0.0625	1.0452	7	0.0	0.8421052631578947
MZ22500036	5042.705882352941	1.0	10.294117647058824	43.0	0.0	2.0	0.0	0.0	34.0	0.56457	0.08926	6.32532	0.0	1.0207	7	0.0	0.8947368421052632
MZ22500038	4747.9473684210525	1.0	10.473684210526315	43.0	0.9565	0.0	0.0	0.0	36.0	0.39791	0.05696	6.98553	0.0	0.964	7	0.0	1.0
MZ22500040	3902.5	1.0526315789473684	21.3	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	0.05342	0.01107	4.82494	0.05263157894736842	0.8287	7	0.0	1.0
