gene	PHC
GB44089	0.4
GB40008	0.38
GB55781	0.51
GB47976	0.25
GB47946	0.33
GB46705	0.48
GB51956	0.44
GB47470	0.4
GB55650	0.59
GB52098	0.67
GB52252	0.48
GB47452	0.82
GB44587	0.7
GB54468,GB49507	0.575
GB41196	0.58
GB40498	0.6
GB50114	0.62
GB43870	0.21
GB49951	0.02
GB54130	0.67
GB47938	0.6
GB50548	0.35
GB49929	0.27
GB52848	0.19
GB51673	0.31
GB44262	0.72
GB46325	0.3
GB51545	0.48
GB51405	0.74
GB53320	0.27
GB43214	0.54
GB46253,GB46253	0.3
GB51191	0.2
GB54884	0.3
GB42359	0.12
GB55490	0.31
GB41989	0.12
GB41850	0.4
GB42374	0.57
GB49432	0.61
GB51773,GB46836	0.365
GB45073	0.49
GB51344	0.65
GB53315	0.39
GB49187	0.72
GB53554,GB53558,GB53558	0.433333333
GB47009	0.33
GB41468	0.14
GB42489	0.62
GB48853	0.34
GB43459	0.69
GB51104	0.54
GB47628	0.64
GB41847	0.58
GB55143,GB41007	0.435
GB41119	0.45
GB52997	0.51
GB44685	0.26
GB53104	0.32
GB53929	0.25
GB42976,GB42975,GB42976	0.34
GB45260	0.5
GB40993	0.42
GB49601	0.55
GB40010	0.32
GB42022	0.82
GB55375	0.37
GB51276	0.71
GB44485	0.42
GB49872	0.47
GB41852	0.45
GB47688	0.86
GB46321	0.36
GB46736	0.61
GB44218	0.45
GB48972	0.38
GB46795	0.27
GB43611	0.41
GB41634	0.68
GB44213,GB52278	0.27
GB52613	0.28
GB48355	0.31
GB55591	0.25
GB49149	0.29
GB45823	0.61
GB44905	0.78
GB48693	0.56
GB52985	0.61
GB45281	0.52
GB51998	0.84
GB42495	0.87
GB40993,GB53008	0.465
GB49106	0.86
GB41745	0.52
GB51619,GB51619	0.52
GB44183	0.78
GB46140	0.27
GB54507	0.18
GB48515	0.19
GB49336	0.63
GB40140	0.36
GB52306	0.69
GB55538	0.49
GB45717	0.64
GB54912	0.72
GB53340	0.53
GB47581	0.29
GB49767	0.39
GB43771	0.32
GB52213,GB52213	0.17
GB42035	0.39
GB52621	0.64
GB53959	0.63
GB54235	0.49
GB42508	0.58
GB50923	0.36
GB55808	0.62
GB54777	0.59
GB41645	0.48
GB50498	0.18
GB47190	0.4
GB47879,GB47879	0.7
GB53909	0.96
GB50853	0.74
GB44673	0.73
GB40808	0.43
GB46270	0.9
GB46614	0.52
GB48825	0.38
GB54320	0.17
GB52574	0.38
GB49346	0.59
GB55020	0.29
GB48577	0.47
GB51360	0.64
GB47099	0.16
GB53517	0.38
GB52555,GB52555	0.2
GB51962	0.67
GB52590	0.32
GB45821	0.64
GB49491	0.69
GB54568	0.48
GB53412	0.33
GB50827	0.23
GB41884	0.29
GB53701	0.22
GB49172	0.66
GB50535	0.67
GB50852	0.77
GB42427	0.12
GB52238	0.26
GB43860	0.37
GB40251,GB40251	0.27
GB50378,GB50388	0.475
GB41287	0.63
GB51337	0.4
GB44959	0.59
GB40346	0.18
GB54530	0.7
GB53305	0.32
GB52001	0.36
GB53778	0.69
GB43173	0.38
GB54538	0.36
GB41332	0.26
GB55583,GB51769	0.78
GB45774	0.19
GB55888	0.23
GB43304	0.14
GB49171	0.29
GB55237,GB55237	0.31
GB45972	0.19
GB48795	0.62
GB53341	0.39
GB46564	0.34
GB41215	0.59
GB50690	0.46
GB51589	0.76
GB49767,GB55648,GB54069	0.41
GB41639	0.62
GB52168	0.47
GB48234	0.25
GB53269	0.56
GB48192	0.53
GB50969	0.53
GB44595	0.58
GB47098	0.14
GB51653	0.35
GB42014	0.64
GB42031	0.54
GB45101	0.47
GB42728	0.37
GB43462	0.53
GB48789	0.74
GB54177	0.03
GB55480,GB51897	0.28
GB50357	0.61
GB44341	0.75
GB47308	0.66
GB47829	0.42
GB46332	0.37
GB52472	0.67
GB49428	0.54
GB44092,GB47528	0.555
GB51255	0.12
GB48203	0.23
GB51036	0.64
GB43631	0.33
GB48994	0.59
GB51207	0.71
GB40689	0.43
GB52537	0.66
GB47680	0.62
GB40703	0.38
GB47118	0.3
GB53149	0.25
GB51596	0.66
GB44899	0.61
GB51660	0.64
GB43796	0.24
GB48204,GB48204	0.67
GB42984	0.12
GB46126	0.52
GB52536	0.33
GB52759	0.48
GB40452	0.62
GB48305	0.75
GB54288	0.74
GB40440	0.5
GB44210	0.63
GB44196	0.4
GB51019	0.42
GB50482	0.17
GB42246	0.72
GB51481	0.39
GB52650	0.49
GB51734	0.41
