GB_gene_id	ACN	AGE	CAF	CNV	CON	DUP	EVR	EXP	LCA	PHC	STA	UNI	WGA
GB55483	1	203	0.702	0	0	0	0.8579	0	16	0.45	80	1	0.72
GB44089	1.073170732	203	0.921	0.242660869	0	0.073170732	1.0456	3	16	0.4	77	1	0.65
GB40008	1.073170732	203	0.916	0.242660869	0	0.073170732	0.9994	3	16	0.38	77	1	0.71
GB55781	1.12195122	203	0.782	0.291661041	0	0.12195122	1.0654	5	16	0.51	75	1	0.84
GB47976	1.195121951	203	0.985	0.460881216	0	0.146341463	0.8908	6	16	0.25	74	1	0.64
GB47946	1.341463415	203	0.858	0.560990859	2	0.219512195	1.4123	6	16	0.33	72	1	0.77
GB46705	1.024390244	203	0.942	0.15058465	0	0.024390244	1.0402	1	16	0.48	79	1	0.81
GB51956	1.048780488	203	0.915	0.205389788	0	0.048780488	0.9038	2	16	0.44	78	1	0.71
GB47470	1	203	0.702	0	0	0	0.8939	0	16	0.4	80	1	0.63
GB55650	1.1	203	0.86	0.272727273	1	0.1	0.7739	4	16	0.59	75	0.975609756	0.83
GB52098	1.102564103	203	0.84	0.275166502	2	0.102564103	0.8284	4	16	0.67	74	0.951219512	0.92
GB52252	1.024390244	203	0.929	0.15058465	0	0.024390244	0.9447	1	16	0.48	79	1	0.79
GB47452	1.024390244	203	0.955	0.15058465	0	0.024390244	0.7513	1	16	0.82	79	1	0.96
GB42145	1	203	0.489	0	5	0	0.8877	0	16	0.7	75	0.853658537	0.95
GB44587	1	203	0.702	0	0	0	1.0092	0	16	0.7	80	1	0.94
GB54468,GB49507	1.87804878	203	0.668	0.174239063	5	0.87804878	0.8626	0	16	0.575	75	1	0.85
GB41196	1.219512195	203	0.668	0.339411255	0	0.219512195	1.1759	8	16	0.58	72	1	0.8
GB40498	1	203	0.702	0	0	0	0.8591	0	16	0.6	80	1	0.88
GB50114	1.048780488	203	0.921	0.205389788	0	0.048780488	0.7975	2	16	0.62	78	1	0.85
GB43870	1.153846154	203	0.991	0.461880215	2	0.102564103	1.1586	4	16	0.21	74	0.951219512	0.56
GB49951	1.048780488	203	0.927	0.205389788	0	0.048780488	0.9552	2	16	0.02	78	1	0.67
GB54130	1.024390244	203	0.944	0.15058465	0	0.024390244	0.8476	1	16	0.67	79	1	0.85
GB47938	1	203	0.702	0	0	0	0.7935	0	16	0.6	80	1	0.8
GB50548	1	203	0.621	0	4	0	0.9866	0	16	0.35	76	0.902439024	0.66
GB49929	1	203	0.702	0	0	0	0.9819	0	16	0.27	80	1	0.63
GB52848	1.025	203	0.938	0.152317024	1	0.025	1.7153	1	16	0.19	78	0.975609756	0.52
GB51673	1.083333333	203	0.758	0.255124984	3	0.083333333	0.9945	3	16	0.31	74	0.87804878	0.81
GB44262	1	203	0.702	0	0	0	0.8187	0	16	0.72	80	1	0.93
GB46325	1.048780488	203	0.912	0.205389788	0	0.048780488	0.8444	2	16	0.3	78	1	0.58
GB51545	1.05	203	0.928	0.207566616	1	0.05	0.9813	2	16	0.48	77	0.975609756	0.83
GB51405	1.024390244	203	0.942	0.15058465	0	0.024390244	0.8811	1	16	0.74	79	1	0.93
GB53320	1.075	203	0.992	0.321401743	1	0.05	1.0264	2	16	0.27	77	0.975609756	0.61
GB43214	1	203	0.708	0	4	0	0.9903	0	16	0.54	76	0.56097561	0.92
GB46253,GB46253	1.083333333	183.0129637	0.89	0.255124984	2	0.083333333	1.6674	3	16	0.3	75	0.87804878	0.82
GB51191	1.048780488	203	0.915	0.205389788	0	0.048780488	1.135	2	16	0.2	78	1	0.51
GB54884	1.025641026	203	0.938	0.15411035	2	0.025641026	1.256	1	16	0.3	77	0.951219512	0.62
GB42359	1.033333333	203	0.703	0.173714994	10	0.033333333	1.1026	1	16	0.12	69	0.731707317	0.5
GB55490	1.024390244	203	0.949	0.15058465	0	0.024390244	1.1945	1	16	0.31	79	1	0.65
GB41989	1.317073171	203	0.848	0.425523159	18	0.268292683	1.196	5	16	0.12	57	1	0.43
GB41850	1.075	203	0.888	0.245015204	1	0.075	1.3017	3	16	0.4	76	0.975609756	0.9
GB45049	1.897435897	203	0.931	0.199524636	7	0.871794872	0.9657	1	16	0.56	72	0.951219512	0.91
GB42374	1	203	0.66	0	1	0	0.7996	0	16	0.57	79	0.975609756	0.87
GB49432	1	203	0.702	0	0	0	1.1178	0	16	0.61	80	1	0.95
GB51773,GB46836	1.048780488	203	0.928	0.205389788	0	0.048780488	0.9415	2	16	0.365	78	1	0.675
GB45073	1.027777778	183.0129637	0.94	0.159894048	2	0.027777778	0.8573	1	16	0.49	77	0.87804878	0.72
GB51344	1	203	0.7	0	1	0	0.7765	0	16	0.65	79	0.975609756	0.88
GB53315	1.05	203	0.862	0.207566616	1	0.05	1.8225	2	16	0.39	77	0.975609756	0.94
GB49187	1	203	0.66	0	1	0	0.8616	0	16	0.72	79	0.975609756	0.92
GB53554,GB53558,GB53558	1.256410256	203	0.922	0.430994124	3	0.205128205	1.1212	8	16	0.433333333	69	0.951219512	0.686666667
GB47009	1.024390244	203	0.954	0.15058465	0	0.024390244	1.1005	1	16	0.33	79	1	0.63
