orthogroup	STA
0at7399	80
1at7399	77
2at7399	77
5at7399	75
7at7399	74
13at7399	72
14at7399	79
15at7399	78
17at7399	80
18at7399	75
28at7399	74
31at7399	79
32at7399	79
35at7399	75
49at7399	80
54at7399	75
57at7399	72
60at7399	80
61at7399	78
67at7399	74
78at7399	78
82at7399	79
84at7399	80
85at7399	76
86at7399	80
88at7399	78
90at7399	74
92at7399	80
102at7399	78
103at7399	77
104at7399	79
105at7399	77
108at7399	76
110at7399	75
112at7399	78
116at7399	77
117at7399	69
118at7399	79
120at7399	57
123at7399	76
128at7399	72
131at7399	79
133at7399	80
138at7399	78
143at7399	77
148at7399	79
150at7399	77
152at7399	79
156at7399	69
159at7399	79
160at7399	77
166at7399	76
167at7399	79
170at7399	77
171at7399	78
175at7399	79
178at7399	79
188at7399	75
190at7399	77
191at7399	79
193at7399	79
198at7399	79
200at7399	71
205at7399	78
216at7399	77
218at7399	68
219at7399	79
221at7399	69
222at7399	79
223at7399	78
226at7399	80
227at7399	76
232at7399	79
233at7399	78
239at7399	80
241at7399	80
244at7399	80
246at7399	75
249at7399	80
251at7399	80
259at7399	79
260at7399	79
261at7399	79
264at7399	78
265at7399	77
266at7399	77
267at7399	78
268at7399	78
274at7399	79
279at7399	80
281at7399	80
282at7399	79
285at7399	78
290at7399	80
292at7399	80
297at7399	79
301at7399	78
302at7399	80
306at7399	79
308at7399	73
310at7399	78
311at7399	80
317at7399	79
319at7399	69
321at7399	78
324at7399	79
335at7399	79
341at7399	80
342at7399	80
343at7399	77
346at7399	77
349at7399	67
352at7399	78
359at7399	78
371at7399	75
376at7399	80
378at7399	80
381at7399	78
382at7399	77
386at7399	78
388at7399	62
392at7399	78
393at7399	80
394at7399	77
395at7399	78
400at7399	80
401at7399	77
402at7399	79
404at7399	80
412at7399	80
413at7399	80
415at7399	79
416at7399	80
417at7399	80
418at7399	75
420at7399	79
422at7399	77
425at7399	79
426at7399	78
430at7399	80
434at7399	74
435at7399	80
436at7399	80
437at7399	78
438at7399	79
439at7399	78
440at7399	70
446at7399	78
453at7399	78
455at7399	80
457at7399	68
459at7399	71
461at7399	71
462at7399	80
466at7399	79
468at7399	79
470at7399	80
476at7399	79
477at7399	67
480at7399	76
482at7399	79
486at7399	78
493at7399	62
497at7399	79
501at7399	79
502at7399	79
504at7399	77
511at7399	79
523at7399	80
527at7399	76
531at7399	79
534at7399	79
539at7399	77
541at7399	79
550at7399	75
551at7399	79
552at7399	78
556at7399	78
558at7399	80
560at7399	78
567at7399	63
569at7399	80
572at7399	78
577at7399	76
582at7399	64
589at7399	76
590at7399	80
598at7399	78
601at7399	80
603at7399	73
605at7399	80
607at7399	75
608at7399	62
617at7399	80
625at7399	74
635at7399	80
651at7399	79
659at7399	76
660at7399	76
665at7399	80
670at7399	80
674at7399	80
675at7399	78
683at7399	78
684at7399	80
685at7399	76
690at7399	74
691at7399	79
699at7399	77
700at7399	80
702at7399	80
705at7399	78
708at7399	78
711at7399	79
720at7399	78
724at7399	71
725at7399	78
728at7399	79
734at7399	79
739at7399	80
740at7399	79
748at7399	70
749at7399	75
750at7399	80
751at7399	80
759at7399	78
760at7399	79
764at7399	78
765at7399	80
767at7399	80
773at7399	78
775at7399	77
778at7399	77
780at7399	79
782at7399	73
786at7399	79
787at7399	80
788at7399	80
793at7399	77
796at7399	80
804at7399	79
805at7399	66
816at7399	74
826at7399	79
828at7399	76
830at7399	80
832at7399	80
833at7399	79
840at7399	77
848at7399	79
850at7399	79
854at7399	77
855at7399	79
