gene	DUP
GB44089	0.073170732
GB40008	0.073170732
GB55781	0.12195122
GB47976	0.146341463
GB47946	0.219512195
GB46705	0.024390244
GB51956	0.048780488
GB47470	0.0
GB55650	0.1
GB52098	0.102564103
GB52252	0.024390244
GB47452	0.024390244
GB44587	0.0
GB54468,GB49507	0.87804878
GB41196	0.219512195
GB40498	0.0
GB50114	0.048780488
GB43870	0.102564103
GB49951	0.048780488
GB54130	0.024390244
GB47938	0.0
GB50548	0.0
GB49929	0.0
GB52848	0.025
GB51673	0.083333333
GB44262	0.0
GB46325	0.048780488
GB51545	0.05
GB51405	0.024390244
GB53320	0.05
GB43214	0.0
GB46253,GB46253	0.083333333
GB51191	0.048780488
GB54884	0.025641026
GB42359	0.033333333
GB55490	0.024390244
GB41989	0.26829268300000003
GB41850	0.075
GB42374	0.0
GB49432	0.0
GB51773,GB46836	0.048780488
GB45073	0.027777778
GB51344	0.0
GB53315	0.05
GB49187	0.0
GB53554,GB53558,GB53558	0.205128205
GB47009	0.024390244
GB41468	0.073170732
GB42489	0.097560976
GB48853	0.0
GB43459	0.027777778
GB51104	0.048780488
GB47628	0.024390244
GB41847	0.024390244
GB55143,GB41007	0.05
GB41119	0.073170732
GB52997	0.024390244
GB44685	0.0
GB53104	0.024390244
GB53929	0.032258065
GB42976,GB42975,GB42976	0.048780488
GB45260	0.027777778
GB40993	0.0
GB49601	0.0
GB40010	0.0
GB42022	0.0
GB55375	0.027027027000000002
GB51276	0.0
GB44485	0.097560976
GB49872	0.024390244
GB41852	0.048780488
GB47688	0.0
GB46321	0.0
GB46736	0.0
GB44218	0.076923077
GB48972	0.0
GB46795	0.0
GB43611	0.024390244
GB41634	0.024390244
GB44213,GB52278	0.048780488
GB52613	0.073170732
GB48355	0.05
GB55591	0.048780488
GB49149	0.048780488
GB45823	0.024390244
GB44905	0.0
GB48693	0.0
GB52985	0.0
GB45281	0.0
GB51998	0.0
GB42495	0.024390244
GB40993,GB53008	0.025
GB49106	0.0
GB41745	0.024390244
GB51619,GB51619	0.12195122
GB44183	0.025
GB46140	0.0
GB54507	0.024390244
GB48515	0.090909091
GB49336	0.048780488
GB40140	0.024390244
GB52306	0.024390244
GB55538	0.0
GB45717	0.0
GB54912	0.073170732
GB53340	0.073170732
GB47581	0.243902439
GB49767	0.025
GB43771	0.048780488
GB52213,GB52213	0.057142857000000005
GB42035	0.0
GB52621	0.0
GB53959	0.025
GB54235	0.054054054000000004
GB42508	0.048780488
GB50923	0.048780488
GB55808	0.0
GB54777	0.073170732
GB41645	0.048780488
GB50498	0.0
GB47190	0.073170732
GB47879,GB47879	0.024390244
GB53909	0.0
GB50853	0.0
GB44673	0.0
GB40808	0.024390244
GB46270	0.0
GB46614	0.146341463
GB48825	0.024390244
GB54320	0.054054054000000004
GB52574	0.024390244
GB49346	0.048780488
GB55020	0.0
GB48577	0.027777778
GB51360	0.0
GB47099	0.0
GB53517	0.0
GB52555,GB52555	0.024390244
GB51962	0.048780488
