gene	EVR
GB44089	1.0456
GB40008	0.9994
GB55781	1.0654
GB47976	0.8908
GB47946	1.4123
GB46705	1.0402
GB51956	0.9038
GB47470	0.8939
GB55650	0.7739
GB52098	0.8284
GB52252	0.9447
GB47452	0.7513
GB44587	1.0092
GB54468,GB49507	0.8626
GB41196	1.1759
GB40498	0.8591
GB50114	0.7975
GB43870	1.1586
GB49951	0.9552
GB54130	0.8476
GB47938	0.7935
GB50548	0.9866
GB49929	0.9819
GB52848	1.7153
GB51673	0.9945
GB44262	0.8187
GB46325	0.8444
GB51545	0.9813
GB51405	0.8811
GB53320	1.0264
GB43214	0.9903
GB46253,GB46253	1.6674
GB51191	1.135
GB54884	1.256
GB42359	1.1026
GB55490	1.1945
GB41989	1.196
GB41850	1.3017
GB42374	0.7996
GB49432	1.1178
GB51773,GB46836	0.9415
GB45073	0.8573
GB51344	0.7765
GB53315	1.8225
GB49187	0.8616
GB53554,GB53558,GB53558	1.1212
GB47009	1.1005
GB41468	0.8543
GB42489	0.8135
GB48853	0.8029
GB43459	1.0849
GB51104	0.831
GB47628	1.4291
GB41847	0.9505
GB55143,GB41007	0.9971
GB41119	0.9623
GB52997	1.0073
GB44685	1.2949
GB53104	1.2616
GB53929	1.0070000000000001
GB42976,GB42975,GB42976	0.8041
GB45260	1.1669
GB40993	0.9573
GB49601	0.937
GB40010	1.1544
GB42022	0.8549
GB55375	1.1703
GB51276	0.8628
GB44485	0.9520000000000001
GB49872	0.8909999999999999
GB41852	1.3905
GB47688	0.8597
GB46321	0.8958
GB46736	0.8071
GB44218	1.0383
GB48972	0.807
GB46795	1.0409
GB43611	0.8420000000000001
GB41634	0.9969
GB44213,GB52278	0.8863
GB52613	1.1875
GB48355	1.5342
GB55591	1.4222
GB49149	0.8044
GB45823	0.6977
GB44905	0.812
GB48693	0.8364
GB52985	0.9832
GB45281	0.8626
GB51998	1.1406
GB42495	0.8241
GB40993,GB53008	0.9434
GB49106	0.7432
