orthogroup	CON
MZ22500000	0
MZ22500003	1
MZ22500004	1
MZ22500007	0
MZ22500009	0
MZ22500010	0
MZ22500012	0
MZ22500013	4
MZ22500017	0
MZ22500019	1
MZ22500020	0
MZ22500022	0
MZ22500024	0
MZ22500025	0
MZ22500026	0
MZ22500028	0
MZ22500029	0
MZ22500030	0
MZ22500032	1
MZ22500033	3
MZ22500036	2
MZ22500038	0
MZ22500040	0
MZ22500041	1
MZ22500043	1
MZ22500045	0
MZ22500047	2
MZ22500048	3
MZ22500049	0
MZ22500052	0
MZ22500053	0
MZ22500054	3
MZ22500057	0
MZ22500058	0
MZ22500060	0
MZ22500062	1
MZ22500063	2
MZ22500064	0
MZ22500066	0
MZ22500067	0
MZ22500068	5
MZ22500070	1
MZ22500071	0
MZ22500073	0
MZ22500075	0
MZ22500078	0
MZ22500079	0
MZ22500080	0
MZ22500081	0
MZ22500084	0
MZ22500086	4
MZ22500088	0
MZ22500089	0
MZ22500093	1
MZ22500094	8
MZ22500095	0
MZ22500096	0
MZ22500097	0
MZ22500098	0
MZ22500100	0
MZ22500101	1
MZ22500102	0
MZ22500105	0
MZ22500106	6
MZ22500107	0
MZ22500111	2
MZ22500114	1
MZ22500115	0
MZ22500117	0
MZ22500118	0
MZ22500120	0
MZ22500123	0
MZ22500124	0
MZ22500126	0
MZ22500128	0
MZ22500132	1
MZ22500133	0
MZ22500134	0
MZ22500135	0
MZ22500137	4
MZ22500138	2
MZ22500139	0
MZ22500141	0
MZ22500142	0
MZ22500144	0
MZ22500147	0
MZ22500149	0
MZ22500152	4
MZ22500154	0
MZ22500155	5
MZ22500156	0
MZ22500158	0
MZ22500160	6
MZ22500162	1
MZ22500163	0
MZ22500164	0
MZ22500166	0
MZ22500169	0
MZ22500170	0
MZ22500171	1
MZ22500172	1
MZ22500173	0
MZ22500174	0
MZ22500176	0
MZ22500177	1
MZ22500179	1
MZ22500180	0
MZ22500181	0
MZ22500182	0
MZ22500183	0
MZ22500187	7
MZ22500188	1
MZ22500190	0
MZ22500194	0
MZ22500196	0
MZ22500197	1
MZ22500202	0
MZ22500204	0
MZ22500205	0
MZ22500208	0
MZ22500211	0
MZ22500214	5
MZ22500215	5
MZ22500216	0
MZ22500219	0
MZ22500225	2
MZ22500230	0
MZ22500233	0
MZ22500234	0
MZ22500235	0
MZ22500238	2
MZ22500239	0
MZ22500240	2
MZ22500243	0
MZ22500244	1
MZ22500246	0
MZ22500247	0
MZ22500251	0
MZ22500252	0
MZ22500257	0
MZ22500259	0
MZ22500265	0
MZ22500266	1
MZ22500267	0
MZ22500268	0
MZ22500275	0
MZ22500276	0
MZ22500277	0
MZ22500278	0
MZ22500280	0
MZ22500281	0
MZ22500285	0
MZ22500286	0
MZ22500287	0
MZ22500289	0
MZ22500292	0
MZ22500294	0
MZ22500298	2
MZ22500300	0
MZ22500301	5
MZ22500302	3
MZ22500303	0
MZ22500306	1
MZ22500307	2
MZ22500308	0
MZ22500310	2
MZ22500311	0
MZ22500312	0
MZ22500314	0
MZ22500316	0
MZ22500317	0
MZ22500318	0
MZ22500321	0
MZ22500323	0
MZ22500324	0
MZ22500325	0
MZ22500326	1
MZ22500327	0
MZ22500328	0
MZ22500332	0
MZ22500333	0
MZ22500334	0
MZ22500338	0
MZ22500339	0
MZ22500342	1
MZ22500344	0
MZ22500345	0
MZ22500346	1
MZ22500347	0
MZ22500348	2
MZ22500350	2
MZ22500352	0
MZ22500357	0
MZ22500359	0
MZ22500360	0
MZ22500361	0
MZ22500362	0
MZ22500363	2
MZ22500364	0
MZ22500365	0
MZ22500366	0
MZ22500367	0
MZ22500369	0
MZ22500373	0
MZ22500374	0
MZ22500377	0
MZ22500381	1
MZ22500385	1
MZ22500387	0
MZ22500388	0
MZ22500389	0
MZ22500390	0
MZ22500391	0
MZ22500395	2
MZ22500396	0
MZ22500398	0
MZ22500400	0
MZ22500402	0
MZ22500403	2
MZ22500404	1
MZ22500405	0
MZ22500407	11
MZ22500408	0
MZ22500413	0
MZ22500415	0
MZ22500421	0
MZ22500424	0
MZ22500427	0
MZ22500429	0
MZ22500430	1
MZ22500432	0
MZ22500433	3
MZ22500434	0
MZ22500438	0
MZ22500440	0
MZ22500442	0
MZ22500443	0
MZ22500445	0
MZ22500448	0
MZ22500449	0
MZ22500450	0
MZ22500453	0
MZ22500456	0
MZ22500458	0
MZ22500459	0
MZ22500461	0
MZ22500462	0
MZ22500466	1
MZ22500467	7
MZ22500468	0
MZ22500469	3
MZ22500470	0
MZ22500471	6
MZ22500472	0
MZ22500473	2
MZ22500474	0
MZ22500475	0
MZ22500480	0
MZ22500481	1
MZ22500484	0
MZ22500485	0
MZ22500486	0
MZ22500487	1
MZ22500490	0
MZ22500500	1
MZ22500501	4
MZ22500502	0
MZ22500504	0
MZ22500506	0
MZ22500509	0
MZ22500510	0
MZ22500511	0
MZ22500512	0
MZ22500515	0
MZ22500517	0
MZ22500520	0
MZ22500521	0
MZ22500523	0
MZ22500526	0
MZ22500528	2
MZ22500529	3
MZ22500533	0
MZ22500536	0
MZ22500537	0
MZ22500539	2
MZ22500540	0
MZ22500547	0
MZ22500552	0
MZ22500553	0
MZ22500554	0
MZ22500555	0
MZ22500557	0
MZ22500558	0
MZ22500562	0
MZ22500563	0
MZ22500565	0
MZ22500566	3
MZ22500570	0
MZ22500571	0
MZ22500572	0
MZ22500573	0
MZ22500574	4
MZ22500576	0
MZ22500577	3
MZ22500579	1
MZ22500580	0
MZ22500581	0
MZ22500582	0
MZ22500583	0
MZ22500584	7
MZ22500585	0
MZ22500589	0
MZ22500590	5
MZ22500591	0
MZ22500597	0
MZ22500599	0
MZ22500601	0
MZ22500603	10
MZ22500605	0
MZ22500607	2
MZ22500610	0
MZ22500611	0
MZ22500612	0
MZ22500613	0
MZ22500614	0
MZ22500615	5
MZ22500618	0
MZ22500620	0
MZ22500623	7
MZ22500624	1
MZ22500629	1
MZ22500630	0
MZ22500633	0
MZ22500634	0
MZ22500635	1
MZ22500636	0
MZ22500637	9
MZ22500638	0
MZ22500640	0
MZ22500642	0
MZ22500644	0
MZ22500645	0
MZ22500647	0
MZ22500648	0
MZ22500650	0
MZ22500654	0
MZ22500655	0
MZ22500658	0
MZ22500664	0
MZ22500665	0
MZ22500666	1
MZ22500668	0
MZ22500670	0
MZ22500671	0
MZ22500673	0
MZ22500675	0
MZ22500677	0
MZ22500678	0
MZ22500680	0
MZ22500682	0
MZ22500683	1
MZ22500684	0
MZ22500687	1
MZ22500688	0
MZ22500690	4
MZ22500691	0
MZ22500693	0
MZ22500698	0
MZ22500699	0
MZ22500701	0
MZ22500705	0
MZ22500708	0
MZ22500710	0
MZ22500713	5
MZ22500715	0
MZ22500721	1
MZ22500722	3
MZ22500723	1
MZ22500725	0
MZ22500726	0
MZ22500728	0
MZ22500731	1
MZ22500733	0
MZ22500734	0
MZ22500736	0
MZ22500738	0
MZ22500740	0
MZ22500741	0
MZ22500742	0
MZ22500743	0
MZ22500746	0
MZ22500751	2
MZ22500752	0
MZ22500754	8
MZ22500755	0
MZ22500756	9
MZ22500757	0
MZ22500758	0
MZ22500762	2
MZ22500765	2
MZ22500767	0
MZ22500769	0
MZ22500770	2
MZ22500772	0
MZ22500773	0
MZ22500775	0
MZ22500776	0
MZ22500779	0
MZ22500781	0
MZ22500783	0
MZ22500784	0
MZ22500785	0
MZ22500788	1
MZ22500790	0
MZ22500791	0
MZ22500793	0
MZ22500794	0
MZ22500795	0
MZ22500799	4
MZ22500800	0
MZ22500802	0
MZ22500804	0
MZ22500806	0
MZ22500810	0
MZ22500811	1
MZ22500814	0
MZ22500817	1
MZ22500818	1
MZ22500820	0
MZ22500821	7
MZ22500822	0
MZ22500828	0
MZ22500834	0
MZ22500835	0
MZ22500838	0
MZ22500839	0
MZ22500840	0
MZ22500841	0
MZ22500842	3
MZ22500843	0
MZ22500845	0
MZ22500846	0
MZ22500847	0
MZ22500848	0
MZ22500851	0
MZ22500853	0
MZ22500854	0
MZ22500855	0
MZ22500858	0
MZ22500859	0
MZ22500861	0
MZ22500862	0
MZ22500864	0
MZ22500865	0
MZ22500866	0
MZ22500867	0
MZ22500868	6
MZ22500869	0
MZ22500870	0
MZ22500873	0
MZ22500875	0
MZ22500876	1
MZ22500878	0
MZ22500880	4
MZ22500881	1
MZ22500882	0
MZ22500885	0
MZ22500886	2
MZ22500888	0
MZ22500890	0
MZ22500892	0
MZ22500894	0
MZ22500897	0
MZ22500899	0
MZ22500900	2
MZ22500902	0
MZ22500907	0
MZ22500908	0
MZ22500911	0
MZ22500913	6
MZ22500916	0
MZ22500917	2
MZ22500918	0
MZ22500919	2
MZ22500920	0
MZ22500922	2
MZ22500923	5
MZ22500925	0
MZ22500926	0
MZ22500927	9
MZ22500930	1
MZ22500931	0
MZ22500934	0
MZ22500935	0
MZ22500938	0
MZ22500939	0
MZ22500942	1
MZ22500943	2
MZ22500944	1
MZ22500945	0
MZ22500949	0
MZ22500951	0
MZ22500953	0
MZ22500955	0
MZ22500956	1
MZ22500957	0
MZ22500959	1
MZ22500960	0
MZ22500961	2
MZ22500962	0
MZ22500963	5
MZ22500966	0
MZ22500967	0
MZ22500969	1
MZ22500974	0
MZ22500975	0
MZ22500976	4
MZ22500977	0
MZ22500978	0
MZ22500979	0
MZ22500980	0
MZ22500981	1
MZ22500982	0
MZ22500984	1
MZ22500986	0
MZ22500988	3
MZ22500989	2
MZ22500991	0
MZ22500992	0
MZ22500996	0
MZ22500997	0
MZ22501001	0
MZ22501004	0
MZ22501006	0
MZ22501007	1
MZ22501008	0
MZ22501009	0
MZ22501010	1
MZ22501013	0
MZ22501014	0
MZ22501016	0
MZ22501018	0
MZ22501026	0
MZ22501028	0
MZ22501029	1
MZ22501032	3
MZ22501033	0
MZ22501036	0
MZ22501037	0
MZ22501038	0
MZ22501039	0
MZ22501040	0
MZ22501042	0
MZ22501043	0
MZ22501044	0
MZ22501045	0
MZ22501046	0
MZ22501049	0
MZ22501052	1
MZ22501053	0
MZ22501057	1
MZ22501058	1
MZ22501059	0
MZ22501064	0
MZ22501066	0
MZ22501068	0
MZ22501069	0
MZ22501071	1
MZ22501072	1
MZ22501074	0
MZ22501077	3
MZ22501078	5
MZ22501079	1
MZ22501080	0
MZ22501082	0
MZ22501084	7
MZ22501086	0
MZ22501087	0
MZ22501090	0
MZ22501095	0
MZ22501096	0
MZ22501098	0
MZ22501099	5
MZ22501100	1
MZ22501109	0
MZ22501111	1
MZ22501117	1
MZ22501118	0
MZ22501119	0
MZ22501124	0
MZ22501130	3
MZ22501132	0
MZ22501133	0
MZ22501136	0
MZ22501137	0
MZ22501140	0
MZ22501143	0
MZ22501145	1
MZ22501146	0
MZ22501147	0
MZ22501148	0
MZ22501151	0
MZ22501153	0
MZ22501154	0
MZ22501155	0
MZ22501157	0
MZ22501158	0
MZ22501159	0
MZ22501160	0
MZ22501162	0
MZ22501163	0
MZ22501164	1
MZ22501166	0
MZ22501168	0
MZ22501169	1
MZ22501171	3
MZ22501172	0
MZ22501173	0
MZ22501175	0
MZ22501176	1
MZ22501177	0
MZ22501179	0
MZ22501182	0
MZ22501183	0
MZ22501185	0
MZ22501188	1
MZ22501189	0
MZ22501192	2
MZ22501193	0
MZ22501194	6
MZ22501199	0
MZ22501201	0
MZ22501203	4
MZ22501207	0
MZ22501210	0
MZ22501211	1
MZ22501213	0
MZ22501214	0
MZ22501215	1
MZ22501217	0
MZ22501218	0
MZ22501221	0
MZ22501222	1
MZ22501223	0
MZ22501224	0
MZ22501228	0
MZ22501233	0
MZ22501235	1
MZ22501236	0
MZ22501238	0
MZ22501243	1
MZ22501244	0
MZ22501246	0
MZ22501248	0
MZ22501250	1
MZ22501253	1
MZ22501255	0
MZ22501257	0
MZ22501258	2
MZ22501259	2
MZ22501260	1
MZ22501265	12
MZ22501266	1
MZ22501269	0
MZ22501272	0
MZ22501273	0
MZ22501275	0
MZ22501276	0
MZ22501277	3
MZ22501278	0
MZ22501280	0
MZ22501281	0
MZ22501283	0
MZ22501288	0
MZ22501289	0
MZ22501295	1
MZ22501296	0
MZ22501297	0
MZ22501301	0
MZ22501303	0
MZ22501305	0
MZ22501307	0
MZ22501308	1
MZ22501310	0
MZ22501314	2
MZ22501318	0
MZ22501320	0
MZ22501321	0
MZ22501323	7
MZ22501324	0
MZ22501326	0
MZ22501328	9
MZ22501331	0
MZ22501332	2
MZ22501335	1
MZ22501336	0
MZ22501339	0
MZ22501341	1
MZ22501343	0
MZ22501345	0
MZ22501346	0
MZ22501347	1
MZ22501348	1
MZ22501350	1
MZ22501351	1
MZ22501352	0
MZ22501355	0
MZ22501357	1
MZ22501359	0
MZ22501360	4
MZ22501361	7
MZ22501365	2
MZ22501366	0
MZ22501367	0
MZ22501369	0
MZ22501370	0
MZ22501371	0
MZ22501372	0
MZ22501375	1
MZ22501377	0
MZ22501379	0
MZ22501385	0
MZ22501388	0
MZ22501390	0
MZ22501392	0
MZ22501393	0
MZ22501396	1
MZ22501398	1
MZ22501404	1
MZ22501405	3
MZ22501406	0
MZ22501407	0
MZ22501409	2
MZ22501410	0
MZ22501411	0
MZ22501412	2
MZ22501415	1
MZ22501416	0
MZ22501417	0
MZ22501419	7
MZ22501420	2
MZ22501424	2
MZ22501425	1
MZ22501431	0
MZ22501433	0
MZ22501434	0
MZ22501438	0
MZ22501439	6
MZ22501444	0
MZ22501445	0
MZ22501449	0
