orthogroup	gene	species
0	g2189.t1	148810
0	0027f2	132113
0	9.00E+01	143995
0	1745	1507135
0	0010f9	156304
0	3993	166423
0	001aae	178035
0	0020fa	516756
0	0024f4	597456
0	0007b2	7460
0	1063	88501
1	g545.t1	148810
1	002f32	132113
1	1.70E+05	143995
1	00297f	143995
1	002aaa	1507135
1	0000d8	156304
1	000c38	166423
1	001bb3	178035
1	2368	516756
1	000c5a	597456
1	0026ff	597456
1	1139	7460
1	0027ef	7460
1	0010a1	88501
10	g11229.t1	148810
10	002f94	132113
10	2.50E+08	143995
10	000f15	1507135
10	000a93	156304
10	00373a	166423
10	1828	178035
10	000db0	516756
10	000a02	597456
10	335	7460
10	0024bb	88501
100	g3123.t1	148810
100	572	132113
100	001ece	1507135
100	3260	166423
100	0018ac	178035
100	0023b1	88501
1000	g7304.t1	148810
1000	0036b4	132113
1000	000a93	143995
1000	3296	1507135
1000	001e5b	156304
1000	0019da	166423
1000	0016a1	178035
1000	84	516756
1000	00098f	7460
1000	2572	88501
10000	g3649.t1	148810
10000	1750	132113
10000	2248	143995
10000	731	1507135
10000	0011ef	156304
10000	2322	166423
10000	001d8f	516756
10000	001d11	597456
10000	000dad	7460
10001	g9437.t1	148810
10001	2036	1507135
10001	001c16	156304
10001	000b87	166423
10001	00088a	597456
10001	2.00E+02	7460
10001	0002ff	88501
10002	g4550.t1	148810
10002	002d43	132113
10002	417	143995
10002	001bf9	1507135
10002	220	156304
10002	0007d3	178035
10002	0013ef	516756
10002	000b01	597456
10002	0016d8	7460
10002	1603	88501
10003	g1720.t1	148810
10003	2711	132113
10003	1174	143995
10003	00250c	1507135
10003	0006d7	156304
10003	2385	178035
10003	1843	516756
10003	1001	597456
10003	1114	7460
10003	0016c6	88501
10004	g5441.t1	148810
10004	003d97	132113
10004	660	143995
10004	00212c	1507135
10004	00090e	156304
10004	0005a9	166423
10004	00159a	178035
10004	0003ca	516756
10004	1660	597456
10004	001d0a	7460
10004	6.00E+01	88501
10005	g12207.t1	148810
10005	g12211.t1	148810
10005	g13121.t1	148810
10005	g13568.t1	148810
10005	1920	1507135
10005	0016d2	178035
10005	001f6d	178035
10005	2227	516756
10005	000b14	597456
10005	306	88501
10005	00061b	88501
10005	00063c	88501
10005	0006b2	88501
10005	767	88501
10005	985	88501
10005	999	88501
10005	000bdc	88501
10005	0.00E+00	88501
10005	1573	88501
10005	00157d	88501
10005	1723	88501
10005	1798	88501
10005	1985	88501
10005	0019d6	88501
10005	001b60	88501
10005	001de4	88501
10005	001e2f	88501
10005	001f96	88501
10005	001ff2	88501
10005	2263	88501
10005	2348	88501
10005	00243b	88501
10005	0025a8	88501
10005	2729	88501
10005	2932	88501
10005	3154	88501
10005	3197	88501
10005	0031b7	88501
10005	0031cb	88501
10005	3.10E+08	88501
10005	3281	88501
10006	0007eb	132113
10006	2609	1507135
10006	00172b	166423
10006	1.00E+72	88501
10007	3.00E+11	132113
10007	0019a5	143995
10007	699	1507135
10007	1911	166423
10007	0016fc	178035
10007	7.00E+05	7460
10008	2885	143995
10008	001a5f	1507135
10008	1.40E+09	156304
10008	001f90	166423
10008	000a2f	516756
10008	1.00E+75	597456
10009	g1275.t1	148810
10009	0031a1	132113
10009	0028d2	1507135
10009	1.00E+09	156304
10009	0.00E+00	166423
10009	0014fc	178035
10009	001ea6	516756
10009	0004fe	597456
10009	1112	7460
10009	001bc1	88501
1001	g9851.t1	148810
1001	000ae0	132113
1001	001ec2	143995
1001	0022d4	1507135
1001	001b5d	156304
1001	001c78	166423
1001	701	178035
1001	001c2b	516756
1001	001ff1	597456
1001	001ff5	7460
1001	1.00E+27	88501
10010	g10050.t1	148810
10010	614	132113
10010	1232	143995
10010	002a49	1507135
10010	00073c	156304
10010	0017a1	156304
10010	0012bf	166423
10010	0.00E+00	178035
10010	8.00E+05	597456
10010	00229b	7460
10010	00186e	88501
10011	g820.t1	148810
10011	0.00E+00	132113
10011	1784	143995
10011	532	166423
10011	41	7460
10011	001f0e	88501
10012	g11561.t1	148810
10012	001d64	132113
10012	1606	143995
10012	1573	1507135
10012	0007cd	156304
10012	1183	166423
10012	1646	178035
10012	00067d	516756
10012	000f72	597456
10012	001f5d	7460
10012	002aba	88501
10013	g2326.t1	148810
10013	1931	132113
10013	000d41	143995
10013	652	1507135
10013	667	156304
10013	0038fa	166423
10013	000cf3	178035
10013	000ec8	516756
10013	0006b8	7460
10013	000d1c	88501
10014	g1487.t1	148810
10014	002afc	132113
10014	001cf2	143995
10014	763	1507135
10014	000c76	156304
10014	70	178035
10014	001eaa	516756
10014	0004f8	597456
10014	000f73	7460
10014	001bb3	88501
10015	g5644.t1	148810
10015	0000db	132113
10015	3151	166423
10015	00052a	178035
10016	g856.t1	148810
10016	000e2b	132113
10016	000db0	143995
10016	000c69	1507135
10016	1788	156304
10016	55	166423
10016	000f65	178035
10016	001a16	516756
10016	1751	597456
10016	0011af	7460
10017	0001b7	132113
10017	001f2d	1507135
10017	00309c	88501
10018	g13671.t1	148810
10018	3402	132113
10018	1769	156304
10018	00207a	166423
10018	0024c1	516756
10019	g9767.t1	148810
10019	001f1f	132113
10019	0022c2	1507135
10019	2247	156304
10019	0000a5	166423
10019	001ac1	178035
10019	001c19	516756
10019	000ced	597456
10019	00219d	7460
10019	000ad5	88501
1002	g7636.t1	148810
1002	00212e	132113
1002	0000a3	143995
1002	84	1507135
1002	0026ec	156304
1002	2935	166423
1002	00240e	178035
1002	001c6e	516756
1002	001c3d	597456
1002	001a4c	7460
1002	001b8e	88501
10020	g2861.t1	148810
10020	950	132113
10020	000ee8	143995
10020	0033ea	1507135
10020	003a2e	166423
10020	946	178035
10020	1038	516756
10021	g4667.t1	148810
10021	0016f4	132113
10021	379	143995
10021	0020ca	178035
10021	417	516756
10021	00224d	597456
10021	002a73	88501
10021	002a74	88501
10022	g4693.t1	148810
10022	0016dd	132113
10022	3004	1507135
10022	000acd	166423
10022	001f6a	597456
10023	g9679.t1	148810
10023	000af9	132113
10023	0002a4	143995
10023	0010d9	1507135
10023	001b3b	156304
10023	00217a	178035
10023	7.00E+01	516756
10025	001c1f	143995
10025	0020b7	166423
10025	0000cc	597456
10025	0004f2	7460
10025	00167e	88501
10026	g3766.t1	148810
10026	1565	132113
10026	0007d2	143995
10026	2703	1507135
10026	2159	156304
10026	00018d	166423
10026	001a27	178035
10026	1973	516756
10026	00186d	597456
10026	0014a6	7460
10026	00018d	88501
10027	g5638.t1	148810
10027	0000d8	132113
10027	2294	143995
10027	0024a0	156304
10027	3157	166423
10027	00053f	178035
10027	18	516756
10027	000bc7	597456
10027	00245b	7460
10027	00184d	88501
10028	g3907.t1	148810
10028	002d25	132113
10028	0003d5	143995
10028	0020b8	156304
10028	3487	166423
10028	00171f	7460
10028	0028cb	88501
10029	000bb8	1507135
10029	1752	156304
10029	0011db	166423
10029	0014d4	178035
10029	00191a	516756
10029	00133f	597456
10029	1970	7460
10029	3254	88501
1003	g8385.t1	148810
1003	001c3b	132113
1003	0.00E+00	143995
1003	0001df	1507135
1003	0006b1	156304
1003	0015f7	166423
1003	0021ed	178035
1003	00187f	516756
1003	1362	597456
1003	001caa	7460
1003	002f81	88501
10030	002f09	132113
10030	00227e	1507135
10030	0002c0	178035
10030	1591	516756
10030	00151e	597456
10030	0000cb	7460
10030	001c76	88501
10031	g10000.t1	148810
10031	0035aa	132113
10031	0019ae	1507135
10031	0012f1	166423
